region,province,city,position,rank,candidate_name,party,votes,percentage
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,7,0.09 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,1,0.01 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,35,0.47 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,3,0.04 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,23,0.31 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,1,0.01 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,7189,97.26 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,10,0.13 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,1,0.01 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,1,0.01 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,7012,95.70 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,11,0.15 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,26,0.35 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,93,1.26 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,7,0.09 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,166,2.26 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,59,0.09 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,91,0.13 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,33,0.05 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,319,0.48 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,55,0.08 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,388,0.59 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,53,0.08 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,729,1.11 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,146,0.22 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR PHILIPPINES,10,"BELLO, SILVESTRE JR.",PDPLBN,108,0.16 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR PHILIPPINES,11,"BINAY, JOJO",UNA,4377,6.67 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR PHILIPPINES,12,"CABONEGRO, ROY",PLM,40,0.06 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR PHILIPPINES,13,"CASTRICIONES, BRO JOHN",PDPLBN,47,0.07 %
