region,province,city,position,rank,candidate_name,party,votes,percentage
REGION I,ILOCOS SUR,CAOAYAN,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,6,0.04 %
REGION I,ILOCOS SUR,CAOAYAN,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,3,0.02 %
REGION I,ILOCOS SUR,CAOAYAN,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,36,0.28 %
REGION I,ILOCOS SUR,CAOAYAN,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,5,0.04 %
REGION I,ILOCOS SUR,CAOAYAN,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,51,0.40 %
REGION I,ILOCOS SUR,CAOAYAN,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,1,0.00 %
REGION I,ILOCOS SUR,CAOAYAN,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,11937,95.54 %
REGION I,ILOCOS SUR,CAOAYAN,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,6,0.04 %
REGION I,ILOCOS SUR,CAOAYAN,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,10,0.08 %
REGION I,ILOCOS SUR,CAOAYAN,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,1,0.00 %
REGION I,ILOCOS SUR,CAOAYAN,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,11246,91.60 %
REGION I,ILOCOS SUR,CAOAYAN,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,13,0.10 %
REGION I,ILOCOS SUR,CAOAYAN,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,87,0.70 %
REGION I,ILOCOS SUR,CAOAYAN,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,347,2.82 %
REGION I,ILOCOS SUR,CAOAYAN,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,6,0.04 %
REGION I,ILOCOS SUR,CAOAYAN,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,561,4.56 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,66,0.07 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,56,0.06 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,69,0.07 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,373,0.41 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,82,0.09 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,837,0.92 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,82,0.09 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,2657,2.93 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,301,0.33 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,10,"BELLO, SILVESTRE JR.",PDPLBN,373,0.41 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,11,"BINAY, JOJO",UNA,3383,3.73 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,12,"CABONEGRO, ROY",PLM,83,0.09 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,13,"CASTRICIONES, BRO JOHN",PDPLBN,70,0.07 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,14,"CAYETANO, ALAN PETER",IND,3011,3.32 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,15,"CHAVEZ, MELCHOR",WPP,88,0.09 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,16,"COLMENARES, NERI",MKBYN,569,0.62 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,17,"D'ANGELO, DAVID",PLM,74,0.08 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,18,"DE LIMA, LEILA",LP,595,0.65 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,19,"DEL ROSARIO, MONSOUR",PDR,390,0.43 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,20,"DIAZ, DING",PPP,74,0.08 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,21,"DIOKNO, CHEL",KANP,1171,1.29 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,22,"EJERCITO, JV ESTRADA",NPC,3397,3.75 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,23,"ELEAZAR, GEN. GUILLERMO",PDR,2626,2.90 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,24,"EREÑO, BRO. ERNIE",PM,56,0.06 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,25,"ESCUDERO, CHIZ",NPC,4404,4.86 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,26,"ESPIRITU, LUKE",PLM,271,0.29 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,27,"ESTRADA, JINGGOY",PMP,3480,3.84 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,28,"FALCONE, BAL FALCON",DPP,48,0.05 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,29,"GADON, LARRY",KBL,4421,4.88 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,30,"GATCHALIAN, WIN",NPC,4390,4.84 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,31,"GORDON, WOW DICK",BVNP,1036,1.14 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,32,"GUTOC, SAMIRA",AKSYON,87,0.09 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,33,"HONASAN, GRINGO",IND,2200,2.42 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,34,"HONTIVEROS, RISA",AKBAYAN,2139,2.36 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,35,"JAVELLANA, RJ",IND,45,0.04 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,36,"KIRAM, NUR-MAHAL",IND,52,0.05 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,37,"LABOG, ELMER",MKBYN,148,0.16 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,38,"LACSON, KUYA ALEX",KP,552,0.60 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,39,"LANGIT, REY",PDPLBN,112,0.12 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,40,"LEGARDA, LOREN",NPC,6740,7.44 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,41,"LIM, ARIEL",IND,63,0.06 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,42,"MALLILLIN, EMILY",PPM,42,0.04 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,43,"MARCOLETA, RODANTE",PDPLBN,922,1.01 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,44,"MARCOS, FRANCIS LEO",IND,1436,1.58 %
REGION I,ILOCOS SUR,CAOAYAN,SENATOR PHILIPPINES,45,"MATULA, SONNY",IND,171,0.18 %
