region,province,city,position,rank,candidate_name,party,votes,percentage
REGION I,LA UNION,CITY OF SAN FERNANDO,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,48,0.07 %
REGION I,LA UNION,CITY OF SAN FERNANDO,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,70,0.10 %
REGION I,LA UNION,CITY OF SAN FERNANDO,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,504,0.75 %
REGION I,LA UNION,CITY OF SAN FERNANDO,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,49,0.07 %
REGION I,LA UNION,CITY OF SAN FERNANDO,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,688,1.02 %
REGION I,LA UNION,CITY OF SAN FERNANDO,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,64,0.09 %
REGION I,LA UNION,CITY OF SAN FERNANDO,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,59678,89.09 %
REGION I,LA UNION,CITY OF SAN FERNANDO,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,69,0.10 %
REGION I,LA UNION,CITY OF SAN FERNANDO,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,71,0.10 %
REGION I,LA UNION,CITY OF SAN FERNANDO,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,25,0.03 %
REGION I,LA UNION,CITY OF SAN FERNANDO,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,54853,82.64 %
REGION I,LA UNION,CITY OF SAN FERNANDO,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,44,0.06 %
REGION I,LA UNION,CITY OF SAN FERNANDO,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,1451,2.18 %
REGION I,LA UNION,CITY OF SAN FERNANDO,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,4245,6.39 %
REGION I,LA UNION,CITY OF SAN FERNANDO,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,53,0.07 %
