region,province,city,position,rank,candidate_name,party,votes,percentage
REGION I,PANGASINAN,TAYUG,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,41,0.16 %
REGION I,PANGASINAN,TAYUG,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,34,0.13 %
REGION I,PANGASINAN,TAYUG,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,269,1.05 %
REGION I,PANGASINAN,TAYUG,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,21,0.08 %
REGION I,PANGASINAN,TAYUG,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,239,0.93 %
REGION I,PANGASINAN,TAYUG,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,43,0.16 %
REGION I,PANGASINAN,TAYUG,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,22250,87.48 %
REGION I,PANGASINAN,TAYUG,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,64,0.25 %
REGION I,PANGASINAN,TAYUG,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,35,0.13 %
REGION I,PANGASINAN,TAYUG,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,22,0.08 %
REGION I,PANGASINAN,TAYUG,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,17867,71.31 %
REGION I,PANGASINAN,TAYUG,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,50,0.19 %
REGION I,PANGASINAN,TAYUG,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,642,2.56 %
REGION I,PANGASINAN,TAYUG,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,1740,6.94 %
REGION I,PANGASINAN,TAYUG,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,36,0.14 %
REGION I,PANGASINAN,TAYUG,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,4598,18.35 %
REGION I,PANGASINAN,TAYUG,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,389,0.18 %
REGION I,PANGASINAN,TAYUG,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,291,0.14 %
REGION I,PANGASINAN,TAYUG,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,198,0.09 %
REGION I,PANGASINAN,TAYUG,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,1427,0.68 %
REGION I,PANGASINAN,TAYUG,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,291,0.14 %
REGION I,PANGASINAN,TAYUG,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,1813,0.87 %
REGION I,PANGASINAN,TAYUG,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,286,0.13 %
REGION I,PANGASINAN,TAYUG,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,8425,4.07 %
REGION I,PANGASINAN,TAYUG,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,785,0.37 %
REGION I,PANGASINAN,TAYUG,SENATOR PHILIPPINES,10,"BELLO, SILVESTRE JR.",PDPLBN,630,0.30 %
REGION I,PANGASINAN,TAYUG,SENATOR PHILIPPINES,11,"BINAY, JOJO",UNA,6595,3.18 %
REGION I,PANGASINAN,TAYUG,SENATOR PHILIPPINES,12,"CABONEGRO, ROY",PLM,330,0.15 %
REGION I,PANGASINAN,TAYUG,SENATOR PHILIPPINES,13,"CASTRICIONES, BRO JOHN",PDPLBN,217,0.10 %
REGION I,PANGASINAN,TAYUG,SENATOR PHILIPPINES,14,"CAYETANO, ALAN PETER",IND,8512,4.11 %
REGION I,PANGASINAN,TAYUG,SENATOR PHILIPPINES,15,"CHAVEZ, MELCHOR",WPP,500,0.24 %
REGION I,PANGASINAN,TAYUG,SENATOR PHILIPPINES,16,"COLMENARES, NERI",MKBYN,1849,0.89 %
REGION I,PANGASINAN,TAYUG,SENATOR PHILIPPINES,17,"D'ANGELO, DAVID",PLM,246,0.11 %
REGION I,PANGASINAN,TAYUG,SENATOR PHILIPPINES,18,"DE LIMA, LEILA",LP,2210,1.06 %
