region,province,city,position,rank,candidate_name,party,votes,percentage
REGION II,CAGAYAN,SANTA PRAXEDES,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,3,0.11 %
REGION II,CAGAYAN,SANTA PRAXEDES,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,2,0.07 %
REGION II,CAGAYAN,SANTA PRAXEDES,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,11,0.40 %
REGION II,CAGAYAN,SANTA PRAXEDES,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,1,0.03 %
REGION II,CAGAYAN,SANTA PRAXEDES,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,9,0.33 %
REGION II,CAGAYAN,SANTA PRAXEDES,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,1,0.03 %
REGION II,CAGAYAN,SANTA PRAXEDES,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,2627,96.40 %
REGION II,CAGAYAN,SANTA PRAXEDES,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,2,0.07 %
REGION II,CAGAYAN,SANTA PRAXEDES,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,2,0.07 %
REGION II,CAGAYAN,SANTA PRAXEDES,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,1,0.03 %
REGION II,CAGAYAN,SANTA PRAXEDES,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,2557,95.33 %
REGION II,CAGAYAN,SANTA PRAXEDES,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,1,0.03 %
REGION II,CAGAYAN,SANTA PRAXEDES,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,11,0.41 %
REGION II,CAGAYAN,SANTA PRAXEDES,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,46,1.71 %
