region,province,city,position,rank,candidate_name,party,votes,percentage
REGION II,ISABELA,CITY OF CAUAYAN,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,94,0.12 %
REGION II,ISABELA,CITY OF CAUAYAN,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,111,0.14 %
REGION II,ISABELA,CITY OF CAUAYAN,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,716,0.96 %
REGION II,ISABELA,CITY OF CAUAYAN,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,84,0.11 %
REGION II,ISABELA,CITY OF CAUAYAN,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,801,1.07 %
REGION II,ISABELA,CITY OF CAUAYAN,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,168,0.22 %
REGION II,ISABELA,CITY OF CAUAYAN,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,64260,86.53 %
REGION II,ISABELA,CITY OF CAUAYAN,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,391,0.53 %
REGION II,ISABELA,CITY OF CAUAYAN,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,174,0.23 %
REGION II,ISABELA,CITY OF CAUAYAN,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,35,0.04 %
REGION II,ISABELA,CITY OF CAUAYAN,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,58691,80.04 %
REGION II,ISABELA,CITY OF CAUAYAN,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,129,0.17 %
REGION II,ISABELA,CITY OF CAUAYAN,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,1312,1.78 %
REGION II,ISABELA,CITY OF CAUAYAN,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,5645,7.69 %
REGION II,ISABELA,CITY OF CAUAYAN,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,113,0.15 %
REGION II,ISABELA,CITY OF CAUAYAN,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,6835,9.32 %
REGION II,ISABELA,CITY OF CAUAYAN,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,1105,0.16 %
REGION II,ISABELA,CITY OF CAUAYAN,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,858,0.13 %
REGION II,ISABELA,CITY OF CAUAYAN,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,652,0.10 %
REGION II,ISABELA,CITY OF CAUAYAN,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,4741,0.72 %
REGION II,ISABELA,CITY OF CAUAYAN,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,735,0.11 %
REGION II,ISABELA,CITY OF CAUAYAN,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,5426,0.83 %
REGION II,ISABELA,CITY OF CAUAYAN,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,776,0.11 %
REGION II,ISABELA,CITY OF CAUAYAN,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,18630,2.86 %
REGION II,ISABELA,CITY OF CAUAYAN,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,2232,0.34 %
REGION II,ISABELA,CITY OF CAUAYAN,SENATOR PHILIPPINES,10,"BELLO, SILVESTRE JR.",PDPLBN,5955,0.91 %
REGION II,ISABELA,CITY OF CAUAYAN,SENATOR PHILIPPINES,11,"BINAY, JOJO",UNA,30568,4.70 %
REGION II,ISABELA,CITY OF CAUAYAN,SENATOR PHILIPPINES,12,"CABONEGRO, ROY",PLM,995,0.15 %
REGION II,ISABELA,CITY OF CAUAYAN,SENATOR PHILIPPINES,13,"CASTRICIONES, BRO JOHN",PDPLBN,961,0.14 %
REGION II,ISABELA,CITY OF CAUAYAN,SENATOR PHILIPPINES,14,"CAYETANO, ALAN PETER",IND,23889,3.67 %
REGION II,ISABELA,CITY OF CAUAYAN,SENATOR PHILIPPINES,15,"CHAVEZ, MELCHOR",WPP,1395,0.21 %
REGION II,ISABELA,CITY OF CAUAYAN,SENATOR PHILIPPINES,16,"COLMENARES, NERI",MKBYN,5951,0.91 %
REGION II,ISABELA,CITY OF CAUAYAN,SENATOR PHILIPPINES,17,"D'ANGELO, DAVID",PLM,905,0.13 %
REGION II,ISABELA,CITY OF CAUAYAN,SENATOR PHILIPPINES,18,"DE LIMA, LEILA",LP,6785,1.04 %
REGION II,ISABELA,CITY OF CAUAYAN,SENATOR PHILIPPINES,19,"DEL ROSARIO, MONSOUR",PDR,8361,1.28 %
REGION II,ISABELA,CITY OF CAUAYAN,SENATOR PHILIPPINES,20,"DIAZ, DING",PPP,624,0.09 %
REGION II,ISABELA,CITY OF CAUAYAN,SENATOR PHILIPPINES,21,"DIOKNO, CHEL",KANP,9405,1.44 %
REGION II,ISABELA,CITY OF CAUAYAN,SENATOR PHILIPPINES,22,"EJERCITO, JV ESTRADA",NPC,36838,5.66 %
