region,province,city,position,rank,candidate_name,party,votes,percentage
REGION III,PAMPANGA,CANDABA,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,157,0.23 %
REGION III,PAMPANGA,CANDABA,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,95,0.14 %
REGION III,PAMPANGA,CANDABA,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,2676,3.98 %
REGION III,PAMPANGA,CANDABA,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,138,0.20 %
REGION III,PAMPANGA,CANDABA,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,1081,1.61 %
REGION III,PAMPANGA,CANDABA,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,34,0.05 %
REGION III,PAMPANGA,CANDABA,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,42416,63.18 %
REGION III,PAMPANGA,CANDABA,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,179,0.27 %
REGION III,PAMPANGA,CANDABA,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,125,0.18 %
REGION III,PAMPANGA,CANDABA,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,54,0.08 %
REGION III,PAMPANGA,CANDABA,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,31327,47.55 %
REGION III,PAMPANGA,CANDABA,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,98,0.14 %
REGION III,PAMPANGA,CANDABA,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,2198,3.33 %
REGION III,PAMPANGA,CANDABA,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,8961,13.60 %
REGION III,PAMPANGA,CANDABA,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,108,0.16 %
REGION III,PAMPANGA,CANDABA,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,22831,34.65 %
REGION III,PAMPANGA,CANDABA,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,1058,0.19 %
REGION III,PAMPANGA,CANDABA,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,706,0.13 %
REGION III,PAMPANGA,CANDABA,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,559,0.10 %
REGION III,PAMPANGA,CANDABA,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,4321,0.79 %
REGION III,PAMPANGA,CANDABA,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,751,0.13 %
REGION III,PAMPANGA,CANDABA,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,4686,0.86 %
REGION III,PAMPANGA,CANDABA,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,744,0.13 %
