region,province,city,position,rank,candidate_name,party,votes,percentage
REGION III,PAMPANGA,MABALACAT CITY,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,141,0.12 %
REGION III,PAMPANGA,MABALACAT CITY,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,121,0.10 %
REGION III,PAMPANGA,MABALACAT CITY,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,4767,4.23 %
REGION III,PAMPANGA,MABALACAT CITY,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,154,0.13 %
REGION III,PAMPANGA,MABALACAT CITY,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,1780,1.57 %
REGION III,PAMPANGA,MABALACAT CITY,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,69,0.06 %
REGION III,PAMPANGA,MABALACAT CITY,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,74601,66.20 %
REGION III,PAMPANGA,MABALACAT CITY,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,274,0.24 %
REGION III,PAMPANGA,MABALACAT CITY,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,136,0.12 %
REGION III,PAMPANGA,MABALACAT CITY,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,44,0.03 %
REGION III,PAMPANGA,MABALACAT CITY,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,64364,57.67 %
REGION III,PAMPANGA,MABALACAT CITY,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,101,0.09 %
REGION III,PAMPANGA,MABALACAT CITY,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,4553,4.07 %
REGION III,PAMPANGA,MABALACAT CITY,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,15786,14.14 %
REGION III,PAMPANGA,MABALACAT CITY,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,94,0.08 %
REGION III,PAMPANGA,MABALACAT CITY,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,26243,23.51 %
REGION III,PAMPANGA,MABALACAT CITY,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,1874,0.18 %
REGION III,PAMPANGA,MABALACAT CITY,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,1070,0.10 %
REGION III,PAMPANGA,MABALACAT CITY,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,771,0.07 %
REGION III,PAMPANGA,MABALACAT CITY,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,8913,0.89 %
REGION III,PAMPANGA,MABALACAT CITY,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,1226,0.12 %
REGION III,PAMPANGA,MABALACAT CITY,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,8276,0.83 %
REGION III,PAMPANGA,MABALACAT CITY,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,1229,0.12 %
REGION III,PAMPANGA,MABALACAT CITY,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,35845,3.61 %
REGION III,PAMPANGA,MABALACAT CITY,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,5179,0.52 %
REGION III,PAMPANGA,MABALACAT CITY,SENATOR PHILIPPINES,10,"BELLO, SILVESTRE JR.",PDPLBN,2815,0.28 %
REGION III,PAMPANGA,MABALACAT CITY,SENATOR PHILIPPINES,11,"BINAY, JOJO",UNA,26742,2.69 %
REGION III,PAMPANGA,MABALACAT CITY,SENATOR PHILIPPINES,12,"CABONEGRO, ROY",PLM,2298,0.23 %
REGION III,PAMPANGA,MABALACAT CITY,SENATOR PHILIPPINES,13,"CASTRICIONES, BRO JOHN",PDPLBN,1133,0.11 %
REGION III,PAMPANGA,MABALACAT CITY,SENATOR PHILIPPINES,14,"CAYETANO, ALAN PETER",IND,44262,4.45 %
REGION III,PAMPANGA,MABALACAT CITY,SENATOR PHILIPPINES,15,"CHAVEZ, MELCHOR",WPP,2204,0.22 %
REGION III,PAMPANGA,MABALACAT CITY,SENATOR PHILIPPINES,16,"COLMENARES, NERI",MKBYN,13193,1.32 %
REGION III,PAMPANGA,MABALACAT CITY,SENATOR PHILIPPINES,17,"D'ANGELO, DAVID",PLM,1548,0.15 %
