region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-A,BATANGAS,NASUGBU,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,189,0.27 %
REGION IV-A,BATANGAS,NASUGBU,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,134,0.19 %
REGION IV-A,BATANGAS,NASUGBU,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,3807,5.60 %
REGION IV-A,BATANGAS,NASUGBU,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,127,0.18 %
REGION IV-A,BATANGAS,NASUGBU,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,2856,4.20 %
REGION IV-A,BATANGAS,NASUGBU,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,83,0.12 %
REGION IV-A,BATANGAS,NASUGBU,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,32797,48.30 %
REGION IV-A,BATANGAS,NASUGBU,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,349,0.52 %
REGION IV-A,BATANGAS,NASUGBU,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,589,0.88 %
REGION IV-A,BATANGAS,NASUGBU,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,68,0.10 %
REGION IV-A,BATANGAS,NASUGBU,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,27334,41.21 %
REGION IV-A,BATANGAS,NASUGBU,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,157,0.23 %
REGION IV-A,BATANGAS,NASUGBU,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,3502,5.28 %
REGION IV-A,BATANGAS,NASUGBU,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,16310,24.59 %
REGION IV-A,BATANGAS,NASUGBU,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,98,0.14 %
REGION IV-A,BATANGAS,NASUGBU,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,17917,27.01 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,1525,0.27 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,1162,0.20 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,639,0.11 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,4909,0.88 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,993,0.17 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,4699,0.84 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,709,0.12 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,20196,3.63 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,2235,0.40 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,10,"BELLO, SILVESTRE JR.",PDPLBN,3126,0.56 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,11,"BINAY, JOJO",UNA,19020,3.41 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,12,"CABONEGRO, ROY",PLM,1345,0.24 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,13,"CASTRICIONES, BRO JOHN",PDPLBN,693,0.12 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,14,"CAYETANO, ALAN PETER",IND,26454,4.75 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,15,"CHAVEZ, MELCHOR",WPP,1646,0.29 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,16,"COLMENARES, NERI",MKBYN,10368,1.86 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,17,"D'ANGELO, DAVID",PLM,847,0.15 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,18,"DE LIMA, LEILA",LP,11335,2.03 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,19,"DEL ROSARIO, MONSOUR",PDR,5228,0.93 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,20,"DIAZ, DING",PPP,758,0.13 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,21,"DIOKNO, CHEL",KANP,18318,3.29 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,22,"EJERCITO, JV ESTRADA",NPC,20267,3.64 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,23,"ELEAZAR, GEN. GUILLERMO",PDR,14314,2.57 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,24,"EREÑO, BRO. ERNIE",PM,696,0.12 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,25,"ESCUDERO, CHIZ",NPC,29012,5.21 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,26,"ESPIRITU, LUKE",PLM,4721,0.84 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,27,"ESTRADA, JINGGOY",PMP,20127,3.61 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,28,"FALCONE, BAL FALCON",DPP,531,0.09 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,29,"GADON, LARRY",KBL,10306,1.85 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,30,"GATCHALIAN, WIN",NPC,24763,4.45 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,31,"GORDON, WOW DICK",BVNP,12777,2.29 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,32,"GUTOC, SAMIRA",AKSYON,1565,0.28 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,33,"HONASAN, GRINGO",IND,15345,2.75 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,34,"HONTIVEROS, RISA",AKBAYAN,25367,4.55 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,35,"JAVELLANA, RJ",IND,588,0.10 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,36,"KIRAM, NUR-MAHAL",IND,587,0.10 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,37,"LABOG, ELMER",MKBYN,2520,0.45 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,38,"LACSON, KUYA ALEX",KP,8529,1.53 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,39,"LANGIT, REY",PDPLBN,2511,0.45 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,40,"LEGARDA, LOREN",NPC,30368,5.45 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,41,"LIM, ARIEL",IND,810,0.14 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,42,"MALLILLIN, EMILY",PPM,579,0.10 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,43,"MARCOLETA, RODANTE",PDPLBN,2720,0.48 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,44,"MARCOS, FRANCIS LEO",IND,5467,0.98 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,45,"MATULA, SONNY",IND,3947,0.70 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,46,"MINDALANO-ADAM,MARIETA",KTPNAN,579,0.10 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,47,"OLARTE, ATTY/DR. LEO",BIGKIS,932,0.16 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,48,"PADILLA, DRA. MINGUITA",PDR,4080,0.73 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,49,"PADILLA, ROBIN",PDPLBN,29831,5.36 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,50,"PANELO, SAL PANALO",PDPLBN,3777,0.67 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,51,"PIMENTEL, ASTRA",PDPLBN,4364,0.78 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,52,"PIÑOL, MANNY",NPC,2506,0.45 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,53,"RICABLANCA, WILLIE JR.",PM,714,0.12 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,54,"ROQUE, HARRY SPOX",PRP,8914,1.60 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,55,"SAHIDULLA, LADY ANNE",PDDS,451,0.08 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,56,"SISON, JOPET",AKSYON,3288,0.59 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,57,"TEODORO, GIBO",PRP,11881,2.13 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,58,"TRILLANES, ANTONIO IV",LP,16950,3.04 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,59,"TULFO, IDOL RAFFY",IND,30147,5.41 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,60,"VALEROS, REY",IND,492,0.08 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,61,"VILLANUEVA,JOEL TESDAMAN",IND,20574,3.69 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,62,"VILLAR, MARK",NP,19782,3.55 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,63,"ZUBIAGA, CARMEN",IND,2388,0.42 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,64,"ZUBIRI, MIGZ",IND,20075,3.60 %
REGION IV-A,BATANGAS,NASUGBU,SENATOR PHILIPPINES,65,35 BH,BAGONG HENERASYON,289,0.61 %
REGION IV-A,BATANGAS,NASUGBU,"MEMBER, HOUSE OF REPRESENTATIVES BATANGAS - FIRST LEGDIST",1,"BUHAIN, ERIC",NP,23734,37.23 %
REGION IV-A,BATANGAS,NASUGBU,"MEMBER, HOUSE OF REPRESENTATIVES BATANGAS - FIRST LEGDIST",2,"ERMITA, LISA",NPC,25892,40.61 %
REGION IV-A,BATANGAS,NASUGBU,"MEMBER, HOUSE OF REPRESENTATIVES BATANGAS - FIRST LEGDIST",3,"MANALO, ATTY. GERRY",PPP,13370,20.97 %
REGION IV-A,BATANGAS,NASUGBU,"MEMBER, HOUSE OF REPRESENTATIVES BATANGAS - FIRST LEGDIST",4,"RUIZ, LUISITO",KP,752,1.17 %
REGION IV-A,BATANGAS,NASUGBU,PROVINCIAL GOVERNOR BATANGAS,1,"BUSTAMANTE, PRAXEDES",IND,807,1.34 %
REGION IV-A,BATANGAS,NASUGBU,PROVINCIAL GOVERNOR BATANGAS,2,"GUTIERREZ, PRUDENCIO",NPC,8068,13.48 %
REGION IV-A,BATANGAS,NASUGBU,PROVINCIAL GOVERNOR BATANGAS,3,"MANDANAS, DODO",PDPLBN,46932,78.41 %
