region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-A,LAGUNA,FAMY,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,22,0.19 %
REGION IV-A,LAGUNA,FAMY,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,17,0.15 %
REGION IV-A,LAGUNA,FAMY,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,709,6.35 %
REGION IV-A,LAGUNA,FAMY,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,20,0.17 %
REGION IV-A,LAGUNA,FAMY,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,302,2.70 %
REGION IV-A,LAGUNA,FAMY,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,9,0.08 %
REGION IV-A,LAGUNA,FAMY,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,6823,61.18 %
REGION IV-A,LAGUNA,FAMY,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,41,0.37 %
REGION IV-A,LAGUNA,FAMY,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,25,0.23 %
REGION IV-A,LAGUNA,FAMY,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,12,0.11 %
REGION IV-A,LAGUNA,FAMY,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,5331,49.16 %
REGION IV-A,LAGUNA,FAMY,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,31,0.28 %
REGION IV-A,LAGUNA,FAMY,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,697,6.42 %
REGION IV-A,LAGUNA,FAMY,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,1913,17.64 %
REGION IV-A,LAGUNA,FAMY,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,18,0.16 %
REGION IV-A,LAGUNA,FAMY,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,2774,25.58 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,382,0.41 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,136,0.14 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,164,0.18 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,706,0.77 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,149,0.16 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,860,0.94 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,159,0.17 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,3384,3.71 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,510,0.56 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,10,"BELLO, SILVESTRE JR.",PDPLBN,231,0.25 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,11,"BINAY, JOJO",UNA,2822,3.10 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,12,"CABONEGRO, ROY",PLM,206,0.22 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,13,"CASTRICIONES, BRO JOHN",PDPLBN,135,0.14 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,14,"CAYETANO, ALAN PETER",IND,3805,4.18 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,15,"CHAVEZ, MELCHOR",WPP,196,0.21 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,16,"COLMENARES, NERI",MKBYN,1078,1.18 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,17,"D'ANGELO, DAVID",PLM,112,0.12 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,18,"DE LIMA, LEILA",LP,1415,1.55 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,19,"DEL ROSARIO, MONSOUR",PDR,826,0.90 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,20,"DIAZ, DING",PPP,110,0.12 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,21,"DIOKNO, CHEL",KANP,2000,2.19 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,22,"EJERCITO, JV ESTRADA",NPC,4124,4.53 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,23,"ELEAZAR, GEN. GUILLERMO",PDR,2939,3.22 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,24,"EREÑO, BRO. ERNIE",PM,109,0.11 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,25,"ESCUDERO, CHIZ",NPC,4366,4.79 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,26,"ESPIRITU, LUKE",PLM,679,0.74 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,27,"ESTRADA, JINGGOY",PMP,3564,3.91 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,28,"FALCONE, BAL FALCON",DPP,115,0.12 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,29,"GADON, LARRY",KBL,2011,2.20 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,30,"GATCHALIAN, WIN",NPC,4683,5.14 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,31,"GORDON, WOW DICK",BVNP,2015,2.21 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,32,"GUTOC, SAMIRA",AKSYON,296,0.32 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,33,"HONASAN, GRINGO",IND,2219,2.43 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,34,"HONTIVEROS, RISA",AKBAYAN,3095,3.40 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,35,"JAVELLANA, RJ",IND,136,0.14 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,36,"KIRAM, NUR-MAHAL",IND,121,0.13 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,37,"LABOG, ELMER",MKBYN,312,0.34 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,38,"LACSON, KUYA ALEX",KP,1144,1.25 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,39,"LANGIT, REY",PDPLBN,377,0.41 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,40,"LEGARDA, LOREN",NPC,5471,6.01 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,41,"LIM, ARIEL",IND,135,0.14 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,42,"MALLILLIN, EMILY",PPM,100,0.10 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,43,"MARCOLETA, RODANTE",PDPLBN,545,0.59 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,44,"MARCOS, FRANCIS LEO",IND,1115,1.22 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,45,"MATULA, SONNY",IND,452,0.49 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,46,"MINDALANO-ADAM,MARIETA",KTPNAN,98,0.10 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,47,"OLARTE, ATTY/DR. LEO",BIGKIS,171,0.18 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,48,"PADILLA, DRA. MINGUITA",PDR,753,0.82 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,49,"PADILLA, ROBIN",PDPLBN,6106,6.70 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,50,"PANELO, SAL PANALO",PDPLBN,595,0.65 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,51,"PIMENTEL, ASTRA",PDPLBN,654,0.71 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,52,"PIÑOL, MANNY",NPC,437,0.48 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,53,"RICABLANCA, WILLIE JR.",PM,126,0.13 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,54,"ROQUE, HARRY SPOX",PRP,1684,1.85 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,55,"SAHIDULLA, LADY ANNE",PDDS,76,0.08 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,56,"SISON, JOPET",AKSYON,606,0.66 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,57,"TEODORO, GIBO",PRP,2235,2.45 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,58,"TRILLANES, ANTONIO IV",LP,1806,1.98 %
REGION IV-A,LAGUNA,FAMY,SENATOR PHILIPPINES,59,"TULFO, IDOL RAFFY",IND,5157,5.66 %
