region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-A,LAGUNA,SANTA MARIA,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,22,0.11 %
REGION IV-A,LAGUNA,SANTA MARIA,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,38,0.19 %
REGION IV-A,LAGUNA,SANTA MARIA,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,2332,12.02 %
REGION IV-A,LAGUNA,SANTA MARIA,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,29,0.14 %
REGION IV-A,LAGUNA,SANTA MARIA,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,429,2.21 %
REGION IV-A,LAGUNA,SANTA MARIA,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,10,0.05 %
REGION IV-A,LAGUNA,SANTA MARIA,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,10157,52.39 %
REGION IV-A,LAGUNA,SANTA MARIA,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,87,0.46 %
REGION IV-A,LAGUNA,SANTA MARIA,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,36,0.19 %
REGION IV-A,LAGUNA,SANTA MARIA,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,12,0.06 %
REGION IV-A,LAGUNA,SANTA MARIA,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,8066,43.05 %
REGION IV-A,LAGUNA,SANTA MARIA,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,33,0.17 %
REGION IV-A,LAGUNA,SANTA MARIA,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,1740,9.28 %
REGION IV-A,LAGUNA,SANTA MARIA,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,3601,19.22 %
REGION IV-A,LAGUNA,SANTA MARIA,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,19,0.10 %
REGION IV-A,LAGUNA,SANTA MARIA,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,5141,27.44 %
REGION IV-A,LAGUNA,SANTA MARIA,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,555,0.35 %
REGION IV-A,LAGUNA,SANTA MARIA,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,218,0.14 %
REGION IV-A,LAGUNA,SANTA MARIA,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,151,0.09 %
REGION IV-A,LAGUNA,SANTA MARIA,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,1341,0.86 %
REGION IV-A,LAGUNA,SANTA MARIA,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,218,0.14 %
