region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-A,QUEZON,MACALELON,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,43,0.29 %
REGION IV-A,QUEZON,MACALELON,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,32,0.22 %
REGION IV-A,QUEZON,MACALELON,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,337,2.34 %
REGION IV-A,QUEZON,MACALELON,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,33,0.22 %
REGION IV-A,QUEZON,MACALELON,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,267,1.85 %
REGION IV-A,QUEZON,MACALELON,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,11,0.07 %
REGION IV-A,QUEZON,MACALELON,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,4005,27.88 %
REGION IV-A,QUEZON,MACALELON,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,92,0.67 %
REGION IV-A,QUEZON,MACALELON,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,36,0.26 %
REGION IV-A,QUEZON,MACALELON,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,23,0.16 %
REGION IV-A,QUEZON,MACALELON,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,3555,26.23 %
REGION IV-A,QUEZON,MACALELON,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,43,0.31 %
REGION IV-A,QUEZON,MACALELON,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,633,4.67 %
REGION IV-A,QUEZON,MACALELON,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,5811,42.88 %
REGION IV-A,QUEZON,MACALELON,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,34,0.25 %
REGION IV-A,QUEZON,MACALELON,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,3323,24.52 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,309,0.29 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,193,0.18 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,184,0.17 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,814,0.78 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,182,0.17 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,1090,1.04 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,175,0.16 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,2518,2.41 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,280,0.26 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,10,"BELLO, SILVESTRE JR.",PDPLBN,282,0.27 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,11,"BINAY, JOJO",UNA,4460,4.28 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,12,"CABONEGRO, ROY",PLM,164,0.15 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,13,"CASTRICIONES, BRO JOHN",PDPLBN,131,0.12 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,14,"CAYETANO, ALAN PETER",IND,4524,4.34 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,15,"CHAVEZ, MELCHOR",WPP,272,0.26 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,16,"COLMENARES, NERI",MKBYN,1554,1.49 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,17,"D'ANGELO, DAVID",PLM,195,0.18 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,18,"DE LIMA, LEILA",LP,2936,2.82 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,19,"DEL ROSARIO, MONSOUR",PDR,1181,1.13 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,20,"DIAZ, DING",PPP,146,0.14 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,21,"DIOKNO, CHEL",KANP,2628,2.52 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,22,"EJERCITO, JV ESTRADA",NPC,3464,3.32 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,23,"ELEAZAR, GEN. GUILLERMO",PDR,6524,6.26 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,24,"EREÑO, BRO. ERNIE",PM,138,0.13 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,25,"ESCUDERO, CHIZ",NPC,5394,5.18 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,26,"ESPIRITU, LUKE",PLM,807,0.77 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,27,"ESTRADA, JINGGOY",PMP,3531,3.39 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,28,"FALCONE, BAL FALCON",DPP,105,0.10 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,29,"GADON, LARRY",KBL,1373,1.31 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,30,"GATCHALIAN, WIN",NPC,4661,4.47 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,31,"GORDON, WOW DICK",BVNP,2208,2.12 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,32,"GUTOC, SAMIRA",AKSYON,263,0.25 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,33,"HONASAN, GRINGO",IND,2832,2.72 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,34,"HONTIVEROS, RISA",AKBAYAN,5594,5.37 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,35,"JAVELLANA, RJ",IND,131,0.12 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,36,"KIRAM, NUR-MAHAL",IND,124,0.11 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,37,"LABOG, ELMER",MKBYN,284,0.27 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,38,"LACSON, KUYA ALEX",KP,1328,1.27 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,39,"LANGIT, REY",PDPLBN,401,0.38 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,40,"LEGARDA, LOREN",NPC,5770,5.54 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,41,"LIM, ARIEL",IND,122,0.11 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,42,"MALLILLIN, EMILY",PPM,101,0.09 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,43,"MARCOLETA, RODANTE",PDPLBN,408,0.39 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,44,"MARCOS, FRANCIS LEO",IND,697,0.66 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,45,"MATULA, SONNY",IND,620,0.59 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,46,"MINDALANO-ADAM,MARIETA",KTPNAN,105,0.10 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,47,"OLARTE, ATTY/DR. LEO",BIGKIS,135,0.12 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,48,"PADILLA, DRA. MINGUITA",PDR,624,0.59 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,49,"PADILLA, ROBIN",PDPLBN,5354,5.14 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,50,"PANELO, SAL PANALO",PDPLBN,404,0.38 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,51,"PIMENTEL, ASTRA",PDPLBN,643,0.61 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,52,"PIÑOL, MANNY",NPC,422,0.40 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,53,"RICABLANCA, WILLIE JR.",PM,130,0.12 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,54,"ROQUE, HARRY SPOX",PRP,1136,1.09 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,55,"SAHIDULLA, LADY ANNE",PDDS,88,0.08 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,56,"SISON, JOPET",AKSYON,693,0.66 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,57,"TEODORO, GIBO",PRP,1517,1.45 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,58,"TRILLANES, ANTONIO IV",LP,3795,3.64 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,59,"TULFO, IDOL RAFFY",IND,6373,6.12 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,60,"VALEROS, REY",IND,89,0.08 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,61,"VILLANUEVA,JOEL TESDAMAN",IND,4259,4.09 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,62,"VILLAR, MARK",NP,3586,3.44 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,63,"ZUBIAGA, CARMEN",IND,339,0.32 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,64,"ZUBIRI, MIGZ",IND,3310,3.17 %
REGION IV-A,QUEZON,MACALELON,SENATOR PHILIPPINES,65,35 BH,BAGONG HENERASYON,68,0.79 %
REGION IV-A,QUEZON,MACALELON,"MEMBER, HOUSE OF REPRESENTATIVES QUEZON - THIRD LEGDIST",1,"AROGANTE, REYNAN",WPP,586,4.48 %
