region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-B,MARINDUQUE,BOAC,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,87,0.26 %
REGION IV-B,MARINDUQUE,BOAC,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,98,0.29 %
REGION IV-B,MARINDUQUE,BOAC,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,1994,6.07 %
REGION IV-B,MARINDUQUE,BOAC,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,55,0.16 %
REGION IV-B,MARINDUQUE,BOAC,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,897,2.73 %
REGION IV-B,MARINDUQUE,BOAC,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,15,0.04 %
REGION IV-B,MARINDUQUE,BOAC,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,14411,43.93 %
REGION IV-B,MARINDUQUE,BOAC,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,149,0.46 %
REGION IV-B,MARINDUQUE,BOAC,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,68,0.21 %
REGION IV-B,MARINDUQUE,BOAC,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,41,0.12 %
REGION IV-B,MARINDUQUE,BOAC,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,14620,45.31 %
REGION IV-B,MARINDUQUE,BOAC,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,90,0.27 %
REGION IV-B,MARINDUQUE,BOAC,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,1611,4.99 %
REGION IV-B,MARINDUQUE,BOAC,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,8923,27.65 %
REGION IV-B,MARINDUQUE,BOAC,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,49,0.15 %
REGION IV-B,MARINDUQUE,BOAC,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,6709,20.79 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,485,0.18 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,280,0.10 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,263,0.10 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,2699,1.04 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,409,0.15 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,2883,1.12 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,293,0.11 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,7215,2.80 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,620,0.24 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,10,"BELLO, SILVESTRE JR.",PDPLBN,945,0.36 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,11,"BINAY, JOJO",UNA,9501,3.69 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,12,"CABONEGRO, ROY",PLM,386,0.15 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,13,"CASTRICIONES, BRO JOHN",PDPLBN,312,0.12 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,14,"CAYETANO, ALAN PETER",IND,9435,3.66 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,15,"CHAVEZ, MELCHOR",WPP,695,0.27 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,16,"COLMENARES, NERI",MKBYN,4531,1.76 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,17,"D'ANGELO, DAVID",PLM,396,0.15 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,18,"DE LIMA, LEILA",LP,5192,2.01 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,19,"DEL ROSARIO, MONSOUR",PDR,2294,0.89 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,20,"DIAZ, DING",PPP,260,0.10 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,21,"DIOKNO, CHEL",KANP,7671,2.98 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,22,"EJERCITO, JV ESTRADA",NPC,9570,3.71 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,23,"ELEAZAR, GEN. GUILLERMO",PDR,7529,2.92 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,24,"EREÑO, BRO. ERNIE",PM,243,0.09 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,25,"ESCUDERO, CHIZ",NPC,13564,5.27 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,26,"ESPIRITU, LUKE",PLM,2124,0.82 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,27,"ESTRADA, JINGGOY",PMP,8816,3.42 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,28,"FALCONE, BAL FALCON",DPP,189,0.07 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,29,"GADON, LARRY",KBL,3775,1.46 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,30,"GATCHALIAN, WIN",NPC,13541,5.26 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,31,"GORDON, WOW DICK",BVNP,6613,2.56 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,32,"GUTOC, SAMIRA",AKSYON,681,0.26 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,33,"HONASAN, GRINGO",IND,6327,2.45 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,34,"HONTIVEROS, RISA",AKBAYAN,12584,4.89 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,35,"JAVELLANA, RJ",IND,203,0.07 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,36,"KIRAM, NUR-MAHAL",IND,206,0.08 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,37,"LABOG, ELMER",MKBYN,1245,0.48 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,38,"LACSON, KUYA ALEX",KP,3421,1.32 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,39,"LANGIT, REY",PDPLBN,1054,0.40 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,40,"LEGARDA, LOREN",NPC,15559,6.04 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,41,"LIM, ARIEL",IND,534,0.20 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,42,"MALLILLIN, EMILY",PPM,151,0.05 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,43,"MARCOLETA, RODANTE",PDPLBN,1302,0.50 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,44,"MARCOS, FRANCIS LEO",IND,2138,0.83 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,45,"MATULA, SONNY",IND,1914,0.74 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,46,"MINDALANO-ADAM,MARIETA",KTPNAN,176,0.06 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,47,"OLARTE, ATTY/DR. LEO",BIGKIS,240,0.09 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,48,"PADILLA, DRA. MINGUITA",PDR,1500,0.58 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,49,"PADILLA, ROBIN",PDPLBN,12633,4.90 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,50,"PANELO, SAL PANALO",PDPLBN,1569,0.60 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,51,"PIMENTEL, ASTRA",PDPLBN,1456,0.56 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,52,"PIÑOL, MANNY",NPC,1093,0.42 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,53,"RICABLANCA, WILLIE JR.",PM,293,0.11 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,54,"ROQUE, HARRY SPOX",PRP,4114,1.59 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,55,"SAHIDULLA, LADY ANNE",PDDS,151,0.05 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,56,"SISON, JOPET",AKSYON,1765,0.68 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,57,"TEODORO, GIBO",PRP,4399,1.70 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,58,"TRILLANES, ANTONIO IV",LP,6708,2.60 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,59,"TULFO, IDOL RAFFY",IND,17080,6.63 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,60,"VALEROS, REY",IND,233,0.09 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,61,"VILLANUEVA,JOEL TESDAMAN",IND,11685,4.54 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,62,"VILLAR, MARK",NP,11635,4.52 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,63,"ZUBIAGA, CARMEN",IND,915,0.35 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,64,"ZUBIRI, MIGZ",IND,9633,3.74 %
REGION IV-B,MARINDUQUE,BOAC,SENATOR PHILIPPINES,65,35 BH,BAGONG HENERASYON,149,0.63 %
