region,province,city,position,rank,candidate_name,party,votes,percentage
REGION V,CATANDUANES,GIGMOTO,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,7,0.11 %
REGION V,CATANDUANES,GIGMOTO,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,10,0.15 %
REGION V,CATANDUANES,GIGMOTO,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,68,1.07 %
REGION V,CATANDUANES,GIGMOTO,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,4,0.06 %
REGION V,CATANDUANES,GIGMOTO,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,74,1.16 %
REGION V,CATANDUANES,GIGMOTO,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,4,0.06 %
REGION V,CATANDUANES,GIGMOTO,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,1537,24.19 %
REGION V,CATANDUANES,GIGMOTO,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,21,0.34 %
REGION V,CATANDUANES,GIGMOTO,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,12,0.19 %
REGION V,CATANDUANES,GIGMOTO,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,7,0.11 %
REGION V,CATANDUANES,GIGMOTO,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,1829,30.14 %
REGION V,CATANDUANES,GIGMOTO,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,17,0.28 %
REGION V,CATANDUANES,GIGMOTO,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,238,3.92 %
REGION V,CATANDUANES,GIGMOTO,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,2792,46.01 %
REGION V,CATANDUANES,GIGMOTO,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,17,0.28 %
REGION V,CATANDUANES,GIGMOTO,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,1134,18.69 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,88,0.20 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,86,0.19 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,42,0.09 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,472,1.08 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,61,0.14 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,317,0.73 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,70,0.16 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,963,2.21 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,104,0.23 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,10,"BELLO, SILVESTRE JR.",PDPLBN,143,0.32 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,11,"BINAY, JOJO",UNA,1421,3.27 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,12,"CABONEGRO, ROY",PLM,68,0.15 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,13,"CASTRICIONES, BRO JOHN",PDPLBN,51,0.11 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,14,"CAYETANO, ALAN PETER",IND,1852,4.26 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,15,"CHAVEZ, MELCHOR",WPP,206,0.47 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,16,"COLMENARES, NERI",MKBYN,653,1.50 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,17,"D'ANGELO, DAVID",PLM,65,0.14 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,18,"DE LIMA, LEILA",LP,1471,3.39 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,19,"DEL ROSARIO, MONSOUR",PDR,335,0.77 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,20,"DIAZ, DING",PPP,88,0.20 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,21,"DIOKNO, CHEL",KANP,1343,3.09 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,22,"EJERCITO, JV ESTRADA",NPC,1605,3.69 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,23,"ELEAZAR, GEN. GUILLERMO",PDR,818,1.88 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,24,"EREÑO, BRO. ERNIE",PM,61,0.14 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,25,"ESCUDERO, CHIZ",NPC,2783,6.41 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,26,"ESPIRITU, LUKE",PLM,374,0.86 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,27,"ESTRADA, JINGGOY",PMP,1540,3.54 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,28,"FALCONE, BAL FALCON",DPP,42,0.09 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,29,"GADON, LARRY",KBL,708,1.63 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,30,"GATCHALIAN, WIN",NPC,1964,4.52 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,31,"GORDON, WOW DICK",BVNP,1492,3.43 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,32,"GUTOC, SAMIRA",AKSYON,128,0.29 %
REGION V,CATANDUANES,GIGMOTO,SENATOR PHILIPPINES,33,"HONASAN, GRINGO",IND,1119,2.57 %
