region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VI,GUIMARAS,JORDAN,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,48,0.21 %
REGION VI,GUIMARAS,JORDAN,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,45,0.20 %
REGION VI,GUIMARAS,JORDAN,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,742,3.34 %
REGION VI,GUIMARAS,JORDAN,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,22,0.09 %
REGION VI,GUIMARAS,JORDAN,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,270,1.21 %
REGION VI,GUIMARAS,JORDAN,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,13,0.05 %
REGION VI,GUIMARAS,JORDAN,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,6918,31.16 %
REGION VI,GUIMARAS,JORDAN,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,277,1.30 %
REGION VI,GUIMARAS,JORDAN,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,49,0.23 %
REGION VI,GUIMARAS,JORDAN,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,48,0.22 %
REGION VI,GUIMARAS,JORDAN,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,6673,31.34 %
REGION VI,GUIMARAS,JORDAN,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,48,0.22 %
REGION VI,GUIMARAS,JORDAN,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,808,3.79 %
REGION VI,GUIMARAS,JORDAN,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,9437,44.32 %
REGION VI,GUIMARAS,JORDAN,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,19,0.08 %
REGION VI,GUIMARAS,JORDAN,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,3933,18.47 %
REGION VI,GUIMARAS,JORDAN,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,307,0.18 %
REGION VI,GUIMARAS,JORDAN,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,199,0.12 %
REGION VI,GUIMARAS,JORDAN,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,239,0.14 %
REGION VI,GUIMARAS,JORDAN,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,1488,0.91 %
REGION VI,GUIMARAS,JORDAN,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,245,0.15 %
