region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,104,0.32 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,74,0.22 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,826,2.55 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,73,0.22 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,465,1.43 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,18,0.05 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,10645,32.87 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,217,0.69 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,83,0.26 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,90,0.28 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,9547,30.68 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,115,0.36 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,921,2.96 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,12117,38.95 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,93,0.29 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,7925,25.47 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,576,0.24 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,397,0.16 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,383,0.16 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,2396,1.00 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,384,0.16 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,1573,0.65 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,384,0.16 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,6291,2.63 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,527,0.22 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,SENATOR PHILIPPINES,10,"BELLO, SILVESTRE JR.",PDPLBN,674,0.28 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,SENATOR PHILIPPINES,11,"BINAY, JOJO",UNA,8133,3.41 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,SENATOR PHILIPPINES,12,"CABONEGRO, ROY",PLM,469,0.19 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,SENATOR PHILIPPINES,13,"CASTRICIONES, BRO JOHN",PDPLBN,300,0.12 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,SENATOR PHILIPPINES,14,"CAYETANO, ALAN PETER",IND,10998,4.61 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,SENATOR PHILIPPINES,15,"CHAVEZ, MELCHOR",WPP,625,0.26 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,SENATOR PHILIPPINES,16,"COLMENARES, NERI",MKBYN,6206,2.60 %
REGION VI,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,SENATOR PHILIPPINES,17,"D'ANGELO, DAVID",PLM,406,0.17 %
