region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VI,NEGROS OCCIDENTAL,ISABELA,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,225,0.72 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,129,0.41 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,809,2.61 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,108,0.34 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,427,1.38 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,37,0.11 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,10946,35.42 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,454,1.58 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,187,0.65 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,113,0.39 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,10638,37.07 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,349,1.21 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,940,3.27 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,10704,37.30 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,161,0.56 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,5147,17.93 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,786,0.35 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,676,0.30 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,672,0.30 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,2027,0.90 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,551,0.24 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,1642,0.73 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,622,0.27 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,6333,2.83 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,608,0.27 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,10,"BELLO, SILVESTRE JR.",PDPLBN,748,0.33 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,11,"BINAY, JOJO",UNA,7598,3.39 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,12,"CABONEGRO, ROY",PLM,517,0.23 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,13,"CASTRICIONES, BRO JOHN",PDPLBN,459,0.20 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,14,"CAYETANO, ALAN PETER",IND,9569,4.28 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,15,"CHAVEZ, MELCHOR",WPP,762,0.34 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,16,"COLMENARES, NERI",MKBYN,7225,3.23 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,17,"D'ANGELO, DAVID",PLM,527,0.23 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,18,"DE LIMA, LEILA",LP,4936,2.20 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,19,"DEL ROSARIO, MONSOUR",PDR,2854,1.27 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,20,"DIAZ, DING",PPP,598,0.26 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,21,"DIOKNO, CHEL",KANP,4753,2.12 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,22,"EJERCITO, JV ESTRADA",NPC,6334,2.83 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,23,"ELEAZAR, GEN. GUILLERMO",PDR,4274,1.91 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,24,"EREÑO, BRO. ERNIE",PM,460,0.20 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,25,"ESCUDERO, CHIZ",NPC,9702,4.33 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,26,"ESPIRITU, LUKE",PLM,1797,0.80 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,27,"ESTRADA, JINGGOY",PMP,6859,3.06 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,28,"FALCONE, BAL FALCON",DPP,422,0.18 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,29,"GADON, LARRY",KBL,3059,1.36 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,30,"GATCHALIAN, WIN",NPC,9418,4.21 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,31,"GORDON, WOW DICK",BVNP,5373,2.40 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,32,"GUTOC, SAMIRA",AKSYON,566,0.25 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,33,"HONASAN, GRINGO",IND,6153,2.75 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,34,"HONTIVEROS, RISA",AKBAYAN,9662,4.32 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,35,"JAVELLANA, RJ",IND,613,0.27 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,36,"KIRAM, NUR-MAHAL",IND,435,0.19 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,37,"LABOG, ELMER",MKBYN,618,0.27 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,38,"LACSON, KUYA ALEX",KP,4677,2.09 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,39,"LANGIT, REY",PDPLBN,541,0.24 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,40,"LEGARDA, LOREN",NPC,12189,5.45 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,41,"LIM, ARIEL",IND,609,0.27 %
REGION VI,NEGROS OCCIDENTAL,ISABELA,SENATOR PHILIPPINES,42,"MALLILLIN, EMILY",PPM,410,0.18 %
