region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VII,BOHOL,TUBIGON,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,88,0.32 %
REGION VII,BOHOL,TUBIGON,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,37,0.13 %
REGION VII,BOHOL,TUBIGON,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,880,3.25 %
REGION VII,BOHOL,TUBIGON,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,51,0.18 %
REGION VII,BOHOL,TUBIGON,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,330,1.21 %
REGION VII,BOHOL,TUBIGON,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,20,0.07 %
REGION VII,BOHOL,TUBIGON,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,18890,69.81 %
REGION VII,BOHOL,TUBIGON,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,156,0.58 %
REGION VII,BOHOL,TUBIGON,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,48,0.18 %
REGION VII,BOHOL,TUBIGON,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,24,0.09 %
REGION VII,BOHOL,TUBIGON,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,21554,81.51 %
REGION VII,BOHOL,TUBIGON,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,140,0.52 %
REGION VII,BOHOL,TUBIGON,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,483,1.82 %
REGION VII,BOHOL,TUBIGON,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,2104,7.95 %
REGION VII,BOHOL,TUBIGON,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,50,0.18 %
REGION VII,BOHOL,TUBIGON,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,1884,7.12 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,430,0.20 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,370,0.17 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,320,0.14 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,961,0.44 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,380,0.17 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,2121,0.99 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,372,0.17 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,6127,2.86 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,980,0.45 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,10,"BELLO, SILVESTRE JR.",PDPLBN,849,0.39 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,11,"BINAY, JOJO",UNA,5712,2.67 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,12,"CABONEGRO, ROY",PLM,286,0.13 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,13,"CASTRICIONES, BRO JOHN",PDPLBN,348,0.16 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,14,"CAYETANO, ALAN PETER",IND,12237,5.72 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,15,"CHAVEZ, MELCHOR",WPP,619,0.28 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,16,"COLMENARES, NERI",MKBYN,1659,0.77 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,17,"D'ANGELO, DAVID",PLM,326,0.15 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,18,"DE LIMA, LEILA",LP,1827,0.85 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,19,"DEL ROSARIO, MONSOUR",PDR,2432,1.13 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,20,"DIAZ, DING",PPP,338,0.15 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,21,"DIOKNO, CHEL",KANP,3308,1.54 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,22,"EJERCITO, JV ESTRADA",NPC,8397,3.92 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,23,"ELEAZAR, GEN. GUILLERMO",PDR,3811,1.78 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,24,"EREÑO, BRO. ERNIE",PM,263,0.12 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,25,"ESCUDERO, CHIZ",NPC,9850,4.60 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,26,"ESPIRITU, LUKE",PLM,832,0.38 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,27,"ESTRADA, JINGGOY",PMP,7302,3.41 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,28,"FALCONE, BAL FALCON",DPP,256,0.11 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,29,"GADON, LARRY",KBL,4442,2.07 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,30,"GATCHALIAN, WIN",NPC,10673,4.99 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,31,"GORDON, WOW DICK",BVNP,4247,1.98 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,32,"GUTOC, SAMIRA",AKSYON,431,0.20 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,33,"HONASAN, GRINGO",IND,4135,1.93 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,34,"HONTIVEROS, RISA",AKBAYAN,7162,3.35 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,35,"JAVELLANA, RJ",IND,282,0.13 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,36,"KIRAM, NUR-MAHAL",IND,241,0.11 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,37,"LABOG, ELMER",MKBYN,329,0.15 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,38,"LACSON, KUYA ALEX",KP,2178,1.01 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,39,"LANGIT, REY",PDPLBN,468,0.21 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,40,"LEGARDA, LOREN",NPC,12124,5.67 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,41,"LIM, ARIEL",IND,421,0.19 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,42,"MALLILLIN, EMILY",PPM,235,0.10 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,43,"MARCOLETA, RODANTE",PDPLBN,2697,1.26 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,44,"MARCOS, FRANCIS LEO",IND,2475,1.15 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,45,"MATULA, SONNY",IND,592,0.27 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,46,"MINDALANO-ADAM,MARIETA",KTPNAN,228,0.10 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,47,"OLARTE, ATTY/DR. LEO",BIGKIS,277,0.12 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,48,"PADILLA, DRA. MINGUITA",PDR,2231,1.04 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,49,"PADILLA, ROBIN",PDPLBN,14302,6.69 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,50,"PANELO, SAL PANALO",PDPLBN,2840,1.32 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,51,"PIMENTEL, ASTRA",PDPLBN,1839,0.86 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,52,"PIÑOL, MANNY",NPC,1953,0.91 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,53,"RICABLANCA, WILLIE JR.",PM,346,0.16 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,54,"ROQUE, HARRY SPOX",PRP,6709,3.13 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,55,"SAHIDULLA, LADY ANNE",PDDS,194,0.09 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,56,"SISON, JOPET",AKSYON,740,0.34 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,57,"TEODORO, GIBO",PRP,8144,3.81 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,58,"TRILLANES, ANTONIO IV",LP,2623,1.22 %
REGION VII,BOHOL,TUBIGON,SENATOR PHILIPPINES,59,"TULFO, IDOL RAFFY",IND,11561,5.40 %
