region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VII,CEBU,BADIAN,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,91,0.40 %
REGION VII,CEBU,BADIAN,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,77,0.34 %
REGION VII,CEBU,BADIAN,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,635,2.80 %
REGION VII,CEBU,BADIAN,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,59,0.26 %
REGION VII,CEBU,BADIAN,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,240,1.06 %
REGION VII,CEBU,BADIAN,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,31,0.13 %
REGION VII,CEBU,BADIAN,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,9666,42.76 %
REGION VII,CEBU,BADIAN,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,608,2.97 %
REGION VII,CEBU,BADIAN,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,94,0.45 %
REGION VII,CEBU,BADIAN,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,203,0.99 %
REGION VII,CEBU,BADIAN,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,13371,65.35 %
REGION VII,CEBU,BADIAN,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,202,0.98 %
REGION VII,CEBU,BADIAN,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,491,2.40 %
REGION VII,CEBU,BADIAN,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,2575,12.58 %
REGION VII,CEBU,BADIAN,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,82,0.40 %
REGION VII,CEBU,BADIAN,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,2832,13.84 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,442,0.30 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,481,0.33 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,379,0.26 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,642,0.44 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,534,0.36 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,1301,0.89 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,405,0.27 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,3493,2.41 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,671,0.46 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,10,"BELLO, SILVESTRE JR.",PDPLBN,598,0.41 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,11,"BINAY, JOJO",UNA,4370,3.01 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,12,"CABONEGRO, ROY",PLM,310,0.21 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,13,"CASTRICIONES, BRO JOHN",PDPLBN,322,0.22 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,14,"CAYETANO, ALAN PETER",IND,8883,6.13 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,15,"CHAVEZ, MELCHOR",WPP,500,0.34 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,16,"COLMENARES, NERI",MKBYN,1466,1.01 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,17,"D'ANGELO, DAVID",PLM,511,0.35 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,18,"DE LIMA, LEILA",LP,1445,0.99 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,19,"DEL ROSARIO, MONSOUR",PDR,1501,1.03 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,20,"DIAZ, DING",PPP,445,0.30 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,21,"DIOKNO, CHEL",KANP,1932,1.33 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,22,"EJERCITO, JV ESTRADA",NPC,5539,3.82 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,23,"ELEAZAR, GEN. GUILLERMO",PDR,2665,1.84 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,24,"EREÑO, BRO. ERNIE",PM,356,0.24 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,25,"ESCUDERO, CHIZ",NPC,5878,4.05 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,26,"ESPIRITU, LUKE",PLM,697,0.48 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,27,"ESTRADA, JINGGOY",PMP,5015,3.46 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,28,"FALCONE, BAL FALCON",DPP,237,0.16 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,29,"GADON, LARRY",KBL,2247,1.55 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,30,"GATCHALIAN, WIN",NPC,6974,4.81 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,31,"GORDON, WOW DICK",BVNP,2715,1.87 %
REGION VII,CEBU,BADIAN,SENATOR PHILIPPINES,32,"GUTOC, SAMIRA",AKSYON,327,0.22 %
