region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VII,CEBU,CITY OF MANDAUE,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,256,0.13 %
REGION VII,CEBU,CITY OF MANDAUE,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,401,0.20 %
REGION VII,CEBU,CITY OF MANDAUE,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,6558,3.40 %
REGION VII,CEBU,CITY OF MANDAUE,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,338,0.17 %
REGION VII,CEBU,CITY OF MANDAUE,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,3419,1.77 %
REGION VII,CEBU,CITY OF MANDAUE,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,158,0.08 %
REGION VII,CEBU,CITY OF MANDAUE,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,110146,57.25 %
REGION VII,CEBU,CITY OF MANDAUE,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,1291,0.68 %
REGION VII,CEBU,CITY OF MANDAUE,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,258,0.13 %
REGION VII,CEBU,CITY OF MANDAUE,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,191,0.10 %
REGION VII,CEBU,CITY OF MANDAUE,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,127053,66.94 %
REGION VII,CEBU,CITY OF MANDAUE,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,345,0.18 %
REGION VII,CEBU,CITY OF MANDAUE,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,5086,2.67 %
REGION VII,CEBU,CITY OF MANDAUE,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,27928,14.71 %
REGION VII,CEBU,CITY OF MANDAUE,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,207,0.10 %
REGION VII,CEBU,CITY OF MANDAUE,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,27430,14.45 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,2805,0.16 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,1990,0.11 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,1944,0.11 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,14060,0.81 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,3084,0.17 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,10697,0.62 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,3397,0.19 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,49514,2.87 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,8897,0.51 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,10,"BELLO, SILVESTRE JR.",PDPLBN,7567,0.43 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,11,"BINAY, JOJO",UNA,42645,2.47 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,12,"CABONEGRO, ROY",PLM,3075,0.17 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,13,"CASTRICIONES, BRO JOHN",PDPLBN,2856,0.16 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,14,"CAYETANO, ALAN PETER",IND,87609,5.08 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,15,"CHAVEZ, MELCHOR",WPP,4643,0.26 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,16,"COLMENARES, NERI",MKBYN,24303,1.41 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,17,"D'ANGELO, DAVID",PLM,2969,0.17 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,18,"DE LIMA, LEILA",LP,22637,1.31 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,19,"DEL ROSARIO, MONSOUR",PDR,15349,0.89 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,20,"DIAZ, DING",PPP,2316,0.13 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,21,"DIOKNO, CHEL",KANP,39351,2.28 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,22,"EJERCITO, JV ESTRADA",NPC,51306,2.97 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,23,"ELEAZAR, GEN. GUILLERMO",PDR,31382,1.82 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,24,"EREÑO, BRO. ERNIE",PM,1610,0.09 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,25,"ESCUDERO, CHIZ",NPC,80396,4.66 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,26,"ESPIRITU, LUKE",PLM,12480,0.72 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,27,"ESTRADA, JINGGOY",PMP,47166,2.73 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,28,"FALCONE, BAL FALCON",DPP,2203,0.12 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,29,"GADON, LARRY",KBL,40841,2.37 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,30,"GATCHALIAN, WIN",NPC,86617,5.03 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,31,"GORDON, WOW DICK",BVNP,32883,1.90 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,32,"GUTOC, SAMIRA",AKSYON,4541,0.26 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,33,"HONASAN, GRINGO",IND,37820,2.19 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,34,"HONTIVEROS, RISA",AKBAYAN,72061,4.18 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,35,"JAVELLANA, RJ",IND,1596,0.09 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,36,"KIRAM, NUR-MAHAL",IND,1766,0.10 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,37,"LABOG, ELMER",MKBYN,5474,0.31 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,38,"LACSON, KUYA ALEX",KP,20326,1.18 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,39,"LANGIT, REY",PDPLBN,4980,0.28 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,40,"LEGARDA, LOREN",NPC,96674,5.61 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,41,"LIM, ARIEL",IND,2132,0.12 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,42,"MALLILLIN, EMILY",PPM,1644,0.09 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,43,"MARCOLETA, RODANTE",PDPLBN,15826,0.91 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,44,"MARCOS, FRANCIS LEO",IND,21070,1.22 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,45,"MATULA, SONNY",IND,9612,0.55 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,46,"MINDALANO-ADAM,MARIETA",KTPNAN,1295,0.07 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,47,"OLARTE, ATTY/DR. LEO",BIGKIS,2532,0.14 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,48,"PADILLA, DRA. MINGUITA",PDR,18187,1.05 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,49,"PADILLA, ROBIN",PDPLBN,102689,5.96 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,50,"PANELO, SAL PANALO",PDPLBN,28098,1.63 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,51,"PIMENTEL, ASTRA",PDPLBN,14048,0.81 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,52,"PIÑOL, MANNY",NPC,15204,0.88 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,53,"RICABLANCA, WILLIE JR.",PM,2115,0.12 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,54,"ROQUE, HARRY SPOX",PRP,52846,3.06 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,55,"SAHIDULLA, LADY ANNE",PDDS,1196,0.06 %
REGION VII,CEBU,CITY OF MANDAUE,SENATOR PHILIPPINES,56,"SISON, JOPET",AKSYON,5291,0.30 %
