region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VII,CEBU,TABOGON,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,43,0.17 %
REGION VII,CEBU,TABOGON,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,38,0.15 %
REGION VII,CEBU,TABOGON,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,341,1.40 %
REGION VII,CEBU,TABOGON,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,34,0.14 %
REGION VII,CEBU,TABOGON,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,253,1.04 %
REGION VII,CEBU,TABOGON,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,17,0.07 %
REGION VII,CEBU,TABOGON,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,9785,40.37 %
REGION VII,CEBU,TABOGON,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,678,3.03 %
REGION VII,CEBU,TABOGON,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,48,0.21 %
REGION VII,CEBU,TABOGON,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,87,0.38 %
REGION VII,CEBU,TABOGON,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,12892,57.65 %
REGION VII,CEBU,TABOGON,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,124,0.55 %
REGION VII,CEBU,TABOGON,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,693,3.09 %
REGION VII,CEBU,TABOGON,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,3577,15.99 %
REGION VII,CEBU,TABOGON,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,57,0.25 %
REGION VII,CEBU,TABOGON,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,4203,18.79 %
REGION VII,CEBU,TABOGON,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,414,0.24 %
REGION VII,CEBU,TABOGON,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,382,0.22 %
REGION VII,CEBU,TABOGON,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,394,0.23 %
REGION VII,CEBU,TABOGON,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,807,0.47 %
REGION VII,CEBU,TABOGON,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,442,0.25 %
REGION VII,CEBU,TABOGON,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,1311,0.77 %
REGION VII,CEBU,TABOGON,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,443,0.26 %
REGION VII,CEBU,TABOGON,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,4251,2.49 %
REGION VII,CEBU,TABOGON,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,585,0.34 %
REGION VII,CEBU,TABOGON,SENATOR PHILIPPINES,10,"BELLO, SILVESTRE JR.",PDPLBN,730,0.42 %
REGION VII,CEBU,TABOGON,SENATOR PHILIPPINES,11,"BINAY, JOJO",UNA,6084,3.57 %
REGION VII,CEBU,TABOGON,SENATOR PHILIPPINES,12,"CABONEGRO, ROY",PLM,309,0.18 %
REGION VII,CEBU,TABOGON,SENATOR PHILIPPINES,13,"CASTRICIONES, BRO JOHN",PDPLBN,327,0.19 %
