region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VII,CEBU,TUBURAN,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,115,0.30 %
REGION VII,CEBU,TUBURAN,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,76,0.19 %
REGION VII,CEBU,TUBURAN,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,440,1.15 %
REGION VII,CEBU,TUBURAN,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,67,0.17 %
REGION VII,CEBU,TUBURAN,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,224,0.58 %
REGION VII,CEBU,TUBURAN,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,26,0.06 %
REGION VII,CEBU,TUBURAN,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,10355,27.13 %
REGION VII,CEBU,TUBURAN,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,1028,3.11 %
REGION VII,CEBU,TUBURAN,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,93,0.28 %
REGION VII,CEBU,TUBURAN,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,267,0.80 %
REGION VII,CEBU,TUBURAN,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,18981,57.47 %
REGION VII,CEBU,TUBURAN,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,263,0.79 %
REGION VII,CEBU,TUBURAN,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,802,2.42 %
REGION VII,CEBU,TUBURAN,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,5430,16.44 %
REGION VII,CEBU,TUBURAN,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,123,0.37 %
REGION VII,CEBU,TUBURAN,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,6038,18.28 %
REGION VII,CEBU,TUBURAN,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,527,0.27 %
REGION VII,CEBU,TUBURAN,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,422,0.21 %
REGION VII,CEBU,TUBURAN,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,395,0.20 %
REGION VII,CEBU,TUBURAN,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,983,0.51 %
REGION VII,CEBU,TUBURAN,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,427,0.22 %
REGION VII,CEBU,TUBURAN,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,1337,0.69 %
REGION VII,CEBU,TUBURAN,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,470,0.24 %
REGION VII,CEBU,TUBURAN,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,4382,2.27 %
REGION VII,CEBU,TUBURAN,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,687,0.35 %
REGION VII,CEBU,TUBURAN,SENATOR PHILIPPINES,10,"BELLO, SILVESTRE JR.",PDPLBN,639,0.33 %
REGION VII,CEBU,TUBURAN,SENATOR PHILIPPINES,11,"BINAY, JOJO",UNA,5646,2.93 %
REGION VII,CEBU,TUBURAN,SENATOR PHILIPPINES,12,"CABONEGRO, ROY",PLM,261,0.13 %
REGION VII,CEBU,TUBURAN,SENATOR PHILIPPINES,13,"CASTRICIONES, BRO JOHN",PDPLBN,274,0.14 %
REGION VII,CEBU,TUBURAN,SENATOR PHILIPPINES,14,"CAYETANO, ALAN PETER",IND,9313,4.84 %
REGION VII,CEBU,TUBURAN,SENATOR PHILIPPINES,15,"CHAVEZ, MELCHOR",WPP,430,0.22 %
REGION VII,CEBU,TUBURAN,SENATOR PHILIPPINES,16,"COLMENARES, NERI",MKBYN,1844,0.95 %
REGION VII,CEBU,TUBURAN,SENATOR PHILIPPINES,17,"D'ANGELO, DAVID",PLM,567,0.29 %
REGION VII,CEBU,TUBURAN,SENATOR PHILIPPINES,18,"DE LIMA, LEILA",LP,2467,1.28 %
