region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XII,COTABATO,CITY OF KIDAPAWAN,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,113,0.14 %
REGION XII,COTABATO,CITY OF KIDAPAWAN,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,116,0.15 %
REGION XII,COTABATO,CITY OF KIDAPAWAN,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,1601,2.07 %
REGION XII,COTABATO,CITY OF KIDAPAWAN,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,147,0.19 %
REGION XII,COTABATO,CITY OF KIDAPAWAN,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,1286,1.67 %
REGION XII,COTABATO,CITY OF KIDAPAWAN,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,311,0.40 %
REGION XII,COTABATO,CITY OF KIDAPAWAN,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,61843,80.31 %
REGION XII,COTABATO,CITY OF KIDAPAWAN,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,180,0.23 %
REGION XII,COTABATO,CITY OF KIDAPAWAN,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,110,0.14 %
REGION XII,COTABATO,CITY OF KIDAPAWAN,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,45,0.05 %
REGION XII,COTABATO,CITY OF KIDAPAWAN,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,70342,92.09 %
REGION XII,COTABATO,CITY OF KIDAPAWAN,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,132,0.17 %
REGION XII,COTABATO,CITY OF KIDAPAWAN,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,463,0.60 %
REGION XII,COTABATO,CITY OF KIDAPAWAN,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,2619,3.42 %
REGION XII,COTABATO,CITY OF KIDAPAWAN,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,86,0.11 %
