region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XIII,AGUSAN DEL NORTE,NASIPIT,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,49,0.19 %
REGION XIII,AGUSAN DEL NORTE,NASIPIT,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,28,0.11 %
REGION XIII,AGUSAN DEL NORTE,NASIPIT,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,408,1.64 %
REGION XIII,AGUSAN DEL NORTE,NASIPIT,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,43,0.17 %
REGION XIII,AGUSAN DEL NORTE,NASIPIT,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,218,0.87 %
REGION XIII,AGUSAN DEL NORTE,NASIPIT,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,39,0.15 %
REGION XIII,AGUSAN DEL NORTE,NASIPIT,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,19006,76.67 %
REGION XIII,AGUSAN DEL NORTE,NASIPIT,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,172,0.70 %
REGION XIII,AGUSAN DEL NORTE,NASIPIT,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,35,0.14 %
REGION XIII,AGUSAN DEL NORTE,NASIPIT,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,24,0.09 %
REGION XIII,AGUSAN DEL NORTE,NASIPIT,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,21621,89.16 %
REGION XIII,AGUSAN DEL NORTE,NASIPIT,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,66,0.27 %
REGION XIII,AGUSAN DEL NORTE,NASIPIT,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,255,1.05 %
REGION XIII,AGUSAN DEL NORTE,NASIPIT,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,1248,5.14 %
REGION XIII,AGUSAN DEL NORTE,NASIPIT,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,37,0.15 %
REGION XIII,AGUSAN DEL NORTE,NASIPIT,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,789,3.25 %
REGION XIII,AGUSAN DEL NORTE,NASIPIT,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,283,0.14 %
