region,province,city,position,rank,candidate_name,party,votes,percentage
BARMM,BASILAN,SUMISIP,SENATOR,1,"ABALOS, BENHUR",PFP,1596,1.5 %
BARMM,BASILAN,SUMISIP,SENATOR,2,"ADONIS, JEROME",MKBYN,190,0.18 %
BARMM,BASILAN,SUMISIP,SENATOR,3,"AMAD, WILSON",IND,263,0.25 %
BARMM,BASILAN,SUMISIP,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,201,0.19 %
BARMM,BASILAN,SUMISIP,SENATOR,5,"AQUINO, BAM",KNP,1916,1.8 %
BARMM,BASILAN,SUMISIP,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,244,0.23 %
BARMM,BASILAN,SUMISIP,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,162,0.15 %
BARMM,BASILAN,SUMISIP,SENATOR,8,"BALLON, ROBERTO",IND,226,0.21 %
BARMM,BASILAN,SUMISIP,SENATOR,9,"BINAY, ABBY",NPC,1103,1.04 %
BARMM,BASILAN,SUMISIP,SENATOR,10,"BONDOC, JIMMY",PDPLBN,8068,7.6 %
BARMM,BASILAN,SUMISIP,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,1041,0.98 %
BARMM,BASILAN,SUMISIP,SENATOR,12,"BOSITA, COLONEL",IND,594,0.56 %
BARMM,BASILAN,SUMISIP,SENATOR,13,"BROSAS, ARLENE",MKBYN,208,0.2 %
BARMM,BASILAN,SUMISIP,SENATOR,14,"CABONEGRO, ROY",DPP,185,0.17 %
BARMM,BASILAN,SUMISIP,SENATOR,15,"CAPUYAN, ALLEN",PPP,150,0.14 %
BARMM,BASILAN,SUMISIP,SENATOR,16,"CASIÑO, TEDDY",MKBYN,144,0.14 %
BARMM,BASILAN,SUMISIP,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,146,0.14 %
BARMM,BASILAN,SUMISIP,SENATOR,18,"CAYETANO, PIA",NP,1015,0.96 %
BARMM,BASILAN,SUMISIP,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,141,0.13 %
BARMM,BASILAN,SUMISIP,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,268,0.25 %
BARMM,BASILAN,SUMISIP,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,291,0.27 %
