region,province,city,position,rank,candidate_name,party,votes,percentage
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,1,"ABALOS, BENHUR",PFP,652,1.17 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,2,"ADONIS, JEROME",MKBYN,147,0.26 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,3,"AMAD, WILSON",IND,408,0.73 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,328,0.59 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,5,"AQUINO, BAM",KNP,1232,2.21 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,195,0.35 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,156,0.28 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,8,"BALLON, ROBERTO",IND,155,0.28 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,9,"BINAY, ABBY",NPC,1027,1.84 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,10,"BONDOC, JIMMY",PDPLBN,3186,5.71 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,1262,2.26 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,12,"BOSITA, COLONEL",IND,601,1.08 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,13,"BROSAS, ARLENE",MKBYN,157,0.28 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,14,"CABONEGRO, ROY",DPP,133,0.24 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,15,"CAPUYAN, ALLEN",PPP,195,0.35 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,16,"CASIÑO, TEDDY",MKBYN,165,0.3 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,158,0.28 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,18,"CAYETANO, PIA",NP,977,1.75 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,101,0.18 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,228,0.41 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,192,0.34 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,22,"DELA ROSA, BATO",PDPLBN,4858,8.71 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,200,0.36 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,24,"ESCOBAL, ARNEL",PM,190,0.34 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,25,"ESPIRITU, LUKE",PLM,278,0.5 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,117,0.21 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,27,"GAMBOA, MARC LOUIE",IND,211,0.38 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,28,"GO, BONG GO",PDPLBN,4935,8.85 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,29,"GONZALES, NORBERTO",PDSP,195,0.35 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,30,"HINLO, JAYVEE",PDPLBN,2300,4.12 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,31,"HONASAN, GRINGO",RP,733,1.31 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,32,"JOSE, RELLY JR.",KBL,132,0.24 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,33,"LACSON, PING",IND,818,1.47 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,34,"LAMBINO, RAUL",PDPLBN,2514,4.51 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,35,"LAPID, LITO",NPC,1979,3.55 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,36,"LEE, MANOY WILBERT",AKSYON,143,0.26 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,37,"LIDASAN, AMIRAH",MKBYN,458,0.82 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,38,"MARCOLETA, RODANTE",IND,2427,4.35 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,39,"MARCOS, IMEE R.",NP,978,1.75 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,40,"MARQUEZ, NORMAN",IND,175,0.31 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,41,"MARTINEZ, ERIC",IND,178,0.32 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,42,"MATA, DOC MARITES",IND,1399,2.51 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,43,"MATULA, ATTY. SONNY",WPP,236,0.42 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,44,"MAZA, LIZA",MKBYN,115,0.21 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,45,"MENDOZA, HEIDI",IND,451,0.81 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,46,"MONTEMAYOR, JOEY",IND,131,0.23 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,47,"MUSTAPHA, SUBAIR",WPP,452,0.81 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,48,"OLIVAR, JOSE JESSIE",IND,116,0.21 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,49,"ONG, DOC WILLIE",AKSYON,590,1.06 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,50,"PACQUIAO, MANNY PACMAN",PFP,908,1.63 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,51,"PANGILINAN, KIKO",LP,1117,2 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,52,"QUERUBIN, ARIEL PORFIRIO",NP,396,0.71 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,53,"QUIBOLOY, APOLLO",IND,1983,3.55 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,54,"RAMOS, DANILO",MKBYN,184,0.33 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,55,"REVILLAME, WILLIE WIL",IND,1065,1.91 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,56,"RODRIGUEZ, ATTY. VIC",IND,1770,3.17 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,57,"SAHIDULLA, NUR-ANA",IND,369,0.66 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,58,"SALVADOR, PHILLIP IPE",PDPLBN,3548,6.36 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,59,"SOTTO, TITO",NPC,951,1.7 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,60,"TAPADO, MICHAEL BONGBONG",PM,123,0.22 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,61,"TOLENTINO, FRANCIS TOL",PFP,427,0.77 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,62,"TULFO, BEN BITAG",IND,1004,1.8 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,63,"TULFO, ERWIN",LAKAS,1503,2.69 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,64,"VALBUENA, MAR MANIBELA",IND,125,0.22 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,65,"VERCELES, LEANDRO",IND,49,0.09 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,SENATOR,66,"VILLAR, CAMILLE",NP,1308,2.34 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,1 4PS,,391,5.6 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,2 PPP,,84,1.2 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,3 FPJ PANDAY BAYANIHAN,,40,0.57 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,4 KABATAAN,,36,0.52 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,5 DUTERTE YOUTH,,757,10.85 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,6 ML,,15,0.21 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,7 PBBM,,7,0.1 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,8 P3PWD,,12,0.17 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,9 MURANG KURYENTE,,20,0.29 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,10 BICOL SARO,,4,0.06 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,11 IPATUPAD,,19,0.27 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,12 PATROL,,4,0.06 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,13 JUAN PINOY,,4,0.06 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,14 ARTE,,2,0.03 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,15 WIFI,,10,0.14 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,16 MAAGAP,,1,0.01 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,17 UNITED SENIOR CITIZENS,,197,2.82 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,18 EPANAW SAMBAYANAN,,8,0.11 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,19 AKO PADAYON,,7,0.1 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,20 TUCP,,1341,19.22 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,21 ACT TEACHERS,,12,0.17 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,22 1PACMAN,,8,0.11 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,23 TGP,,23,0.33 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,24 DUMPER PTDA,,5,0.07 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,25 ANAKALUSUGAN,,2,0.03 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,26 AKSYON DAPAT,,4,0.06 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,27 BHW,,43,0.62 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,28 SULONG DIGNIDAD,,3,0.04 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,29 BATANG QUIAPO,,8,0.11 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,30 PBA,,3,0.04 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,31 GILAS,,4,0.06 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,32 AKO ILOCANO AKO,,1,0.01 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,33 PAMILYANG MAGSASAKA,,13,0.19 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,34 CLICK PARTY,,5,0.07 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,35 ABANTE BISDAK,,0,0 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,36 MANILA TEACHERS,,4,0.06 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,37 PAMANA,,17,0.24 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,38 NANAY,,7,0.1 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,39 KM NGAYON NA,,1,0.01 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,40 BABAE AKO,,39,0.56 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,41 ARISE,,9,0.13 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,42 MAGDALO,,3,0.04 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,43 APEC,,2,0.03 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,44 MAGBUBUKID,,11,0.16 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,45 SSS-GSIS PENSYONADO,,5,0.07 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,46 GABRIELA,,5,0.07 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,47 TINGOG,,7,0.1 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,48 APAT-DAPAT,,8,0.11 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,49 AHON MAHIRAP,,9,0.13 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,50 UGB,,5,0.07 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,51 AKBAYAN,,46,0.66 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,52 AGIMAT,,3,0.04 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,53 PHILRECA,,9,0.13 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,54 KAPUSO PM,,17,0.24 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,55 ILOCANO DEFENDERS,,1,0.01 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,56 1-RIDER PARTY-LIST,,10,0.14 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,57 TICTOK,,5,0.07 %
BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO,PARTY LIST,,59 BAYAN MUNA,,5,0.07 %
