region,province,city,position,rank,candidate_name,party,votes,percentage
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,1,"ABALOS, BENHUR",PFP,713,0.73 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,2,"ADONIS, JEROME",MKBYN,72,0.07 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,3,"AMAD, WILSON",IND,77,0.08 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,47,0.05 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,5,"AQUINO, BAM",KNP,1031,1.06 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,114,0.12 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,78,0.08 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,8,"BALLON, ROBERTO",IND,86,0.09 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,9,"BINAY, ABBY",NPC,725,0.74 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,10,"BONDOC, JIMMY",PDPLBN,7903,8.09 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,872,0.89 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,12,"BOSITA, COLONEL",IND,141,0.14 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,13,"BROSAS, ARLENE",MKBYN,66,0.07 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,14,"CABONEGRO, ROY",DPP,106,0.11 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,15,"CAPUYAN, ALLEN",PPP,97,0.1 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,16,"CASIÑO, TEDDY",MKBYN,71,0.07 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,64,0.07 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,18,"CAYETANO, PIA",NP,456,0.47 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,58,0.06 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,143,0.15 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,128,0.13 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,22,"DELA ROSA, BATO",PDPLBN,10546,10.79 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,149,0.15 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,24,"ESCOBAL, ARNEL",PM,138,0.14 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,25,"ESPIRITU, LUKE",PLM,147,0.15 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,124,0.13 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,27,"GAMBOA, MARC LOUIE",IND,122,0.12 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,28,"GO, BONG GO",PDPLBN,11658,11.93 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,29,"GONZALES, NORBERTO",PDSP,197,0.2 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,30,"HINLO, JAYVEE",PDPLBN,6289,6.44 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,31,"HONASAN, GRINGO",RP,1301,1.33 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,32,"JOSE, RELLY JR.",KBL,145,0.15 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,33,"LACSON, PING",IND,398,0.41 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,34,"LAMBINO, RAUL",PDPLBN,7218,7.39 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,35,"LAPID, LITO",NPC,1120,1.15 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,36,"LEE, MANOY WILBERT",AKSYON,137,0.14 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,37,"LIDASAN, AMIRAH",MKBYN,68,0.07 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,38,"MARCOLETA, RODANTE",IND,6565,6.72 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,39,"MARCOS, IMEE R.",NP,2533,2.59 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,40,"MARQUEZ, NORMAN",IND,186,0.19 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,41,"MARTINEZ, ERIC",IND,120,0.12 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,42,"MATA, DOC MARITES",IND,5945,6.08 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,43,"MATULA, ATTY. SONNY",WPP,158,0.16 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,44,"MAZA, LIZA",MKBYN,213,0.22 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,45,"MENDOZA, HEIDI",IND,193,0.2 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,46,"MONTEMAYOR, JOEY",IND,109,0.11 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,47,"MUSTAPHA, SUBAIR",WPP,158,0.16 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,48,"OLIVAR, JOSE JESSIE",IND,477,0.49 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,49,"ONG, DOC WILLIE",AKSYON,290,0.3 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,50,"PACQUIAO, MANNY PACMAN",PFP,744,0.76 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,51,"PANGILINAN, KIKO",LP,602,0.62 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,52,"QUERUBIN, ARIEL PORFIRIO",NP,1033,1.06 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,53,"QUIBOLOY, APOLLO",IND,6334,6.48 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,54,"RAMOS, DANILO",MKBYN,199,0.2 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,55,"REVILLAME, WILLIE WIL",IND,626,0.64 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR,56,"RODRIGUEZ, ATTY. VIC",IND,6233,6.38 %
