region,province,city,position,rank,candidate_name,party,votes,percentage
CORDILLERA ADMINISTRATIVE REGION,ABRA,LA PAZ,SENATOR,1,"ABALOS, BENHUR",PFP,10860,11.31 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,LA PAZ,SENATOR,2,"ADONIS, JEROME",MKBYN,22,0.02 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,LA PAZ,SENATOR,3,"AMAD, WILSON",IND,10,0.01 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,LA PAZ,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,9,0.01 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,LA PAZ,SENATOR,5,"AQUINO, BAM",KNP,299,0.31 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,LA PAZ,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,26,0.03 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,LA PAZ,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,3,0 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,LA PAZ,SENATOR,8,"BALLON, ROBERTO",IND,31,0.03 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,LA PAZ,SENATOR,9,"BINAY, ABBY",NPC,10511,10.94 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,LA PAZ,SENATOR,10,"BONDOC, JIMMY",PDPLBN,77,0.08 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,LA PAZ,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,10463,10.89 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,LA PAZ,SENATOR,12,"BOSITA, COLONEL",IND,122,0.13 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,LA PAZ,SENATOR,13,"BROSAS, ARLENE",MKBYN,31,0.03 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,LA PAZ,SENATOR,14,"CABONEGRO, ROY",DPP,2,0 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,LA PAZ,SENATOR,15,"CAPUYAN, ALLEN",PPP,6,0.01 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,LA PAZ,SENATOR,16,"CASIÑO, TEDDY",MKBYN,33,0.03 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,LA PAZ,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,19,0.02 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,LA PAZ,SENATOR,18,"CAYETANO, PIA",NP,206,0.21 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,LA PAZ,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,2,0 %
