region,province,city,position,rank,candidate_name,party,votes,percentage
REGION III,BULACAN,PLARIDEL,SENATOR,1,"ABALOS, BENHUR",PFP,13776,2.91 %
REGION III,BULACAN,PLARIDEL,SENATOR,2,"ADONIS, JEROME",MKBYN,596,0.13 %
REGION III,BULACAN,PLARIDEL,SENATOR,3,"AMAD, WILSON",IND,373,0.08 %
REGION III,BULACAN,PLARIDEL,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,1097,0.23 %
REGION III,BULACAN,PLARIDEL,SENATOR,5,"AQUINO, BAM",KNP,31453,6.65 %
REGION III,BULACAN,PLARIDEL,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,8163,1.73 %
REGION III,BULACAN,PLARIDEL,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,550,0.12 %
REGION III,BULACAN,PLARIDEL,SENATOR,8,"BALLON, ROBERTO",IND,4252,0.9 %
REGION III,BULACAN,PLARIDEL,SENATOR,9,"BINAY, ABBY",NPC,11157,2.36 %
REGION III,BULACAN,PLARIDEL,SENATOR,10,"BONDOC, JIMMY",PDPLBN,5824,1.23 %
REGION III,BULACAN,PLARIDEL,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,11915,2.52 %
REGION III,BULACAN,PLARIDEL,SENATOR,12,"BOSITA, COLONEL",IND,15912,3.37 %
REGION III,BULACAN,PLARIDEL,SENATOR,13,"BROSAS, ARLENE",MKBYN,8668,1.83 %
REGION III,BULACAN,PLARIDEL,SENATOR,14,"CABONEGRO, ROY",DPP,271,0.06 %
REGION III,BULACAN,PLARIDEL,SENATOR,15,"CAPUYAN, ALLEN",PPP,519,0.11 %
REGION III,BULACAN,PLARIDEL,SENATOR,16,"CASIÑO, TEDDY",MKBYN,9261,1.96 %
REGION III,BULACAN,PLARIDEL,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,6743,1.43 %
REGION III,BULACAN,PLARIDEL,SENATOR,18,"CAYETANO, PIA",NP,15992,3.38 %
REGION III,BULACAN,PLARIDEL,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,771,0.16 %
REGION III,BULACAN,PLARIDEL,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,4589,0.97 %
REGION III,BULACAN,PLARIDEL,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,8563,1.81 %
REGION III,BULACAN,PLARIDEL,SENATOR,22,"DELA ROSA, BATO",PDPLBN,15373,3.25 %
REGION III,BULACAN,PLARIDEL,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,867,0.18 %
REGION III,BULACAN,PLARIDEL,SENATOR,24,"ESCOBAL, ARNEL",PM,494,0.1 %
REGION III,BULACAN,PLARIDEL,SENATOR,25,"ESPIRITU, LUKE",PLM,11969,2.53 %
REGION III,BULACAN,PLARIDEL,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,603,0.13 %
REGION III,BULACAN,PLARIDEL,SENATOR,27,"GAMBOA, MARC LOUIE",IND,465,0.1 %
REGION III,BULACAN,PLARIDEL,SENATOR,28,"GO, BONG GO",PDPLBN,25688,5.43 %
REGION III,BULACAN,PLARIDEL,SENATOR,29,"GONZALES, NORBERTO",PDSP,828,0.18 %
REGION III,BULACAN,PLARIDEL,SENATOR,30,"HINLO, JAYVEE",PDPLBN,3260,0.69 %
REGION III,BULACAN,PLARIDEL,SENATOR,31,"HONASAN, GRINGO",RP,7020,1.49 %
REGION III,BULACAN,PLARIDEL,SENATOR,32,"JOSE, RELLY JR.",KBL,337,0.07 %
REGION III,BULACAN,PLARIDEL,SENATOR,33,"LACSON, PING",IND,18431,3.9 %
REGION III,BULACAN,PLARIDEL,SENATOR,34,"LAMBINO, RAUL",PDPLBN,3982,0.84 %
REGION III,BULACAN,PLARIDEL,SENATOR,35,"LAPID, LITO",NPC,12191,2.58 %
REGION III,BULACAN,PLARIDEL,SENATOR,36,"LEE, MANOY WILBERT",AKSYON,641,0.14 %
REGION III,BULACAN,PLARIDEL,SENATOR,37,"LIDASAN, AMIRAH",MKBYN,581,0.12 %
REGION III,BULACAN,PLARIDEL,SENATOR,38,"MARCOLETA, RODANTE",IND,12591,2.66 %
REGION III,BULACAN,PLARIDEL,SENATOR,39,"MARCOS, IMEE R.",NP,11592,2.45 %
REGION III,BULACAN,PLARIDEL,SENATOR,40,"MARQUEZ, NORMAN",IND,1496,0.32 %
REGION III,BULACAN,PLARIDEL,SENATOR,41,"MARTINEZ, ERIC",IND,670,0.14 %
REGION III,BULACAN,PLARIDEL,SENATOR,42,"MATA, DOC MARITES",IND,3408,0.72 %
REGION III,BULACAN,PLARIDEL,SENATOR,43,"MATULA, ATTY. SONNY",WPP,7489,1.58 %
REGION III,BULACAN,PLARIDEL,SENATOR,44,"MAZA, LIZA",MKBYN,7884,1.67 %
REGION III,BULACAN,PLARIDEL,SENATOR,45,"MENDOZA, HEIDI",IND,16355,3.46 %
REGION III,BULACAN,PLARIDEL,SENATOR,46,"MONTEMAYOR, JOEY",IND,539,0.11 %
REGION III,BULACAN,PLARIDEL,SENATOR,47,"MUSTAPHA, SUBAIR",WPP,177,0.04 %
REGION III,BULACAN,PLARIDEL,SENATOR,48,"OLIVAR, JOSE JESSIE",IND,313,0.07 %
REGION III,BULACAN,PLARIDEL,SENATOR,49,"ONG, DOC WILLIE",AKSYON,9668,2.05 %
REGION III,BULACAN,PLARIDEL,SENATOR,50,"PACQUIAO, MANNY PACMAN",PFP,9375,1.98 %
REGION III,BULACAN,PLARIDEL,SENATOR,51,"PANGILINAN, KIKO",LP,23095,4.89 %
REGION III,BULACAN,PLARIDEL,SENATOR,52,"QUERUBIN, ARIEL PORFIRIO",NP,4308,0.91 %
REGION III,BULACAN,PLARIDEL,SENATOR,53,"QUIBOLOY, APOLLO",IND,2352,0.5 %
REGION III,BULACAN,PLARIDEL,SENATOR,54,"RAMOS, DANILO",MKBYN,8881,1.88 %
REGION III,BULACAN,PLARIDEL,SENATOR,55,"REVILLAME, WILLIE WIL",IND,7118,1.51 %
REGION III,BULACAN,PLARIDEL,SENATOR,56,"RODRIGUEZ, ATTY. VIC",IND,5504,1.16 %
REGION III,BULACAN,PLARIDEL,SENATOR,57,"SAHIDULLA, NUR-ANA",IND,294,0.06 %
REGION III,BULACAN,PLARIDEL,SENATOR,58,"SALVADOR, PHILLIP IPE",PDPLBN,5653,1.2 %
REGION III,BULACAN,PLARIDEL,SENATOR,59,"SOTTO, TITO",NPC,21424,4.53 %
REGION III,BULACAN,PLARIDEL,SENATOR,60,"TAPADO, MICHAEL BONGBONG",PM,301,0.06 %
REGION III,BULACAN,PLARIDEL,SENATOR,61,"TOLENTINO, FRANCIS TOL",PFP,7578,1.6 %
REGION III,BULACAN,PLARIDEL,SENATOR,62,"TULFO, BEN BITAG",IND,13684,2.9 %
REGION III,BULACAN,PLARIDEL,SENATOR,63,"TULFO, ERWIN",LAKAS,17071,3.61 %
REGION III,BULACAN,PLARIDEL,SENATOR,64,"VALBUENA, MAR MANIBELA",IND,627,0.13 %
REGION III,BULACAN,PLARIDEL,SENATOR,65,"VERCELES, LEANDRO",IND,239,0.05 %
REGION III,BULACAN,PLARIDEL,SENATOR,66,"VILLAR, CAMILLE",NP,9782,2.07 %
REGION III,BULACAN,PLARIDEL,PARTY LIST,,1 4PS,,957,2.16 %
REGION III,BULACAN,PLARIDEL,PARTY LIST,,2 PPP,,63,0.14 %
REGION III,BULACAN,PLARIDEL,PARTY LIST,,3 FPJ PANDAY BAYANIHAN,,628,1.42 %
REGION III,BULACAN,PLARIDEL,PARTY LIST,,4 KABATAAN,,449,1.02 %
REGION III,BULACAN,PLARIDEL,PARTY LIST,,5 DUTERTE YOUTH,,1910,4.32 %
REGION III,BULACAN,PLARIDEL,PARTY LIST,,6 ML,,812,1.84 %
REGION III,BULACAN,PLARIDEL,PARTY LIST,,7 PBBM,,311,0.7 %
REGION III,BULACAN,PLARIDEL,PARTY LIST,,8 P3PWD,,193,0.44 %
