region,province,city,position,rank,candidate_name,party,votes,percentage
REGION III,NUEVA ECIJA,LUPAO,SENATOR,1,"ABALOS, BENHUR",PFP,8526,4.63 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,2,"ADONIS, JEROME",MKBYN,290,0.16 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,3,"AMAD, WILSON",IND,237,0.13 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,329,0.18 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,5,"AQUINO, BAM",KNP,9568,5.2 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,1801,0.98 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,350,0.19 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,8,"BALLON, ROBERTO",IND,1034,0.56 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,9,"BINAY, ABBY",NPC,6363,3.46 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,10,"BONDOC, JIMMY",PDPLBN,1454,0.79 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,7211,3.92 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,12,"BOSITA, COLONEL",IND,6191,3.36 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,13,"BROSAS, ARLENE",MKBYN,1869,1.02 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,14,"CABONEGRO, ROY",DPP,143,0.08 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,15,"CAPUYAN, ALLEN",PPP,244,0.13 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,16,"CASIÑO, TEDDY",MKBYN,1867,1.01 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,1411,0.77 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,18,"CAYETANO, PIA",NP,7528,4.09 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,227,0.12 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,1033,0.56 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,1676,0.91 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,22,"DELA ROSA, BATO",PDPLBN,4832,2.63 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,320,0.17 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,24,"ESCOBAL, ARNEL",PM,348,0.19 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,25,"ESPIRITU, LUKE",PLM,2720,1.48 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,237,0.13 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,27,"GAMBOA, MARC LOUIE",IND,247,0.13 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,28,"GO, BONG GO",PDPLBN,8044,4.37 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,29,"GONZALES, NORBERTO",PDSP,364,0.2 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,30,"HINLO, JAYVEE",PDPLBN,747,0.41 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,31,"HONASAN, GRINGO",RP,3005,1.63 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,32,"JOSE, RELLY JR.",KBL,229,0.12 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,33,"LACSON, PING",IND,8286,4.5 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,34,"LAMBINO, RAUL",PDPLBN,984,0.53 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,35,"LAPID, LITO",NPC,8458,4.6 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,36,"LEE, MANOY WILBERT",AKSYON,249,0.14 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,37,"LIDASAN, AMIRAH",MKBYN,206,0.11 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,38,"MARCOLETA, RODANTE",IND,4183,2.27 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,39,"MARCOS, IMEE R.",NP,7213,3.92 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,40,"MARQUEZ, NORMAN",IND,548,0.3 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,41,"MARTINEZ, ERIC",IND,311,0.17 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,42,"MATA, DOC MARITES",IND,768,0.42 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,43,"MATULA, ATTY. SONNY",WPP,1506,0.82 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,44,"MAZA, LIZA",MKBYN,1660,0.9 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,45,"MENDOZA, HEIDI",IND,3797,2.06 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,46,"MONTEMAYOR, JOEY",IND,267,0.15 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,47,"MUSTAPHA, SUBAIR",WPP,121,0.07 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,48,"OLIVAR, JOSE JESSIE",IND,151,0.08 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,49,"ONG, DOC WILLIE",AKSYON,3002,1.63 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,50,"PACQUIAO, MANNY PACMAN",PFP,4778,2.6 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,51,"PANGILINAN, KIKO",LP,7113,3.86 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,52,"QUERUBIN, ARIEL PORFIRIO",NP,1563,0.85 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,53,"QUIBOLOY, APOLLO",IND,775,0.42 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,54,"RAMOS, DANILO",MKBYN,2191,1.19 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,55,"REVILLAME, WILLIE WIL",IND,6500,3.53 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,56,"RODRIGUEZ, ATTY. VIC",IND,1316,0.71 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,57,"SAHIDULLA, NUR-ANA",IND,110,0.06 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,58,"SALVADOR, PHILLIP IPE",PDPLBN,2692,1.46 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,59,"SOTTO, TITO",NPC,8631,4.69 %
REGION III,NUEVA ECIJA,LUPAO,SENATOR,60,"TAPADO, MICHAEL BONGBONG",PM,259,0.14 %
