region,province,city,position,rank,candidate_name,party,votes,percentage
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,1,"ABALOS, BENHUR",PFP,4382,4.59 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,2,"ADONIS, JEROME",MKBYN,161,0.17 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,3,"AMAD, WILSON",IND,121,0.13 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,151,0.16 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,5,"AQUINO, BAM",KNP,4958,5.2 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,739,0.77 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,170,0.18 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,8,"BALLON, ROBERTO",IND,460,0.48 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,9,"BINAY, ABBY",NPC,3291,3.45 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,10,"BONDOC, JIMMY",PDPLBN,680,0.71 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,4207,4.41 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,12,"BOSITA, COLONEL",IND,2921,3.06 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,13,"BROSAS, ARLENE",MKBYN,811,0.85 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,14,"CABONEGRO, ROY",DPP,85,0.09 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,15,"CAPUYAN, ALLEN",PPP,102,0.11 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,16,"CASIÑO, TEDDY",MKBYN,804,0.84 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,618,0.65 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,18,"CAYETANO, PIA",NP,4143,4.34 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,124,0.13 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,455,0.48 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,719,0.75 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,22,"DELA ROSA, BATO",PDPLBN,2399,2.52 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,138,0.14 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,24,"ESCOBAL, ARNEL",PM,179,0.19 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,25,"ESPIRITU, LUKE",PLM,1271,1.33 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,154,0.16 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,27,"GAMBOA, MARC LOUIE",IND,128,0.13 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,28,"GO, BONG GO",PDPLBN,4278,4.49 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,29,"GONZALES, NORBERTO",PDSP,164,0.17 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,30,"HINLO, JAYVEE",PDPLBN,322,0.34 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,31,"HONASAN, GRINGO",RP,1671,1.75 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,32,"JOSE, RELLY JR.",KBL,93,0.1 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,33,"LACSON, PING",IND,4227,4.43 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,34,"LAMBINO, RAUL",PDPLBN,438,0.46 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,35,"LAPID, LITO",NPC,4980,5.22 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,36,"LEE, MANOY WILBERT",AKSYON,141,0.15 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,37,"LIDASAN, AMIRAH",MKBYN,80,0.08 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,38,"MARCOLETA, RODANTE",IND,2260,2.37 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,39,"MARCOS, IMEE R.",NP,4126,4.33 %
REGION III,NUEVA ECIJA,TALUGTUG,SENATOR,40,"MARQUEZ, NORMAN",IND,228,0.24 %
