region,province,city,position,rank,candidate_name,party,votes,percentage
REGION III,PAMPANGA,SANTA ANA,SENATOR,1,"ABALOS, BENHUR",PFP,6845,2.97 %
REGION III,PAMPANGA,SANTA ANA,SENATOR,2,"ADONIS, JEROME",MKBYN,322,0.14 %
REGION III,PAMPANGA,SANTA ANA,SENATOR,3,"AMAD, WILSON",IND,190,0.08 %
REGION III,PAMPANGA,SANTA ANA,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,416,0.18 %
REGION III,PAMPANGA,SANTA ANA,SENATOR,5,"AQUINO, BAM",KNP,14063,6.11 %
REGION III,PAMPANGA,SANTA ANA,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,3020,1.31 %
REGION III,PAMPANGA,SANTA ANA,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,344,0.15 %
REGION III,PAMPANGA,SANTA ANA,SENATOR,8,"BALLON, ROBERTO",IND,2084,0.91 %
REGION III,PAMPANGA,SANTA ANA,SENATOR,9,"BINAY, ABBY",NPC,5426,2.36 %
REGION III,PAMPANGA,SANTA ANA,SENATOR,10,"BONDOC, JIMMY",PDPLBN,2851,1.24 %
REGION III,PAMPANGA,SANTA ANA,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,6282,2.73 %
REGION III,PAMPANGA,SANTA ANA,SENATOR,12,"BOSITA, COLONEL",IND,5551,2.41 %
REGION III,PAMPANGA,SANTA ANA,SENATOR,13,"BROSAS, ARLENE",MKBYN,3230,1.4 %
REGION III,PAMPANGA,SANTA ANA,SENATOR,14,"CABONEGRO, ROY",DPP,116,0.05 %
REGION III,PAMPANGA,SANTA ANA,SENATOR,15,"CAPUYAN, ALLEN",PPP,232,0.1 %
REGION III,PAMPANGA,SANTA ANA,SENATOR,16,"CASIÑO, TEDDY",MKBYN,3337,1.45 %
REGION III,PAMPANGA,SANTA ANA,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,2110,0.92 %
REGION III,PAMPANGA,SANTA ANA,SENATOR,18,"CAYETANO, PIA",NP,7812,3.4 %
REGION III,PAMPANGA,SANTA ANA,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,268,0.12 %
REGION III,PAMPANGA,SANTA ANA,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,1863,0.81 %
REGION III,PAMPANGA,SANTA ANA,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,2756,1.2 %
REGION III,PAMPANGA,SANTA ANA,SENATOR,22,"DELA ROSA, BATO",PDPLBN,7884,3.43 %
REGION III,PAMPANGA,SANTA ANA,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,502,0.22 %
REGION III,PAMPANGA,SANTA ANA,SENATOR,24,"ESCOBAL, ARNEL",PM,266,0.12 %
REGION III,PAMPANGA,SANTA ANA,SENATOR,25,"ESPIRITU, LUKE",PLM,4793,2.08 %
REGION III,PAMPANGA,SANTA ANA,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,222,0.1 %
REGION III,PAMPANGA,SANTA ANA,SENATOR,27,"GAMBOA, MARC LOUIE",IND,322,0.14 %
