region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-A,QUEZON,MAUBAN,SENATOR,1,"ABALOS, BENHUR",PFP,10573,3.74 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,2,"ADONIS, JEROME",MKBYN,520,0.18 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,3,"AMAD, WILSON",IND,471,0.17 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,539,0.19 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,5,"AQUINO, BAM",KNP,16920,5.98 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,3156,1.11 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,691,0.24 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,8,"BALLON, ROBERTO",IND,1883,0.67 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,9,"BINAY, ABBY",NPC,8155,2.88 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,10,"BONDOC, JIMMY",PDPLBN,2780,0.98 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,10163,3.59 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,12,"BOSITA, COLONEL",IND,9797,3.46 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,13,"BROSAS, ARLENE",MKBYN,3442,1.22 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,14,"CABONEGRO, ROY",DPP,286,0.1 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,15,"CAPUYAN, ALLEN",PPP,431,0.15 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,16,"CASIÑO, TEDDY",MKBYN,3843,1.36 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,3089,1.09 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,18,"CAYETANO, PIA",NP,9063,3.2 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,570,0.2 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,1755,0.62 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,3360,1.19 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,22,"DELA ROSA, BATO",PDPLBN,7470,2.64 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,573,0.2 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,24,"ESCOBAL, ARNEL",PM,560,0.2 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,25,"ESPIRITU, LUKE",PLM,5629,1.99 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,433,0.15 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,27,"GAMBOA, MARC LOUIE",IND,433,0.15 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,28,"GO, BONG GO",PDPLBN,10224,3.61 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,29,"GONZALES, NORBERTO",PDSP,633,0.22 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,30,"HINLO, JAYVEE",PDPLBN,1561,0.55 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,31,"HONASAN, GRINGO",RP,5058,1.79 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,32,"JOSE, RELLY JR.",KBL,354,0.13 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,33,"LACSON, PING",IND,10990,3.88 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,34,"LAMBINO, RAUL",PDPLBN,1763,0.62 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,35,"LAPID, LITO",NPC,12012,4.24 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,36,"LEE, MANOY WILBERT",AKSYON,378,0.13 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,37,"LIDASAN, AMIRAH",MKBYN,344,0.12 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,38,"MARCOLETA, RODANTE",IND,5069,1.79 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,39,"MARCOS, IMEE R.",NP,9878,3.49 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,40,"MARQUEZ, NORMAN",IND,838,0.3 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,41,"MARTINEZ, ERIC",IND,584,0.21 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,42,"MATA, DOC MARITES",IND,1439,0.51 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,43,"MATULA, ATTY. SONNY",WPP,3038,1.07 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,44,"MAZA, LIZA",MKBYN,3135,1.11 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,45,"MENDOZA, HEIDI",IND,13184,4.66 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,46,"MONTEMAYOR, JOEY",IND,485,0.17 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,47,"MUSTAPHA, SUBAIR",WPP,197,0.07 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,48,"OLIVAR, JOSE JESSIE",IND,271,0.1 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,49,"ONG, DOC WILLIE",AKSYON,5783,2.04 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,50,"PACQUIAO, MANNY PACMAN",PFP,8438,2.98 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,51,"PANGILINAN, KIKO",LP,13044,4.61 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,52,"QUERUBIN, ARIEL PORFIRIO",NP,1938,0.68 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,53,"QUIBOLOY, APOLLO",IND,1251,0.44 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,54,"RAMOS, DANILO",MKBYN,3261,1.15 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,55,"REVILLAME, WILLIE WIL",IND,6215,2.2 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,56,"RODRIGUEZ, ATTY. VIC",IND,2488,0.88 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,57,"SAHIDULLA, NUR-ANA",IND,200,0.07 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,58,"SALVADOR, PHILLIP IPE",PDPLBN,4032,1.42 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,59,"SOTTO, TITO",NPC,10637,3.76 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,60,"TAPADO, MICHAEL BONGBONG",PM,398,0.14 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,61,"TOLENTINO, FRANCIS TOL",PFP,4393,1.55 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,62,"TULFO, BEN BITAG",IND,10313,3.64 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,63,"TULFO, ERWIN",LAKAS,15581,5.5 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,64,"VALBUENA, MAR MANIBELA",IND,456,0.16 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,65,"VERCELES, LEANDRO",IND,188,0.07 %
REGION IV-A,QUEZON,MAUBAN,SENATOR,66,"VILLAR, CAMILLE",NP,6415,2.27 %
REGION IV-A,QUEZON,MAUBAN,PARTY LIST,,1 4PS,,895,2.92 %
REGION IV-A,QUEZON,MAUBAN,PARTY LIST,,2 PPP,,17,0.06 %
REGION IV-A,QUEZON,MAUBAN,PARTY LIST,,3 FPJ PANDAY BAYANIHAN,,305,0.99 %
REGION IV-A,QUEZON,MAUBAN,PARTY LIST,,4 KABATAAN,,273,0.89 %
REGION IV-A,QUEZON,MAUBAN,PARTY LIST,,5 DUTERTE YOUTH,,520,1.7 %
REGION IV-A,QUEZON,MAUBAN,PARTY LIST,,6 ML,,217,0.71 %
REGION IV-A,QUEZON,MAUBAN,PARTY LIST,,7 PBBM,,61,0.2 %
REGION IV-A,QUEZON,MAUBAN,PARTY LIST,,8 P3PWD,,50,0.16 %
REGION IV-A,QUEZON,MAUBAN,PARTY LIST,,9 MURANG KURYENTE,,101,0.33 %
REGION IV-A,QUEZON,MAUBAN,PARTY LIST,,10 BICOL SARO,,66,0.22 %
REGION IV-A,QUEZON,MAUBAN,PARTY LIST,,11 IPATUPAD,,29,0.09 %
REGION IV-A,QUEZON,MAUBAN,PARTY LIST,,12 PATROL,,14,0.05 %
REGION IV-A,QUEZON,MAUBAN,PARTY LIST,,13 JUAN PINOY,,11,0.04 %
REGION IV-A,QUEZON,MAUBAN,PARTY LIST,,14 ARTE,,4,0.01 %
REGION IV-A,QUEZON,MAUBAN,PARTY LIST,,15 WIFI,,47,0.15 %
REGION IV-A,QUEZON,MAUBAN,PARTY LIST,,16 MAAGAP,,11,0.04 %
REGION IV-A,QUEZON,MAUBAN,PARTY LIST,,17 UNITED SENIOR CITIZENS,,141,0.46 %
REGION IV-A,QUEZON,MAUBAN,PARTY LIST,,18 EPANAW SAMBAYANAN,,41,0.13 %
REGION IV-A,QUEZON,MAUBAN,PARTY LIST,,19 AKO PADAYON,,13,0.04 %
REGION IV-A,QUEZON,MAUBAN,PARTY LIST,,20 TUCP,,14,0.05 %
REGION IV-A,QUEZON,MAUBAN,PARTY LIST,,21 ACT TEACHERS,,378,1.23 %
REGION IV-A,QUEZON,MAUBAN,PARTY LIST,,22 1PACMAN,,51,0.17 %
REGION IV-A,QUEZON,MAUBAN,PARTY LIST,,23 TGP,,292,0.95 %
REGION IV-A,QUEZON,MAUBAN,PARTY LIST,,24 DUMPER PTDA,,2,0.01 %
REGION IV-A,QUEZON,MAUBAN,PARTY LIST,,25 ANAKALUSUGAN,,8,0.03 %
REGION IV-A,QUEZON,MAUBAN,PARTY LIST,,26 AKSYON DAPAT,,21,0.07 %
