region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-A,RIZAL,JALA-JALA,SENATOR,1,"ABALOS, BENHUR",PFP,5720,4.19 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,2,"ADONIS, JEROME",MKBYN,200,0.15 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,3,"AMAD, WILSON",IND,156,0.11 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,301,0.22 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,5,"AQUINO, BAM",KNP,8777,6.42 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,1958,1.43 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,263,0.19 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,8,"BALLON, ROBERTO",IND,999,0.73 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,9,"BINAY, ABBY",NPC,4378,3.2 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,10,"BONDOC, JIMMY",PDPLBN,1562,1.14 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,5073,3.71 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,12,"BOSITA, COLONEL",IND,4001,2.93 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,13,"BROSAS, ARLENE",MKBYN,2258,1.65 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,14,"CABONEGRO, ROY",DPP,92,0.07 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,15,"CAPUYAN, ALLEN",PPP,162,0.12 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,16,"CASIÑO, TEDDY",MKBYN,1867,1.37 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,1344,0.98 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,18,"CAYETANO, PIA",NP,5905,4.32 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,179,0.13 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,873,0.64 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,1620,1.19 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,22,"DELA ROSA, BATO",PDPLBN,3625,2.65 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,264,0.19 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,24,"ESCOBAL, ARNEL",PM,212,0.16 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,25,"ESPIRITU, LUKE",PLM,2459,1.8 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,165,0.12 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,27,"GAMBOA, MARC LOUIE",IND,155,0.11 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,28,"GO, BONG GO",PDPLBN,6927,5.07 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,29,"GONZALES, NORBERTO",PDSP,256,0.19 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,30,"HINLO, JAYVEE",PDPLBN,767,0.56 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,31,"HONASAN, GRINGO",RP,1798,1.32 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,32,"JOSE, RELLY JR.",KBL,148,0.11 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,33,"LACSON, PING",IND,4722,3.46 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,34,"LAMBINO, RAUL",PDPLBN,893,0.65 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,35,"LAPID, LITO",NPC,4374,3.2 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,36,"LEE, MANOY WILBERT",AKSYON,116,0.08 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,37,"LIDASAN, AMIRAH",MKBYN,146,0.11 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,38,"MARCOLETA, RODANTE",IND,3809,2.79 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,39,"MARCOS, IMEE R.",NP,4379,3.2 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,40,"MARQUEZ, NORMAN",IND,344,0.25 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,41,"MARTINEZ, ERIC",IND,195,0.14 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,42,"MATA, DOC MARITES",IND,831,0.61 %
REGION IV-A,RIZAL,JALA-JALA,SENATOR,43,"MATULA, ATTY. SONNY",WPP,1443,1.06 %
