region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,1,"ABALOS, BENHUR",PFP,969,2.26 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,2,"ADONIS, JEROME",MKBYN,118,0.27 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,3,"AMAD, WILSON",IND,110,0.26 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,86,0.2 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,5,"AQUINO, BAM",KNP,1142,2.66 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,114,0.27 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,143,0.33 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,8,"BALLON, ROBERTO",IND,101,0.24 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,9,"BINAY, ABBY",NPC,2088,4.87 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,10,"BONDOC, JIMMY",PDPLBN,395,0.92 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,2448,5.7 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,12,"BOSITA, COLONEL",IND,240,0.56 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,13,"BROSAS, ARLENE",MKBYN,102,0.24 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,14,"CABONEGRO, ROY",DPP,51,0.12 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,15,"CAPUYAN, ALLEN",PPP,160,0.37 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,16,"CASIÑO, TEDDY",MKBYN,107,0.25 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,185,0.43 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,18,"CAYETANO, PIA",NP,1731,4.03 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,64,0.15 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,108,0.25 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,154,0.36 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,22,"DELA ROSA, BATO",PDPLBN,1233,2.87 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,101,0.24 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,24,"ESCOBAL, ARNEL",PM,156,0.36 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,25,"ESPIRITU, LUKE",PLM,190,0.44 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,86,0.2 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,27,"GAMBOA, MARC LOUIE",IND,94,0.22 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,28,"GO, BONG GO",PDPLBN,1918,4.47 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,29,"GONZALES, NORBERTO",PDSP,113,0.26 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,30,"HINLO, JAYVEE",PDPLBN,205,0.48 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,31,"HONASAN, GRINGO",RP,428,1 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,32,"JOSE, RELLY JR.",KBL,97,0.23 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,33,"LACSON, PING",IND,1920,4.47 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,34,"LAMBINO, RAUL",PDPLBN,202,0.47 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,35,"LAPID, LITO",NPC,3737,8.71 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,36,"LEE, MANOY WILBERT",AKSYON,58,0.14 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,37,"LIDASAN, AMIRAH",MKBYN,47,0.11 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,38,"MARCOLETA, RODANTE",IND,504,1.17 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,39,"MARCOS, IMEE R.",NP,998,2.33 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,40,"MARQUEZ, NORMAN",IND,91,0.21 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,41,"MARTINEZ, ERIC",IND,207,0.48 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,42,"MATA, DOC MARITES",IND,199,0.46 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,43,"MATULA, ATTY. SONNY",WPP,119,0.28 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,44,"MAZA, LIZA",MKBYN,125,0.29 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,45,"MENDOZA, HEIDI",IND,329,0.77 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,46,"MONTEMAYOR, JOEY",IND,74,0.17 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,47,"MUSTAPHA, SUBAIR",WPP,55,0.13 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,48,"OLIVAR, JOSE JESSIE",IND,84,0.2 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,49,"ONG, DOC WILLIE",AKSYON,656,1.53 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,50,"PACQUIAO, MANNY PACMAN",PFP,2490,5.8 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,51,"PANGILINAN, KIKO",LP,1235,2.88 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,52,"QUERUBIN, ARIEL PORFIRIO",NP,200,0.47 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,53,"QUIBOLOY, APOLLO",IND,292,0.68 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,54,"RAMOS, DANILO",MKBYN,139,0.32 %
REGION IV-B,PALAWAN,LINAPACAN,SENATOR,55,"REVILLAME, WILLIE WIL",IND,2121,4.94 %
