region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IX,SULU,TAPUL,SENATOR,1,"ABALOS, BENHUR",PFP,1644,5 %
REGION IX,SULU,TAPUL,SENATOR,2,"ADONIS, JEROME",MKBYN,171,0.52 %
REGION IX,SULU,TAPUL,SENATOR,3,"AMAD, WILSON",IND,116,0.35 %
REGION IX,SULU,TAPUL,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,87,0.26 %
REGION IX,SULU,TAPUL,SENATOR,5,"AQUINO, BAM",KNP,575,1.75 %
REGION IX,SULU,TAPUL,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,76,0.23 %
REGION IX,SULU,TAPUL,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,73,0.22 %
REGION IX,SULU,TAPUL,SENATOR,8,"BALLON, ROBERTO",IND,94,0.29 %
REGION IX,SULU,TAPUL,SENATOR,9,"BINAY, ABBY",NPC,358,1.09 %
REGION IX,SULU,TAPUL,SENATOR,10,"BONDOC, JIMMY",PDPLBN,1761,5.36 %
REGION IX,SULU,TAPUL,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,2270,6.9 %
REGION IX,SULU,TAPUL,SENATOR,12,"BOSITA, COLONEL",IND,553,1.68 %
REGION IX,SULU,TAPUL,SENATOR,13,"BROSAS, ARLENE",MKBYN,65,0.2 %
REGION IX,SULU,TAPUL,SENATOR,14,"CABONEGRO, ROY",DPP,57,0.17 %
REGION IX,SULU,TAPUL,SENATOR,15,"CAPUYAN, ALLEN",PPP,42,0.13 %
REGION IX,SULU,TAPUL,SENATOR,16,"CASIÑO, TEDDY",MKBYN,36,0.11 %
REGION IX,SULU,TAPUL,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,42,0.13 %
REGION IX,SULU,TAPUL,SENATOR,18,"CAYETANO, PIA",NP,925,2.81 %
REGION IX,SULU,TAPUL,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,108,0.33 %
REGION IX,SULU,TAPUL,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,131,0.4 %
REGION IX,SULU,TAPUL,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,150,0.46 %
REGION IX,SULU,TAPUL,SENATOR,22,"DELA ROSA, BATO",PDPLBN,3560,10.83 %
REGION IX,SULU,TAPUL,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,107,0.33 %
REGION IX,SULU,TAPUL,SENATOR,24,"ESCOBAL, ARNEL",PM,109,0.33 %
REGION IX,SULU,TAPUL,SENATOR,25,"ESPIRITU, LUKE",PLM,108,0.33 %
REGION IX,SULU,TAPUL,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,133,0.4 %
REGION IX,SULU,TAPUL,SENATOR,27,"GAMBOA, MARC LOUIE",IND,84,0.26 %
REGION IX,SULU,TAPUL,SENATOR,28,"GO, BONG GO",PDPLBN,4319,13.13 %
REGION IX,SULU,TAPUL,SENATOR,29,"GONZALES, NORBERTO",PDSP,109,0.33 %
REGION IX,SULU,TAPUL,SENATOR,30,"HINLO, JAYVEE",PDPLBN,1120,3.41 %
REGION IX,SULU,TAPUL,SENATOR,31,"HONASAN, GRINGO",RP,175,0.53 %
REGION IX,SULU,TAPUL,SENATOR,32,"JOSE, RELLY JR.",KBL,83,0.25 %
REGION IX,SULU,TAPUL,SENATOR,33,"LACSON, PING",IND,617,1.88 %
REGION IX,SULU,TAPUL,SENATOR,34,"LAMBINO, RAUL",PDPLBN,715,2.17 %
REGION IX,SULU,TAPUL,SENATOR,35,"LAPID, LITO",NPC,660,2.01 %
REGION IX,SULU,TAPUL,SENATOR,36,"LEE, MANOY WILBERT",AKSYON,94,0.29 %
REGION IX,SULU,TAPUL,SENATOR,37,"LIDASAN, AMIRAH",MKBYN,94,0.29 %
REGION IX,SULU,TAPUL,SENATOR,38,"MARCOLETA, RODANTE",IND,1097,3.34 %
REGION IX,SULU,TAPUL,SENATOR,39,"MARCOS, IMEE R.",NP,526,1.6 %
REGION IX,SULU,TAPUL,SENATOR,40,"MARQUEZ, NORMAN",IND,105,0.32 %
REGION IX,SULU,TAPUL,SENATOR,41,"MARTINEZ, ERIC",IND,98,0.3 %
REGION IX,SULU,TAPUL,SENATOR,42,"MATA, DOC MARITES",IND,765,2.33 %
REGION IX,SULU,TAPUL,SENATOR,43,"MATULA, ATTY. SONNY",WPP,77,0.23 %
REGION IX,SULU,TAPUL,SENATOR,44,"MAZA, LIZA",MKBYN,74,0.23 %
REGION IX,SULU,TAPUL,SENATOR,45,"MENDOZA, HEIDI",IND,218,0.66 %
REGION IX,SULU,TAPUL,SENATOR,46,"MONTEMAYOR, JOEY",IND,439,1.33 %
REGION IX,SULU,TAPUL,SENATOR,47,"MUSTAPHA, SUBAIR",WPP,65,0.2 %
REGION IX,SULU,TAPUL,SENATOR,48,"OLIVAR, JOSE JESSIE",IND,55,0.17 %
REGION IX,SULU,TAPUL,SENATOR,49,"ONG, DOC WILLIE",AKSYON,73,0.22 %
REGION IX,SULU,TAPUL,SENATOR,50,"PACQUIAO, MANNY PACMAN",PFP,241,0.73 %
REGION IX,SULU,TAPUL,SENATOR,51,"PANGILINAN, KIKO",LP,295,0.9 %
REGION IX,SULU,TAPUL,SENATOR,52,"QUERUBIN, ARIEL PORFIRIO",NP,101,0.31 %
REGION IX,SULU,TAPUL,SENATOR,53,"QUIBOLOY, APOLLO",IND,518,1.58 %
REGION IX,SULU,TAPUL,SENATOR,54,"RAMOS, DANILO",MKBYN,111,0.34 %
REGION IX,SULU,TAPUL,SENATOR,55,"REVILLAME, WILLIE WIL",IND,183,0.56 %
REGION IX,SULU,TAPUL,SENATOR,56,"RODRIGUEZ, ATTY. VIC",IND,1097,3.34 %
REGION IX,SULU,TAPUL,SENATOR,57,"SAHIDULLA, NUR-ANA",IND,266,0.81 %
REGION IX,SULU,TAPUL,SENATOR,58,"SALVADOR, PHILLIP IPE",PDPLBN,1182,3.59 %
REGION IX,SULU,TAPUL,SENATOR,59,"SOTTO, TITO",NPC,327,0.99 %
REGION IX,SULU,TAPUL,SENATOR,60,"TAPADO, MICHAEL BONGBONG",PM,194,0.59 %
REGION IX,SULU,TAPUL,SENATOR,61,"TOLENTINO, FRANCIS TOL",PFP,646,1.96 %
REGION IX,SULU,TAPUL,SENATOR,62,"TULFO, BEN BITAG",IND,502,1.53 %
REGION IX,SULU,TAPUL,SENATOR,63,"TULFO, ERWIN",LAKAS,1728,5.25 %
REGION IX,SULU,TAPUL,SENATOR,64,"VALBUENA, MAR MANIBELA",IND,50,0.15 %
REGION IX,SULU,TAPUL,SENATOR,65,"VERCELES, LEANDRO",IND,22,0.07 %
REGION IX,SULU,TAPUL,SENATOR,66,"VILLAR, CAMILLE",NP,408,1.24 %
REGION IX,SULU,TAPUL,PARTY LIST,,1 4PS,,28,0.33 %
REGION IX,SULU,TAPUL,PARTY LIST,,2 PPP,,0,0 %
REGION IX,SULU,TAPUL,PARTY LIST,,3 FPJ PANDAY BAYANIHAN,,1,0.01 %
REGION IX,SULU,TAPUL,PARTY LIST,,4 KABATAAN,,4,0.05 %
REGION IX,SULU,TAPUL,PARTY LIST,,5 DUTERTE YOUTH,,595,6.95 %
REGION IX,SULU,TAPUL,PARTY LIST,,6 ML,,7,0.08 %
REGION IX,SULU,TAPUL,PARTY LIST,,7 PBBM,,2,0.02 %
REGION IX,SULU,TAPUL,PARTY LIST,,8 P3PWD,,0,0 %
REGION IX,SULU,TAPUL,PARTY LIST,,9 MURANG KURYENTE,,0,0 %
REGION IX,SULU,TAPUL,PARTY LIST,,10 BICOL SARO,,0,0 %
REGION IX,SULU,TAPUL,PARTY LIST,,11 IPATUPAD,,5,0.06 %
REGION IX,SULU,TAPUL,PARTY LIST,,12 PATROL,,1,0.01 %
REGION IX,SULU,TAPUL,PARTY LIST,,13 JUAN PINOY,,1,0.01 %
REGION IX,SULU,TAPUL,PARTY LIST,,14 ARTE,,0,0 %
REGION IX,SULU,TAPUL,PARTY LIST,,15 WIFI,,1,0.01 %
REGION IX,SULU,TAPUL,PARTY LIST,,16 MAAGAP,,2,0.02 %
REGION IX,SULU,TAPUL,PARTY LIST,,17 UNITED SENIOR CITIZENS,,0,0 %
REGION IX,SULU,TAPUL,PARTY LIST,,18 EPANAW SAMBAYANAN,,0,0 %
REGION IX,SULU,TAPUL,PARTY LIST,,19 AKO PADAYON,,0,0 %
REGION IX,SULU,TAPUL,PARTY LIST,,20 TUCP,,0,0 %
REGION IX,SULU,TAPUL,PARTY LIST,,21 ACT TEACHERS,,0,0 %
REGION IX,SULU,TAPUL,PARTY LIST,,22 1PACMAN,,0,0 %
REGION IX,SULU,TAPUL,PARTY LIST,,23 TGP,,0,0 %
REGION IX,SULU,TAPUL,PARTY LIST,,24 DUMPER PTDA,,0,0 %
REGION IX,SULU,TAPUL,PARTY LIST,,25 ANAKALUSUGAN,,1,0.01 %
REGION IX,SULU,TAPUL,PARTY LIST,,26 AKSYON DAPAT,,0,0 %
REGION IX,SULU,TAPUL,PARTY LIST,,27 BHW,,1,0.01 %
REGION IX,SULU,TAPUL,PARTY LIST,,28 SULONG DIGNIDAD,,1,0.01 %
REGION IX,SULU,TAPUL,PARTY LIST,,29 BATANG QUIAPO,,0,0 %
REGION IX,SULU,TAPUL,PARTY LIST,,30 PBA,,0,0 %
REGION IX,SULU,TAPUL,PARTY LIST,,31 GILAS,,0,0 %
REGION IX,SULU,TAPUL,PARTY LIST,,32 AKO ILOCANO AKO,,0,0 %
REGION IX,SULU,TAPUL,PARTY LIST,,33 PAMILYANG MAGSASAKA,,1,0.01 %
REGION IX,SULU,TAPUL,PARTY LIST,,34 CLICK PARTY,,0,0 %
REGION IX,SULU,TAPUL,PARTY LIST,,35 ABANTE BISDAK,,0,0 %
REGION IX,SULU,TAPUL,PARTY LIST,,36 MANILA TEACHERS,,0,0 %
REGION IX,SULU,TAPUL,PARTY LIST,,37 PAMANA,,0,0 %
REGION IX,SULU,TAPUL,PARTY LIST,,38 NANAY,,0,0 %
REGION IX,SULU,TAPUL,PARTY LIST,,39 KM NGAYON NA,,0,0 %
REGION IX,SULU,TAPUL,PARTY LIST,,40 BABAE AKO,,3,0.04 %
REGION IX,SULU,TAPUL,PARTY LIST,,41 ARISE,,1,0.01 %
REGION IX,SULU,TAPUL,PARTY LIST,,42 MAGDALO,,1,0.01 %
REGION IX,SULU,TAPUL,PARTY LIST,,43 APEC,,0,0 %
REGION IX,SULU,TAPUL,PARTY LIST,,44 MAGBUBUKID,,1,0.01 %
REGION IX,SULU,TAPUL,PARTY LIST,,45 SSS-GSIS PENSYONADO,,1,0.01 %
REGION IX,SULU,TAPUL,PARTY LIST,,46 GABRIELA,,2,0.02 %
REGION IX,SULU,TAPUL,PARTY LIST,,47 TINGOG,,0,0 %
REGION IX,SULU,TAPUL,PARTY LIST,,48 APAT-DAPAT,,0,0 %
REGION IX,SULU,TAPUL,PARTY LIST,,49 AHON MAHIRAP,,3,0.04 %
REGION IX,SULU,TAPUL,PARTY LIST,,50 UGB,,0,0 %
REGION IX,SULU,TAPUL,PARTY LIST,,51 AKBAYAN,,0,0 %
REGION IX,SULU,TAPUL,PARTY LIST,,52 AGIMAT,,0,0 %
REGION IX,SULU,TAPUL,PARTY LIST,,53 PHILRECA,,0,0 %
