region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,1,"ABALOS, BENHUR",PFP,1526,1.01 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,2,"ADONIS, JEROME",MKBYN,385,0.26 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,3,"AMAD, WILSON",IND,350,0.23 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,249,0.17 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,5,"AQUINO, BAM",KNP,5264,3.5 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,417,0.28 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,317,0.21 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,8,"BALLON, ROBERTO",IND,357,0.24 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,9,"BINAY, ABBY",NPC,3434,2.28 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,10,"BONDOC, JIMMY",PDPLBN,6272,4.17 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,3963,2.63 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,12,"BOSITA, COLONEL",IND,1289,0.86 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,13,"BROSAS, ARLENE",MKBYN,389,0.26 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,14,"CABONEGRO, ROY",DPP,225,0.15 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,15,"CAPUYAN, ALLEN",PPP,339,0.23 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,16,"CASIÑO, TEDDY",MKBYN,351,0.23 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,565,0.38 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,18,"CAYETANO, PIA",NP,2943,1.95 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,196,0.13 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,406,0.27 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,544,0.36 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,22,"DELA ROSA, BATO",PDPLBN,12993,8.63 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,329,0.22 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,24,"ESCOBAL, ARNEL",PM,304,0.2 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,25,"ESPIRITU, LUKE",PLM,617,0.41 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,293,0.19 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,27,"GAMBOA, MARC LOUIE",IND,253,0.17 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,28,"GO, BONG GO",PDPLBN,13947,9.26 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,29,"GONZALES, NORBERTO",PDSP,312,0.21 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,30,"HINLO, JAYVEE",PDPLBN,5124,3.4 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,31,"HONASAN, GRINGO",RP,1381,0.92 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,32,"JOSE, RELLY JR.",KBL,281,0.19 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,33,"LACSON, PING",IND,4417,2.93 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,34,"LAMBINO, RAUL",PDPLBN,5069,3.37 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,35,"LAPID, LITO",NPC,5012,3.33 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,36,"LEE, MANOY WILBERT",AKSYON,189,0.13 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,37,"LIDASAN, AMIRAH",MKBYN,182,0.12 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,38,"MARCOLETA, RODANTE",IND,7918,5.26 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,39,"MARCOS, IMEE R.",NP,3075,2.04 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,40,"MARQUEZ, NORMAN",IND,356,0.24 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,41,"MARTINEZ, ERIC",IND,406,0.27 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,42,"MATA, DOC MARITES",IND,3303,2.19 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,43,"MATULA, ATTY. SONNY",WPP,391,0.26 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,44,"MAZA, LIZA",MKBYN,335,0.22 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,45,"MENDOZA, HEIDI",IND,936,0.62 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,46,"MONTEMAYOR, JOEY",IND,333,0.22 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,47,"MUSTAPHA, SUBAIR",WPP,120,0.08 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,48,"OLIVAR, JOSE JESSIE",IND,252,0.17 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,49,"ONG, DOC WILLIE",AKSYON,1454,0.97 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,50,"PACQUIAO, MANNY PACMAN",PFP,4210,2.8 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,51,"PANGILINAN, KIKO",LP,4381,2.91 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,52,"QUERUBIN, ARIEL PORFIRIO",NP,976,0.65 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,53,"QUIBOLOY, APOLLO",IND,3924,2.61 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,54,"RAMOS, DANILO",MKBYN,444,0.29 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,55,"REVILLAME, WILLIE WIL",IND,2939,1.95 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,56,"RODRIGUEZ, ATTY. VIC",IND,5619,3.73 %
REGION IX,ZAMBOANGA DEL SUR,DUMINGAG,SENATOR,57,"SAHIDULLA, NUR-ANA",IND,140,0.09 %
