region,province,city,position,rank,candidate_name,party,votes,percentage
REGION V,CAMARINES SUR,CABUSAO,SENATOR,1,"ABALOS, BENHUR",PFP,2395,3.22 %
REGION V,CAMARINES SUR,CABUSAO,SENATOR,2,"ADONIS, JEROME",MKBYN,190,0.26 %
REGION V,CAMARINES SUR,CABUSAO,SENATOR,3,"AMAD, WILSON",IND,134,0.18 %
REGION V,CAMARINES SUR,CABUSAO,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,181,0.24 %
REGION V,CAMARINES SUR,CABUSAO,SENATOR,5,"AQUINO, BAM",KNP,5597,7.52 %
REGION V,CAMARINES SUR,CABUSAO,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,966,1.3 %
REGION V,CAMARINES SUR,CABUSAO,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,218,0.29 %
REGION V,CAMARINES SUR,CABUSAO,SENATOR,8,"BALLON, ROBERTO",IND,558,0.75 %
REGION V,CAMARINES SUR,CABUSAO,SENATOR,9,"BINAY, ABBY",NPC,2301,3.09 %
REGION V,CAMARINES SUR,CABUSAO,SENATOR,10,"BONDOC, JIMMY",PDPLBN,587,0.79 %
REGION V,CAMARINES SUR,CABUSAO,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,2101,2.82 %
REGION V,CAMARINES SUR,CABUSAO,SENATOR,12,"BOSITA, COLONEL",IND,1963,2.64 %
REGION V,CAMARINES SUR,CABUSAO,SENATOR,13,"BROSAS, ARLENE",MKBYN,1047,1.41 %
REGION V,CAMARINES SUR,CABUSAO,SENATOR,14,"CABONEGRO, ROY",DPP,99,0.13 %
REGION V,CAMARINES SUR,CABUSAO,SENATOR,15,"CAPUYAN, ALLEN",PPP,162,0.22 %
REGION V,CAMARINES SUR,CABUSAO,SENATOR,16,"CASIÑO, TEDDY",MKBYN,1225,1.65 %
REGION V,CAMARINES SUR,CABUSAO,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,965,1.3 %
REGION V,CAMARINES SUR,CABUSAO,SENATOR,18,"CAYETANO, PIA",NP,3232,4.34 %
REGION V,CAMARINES SUR,CABUSAO,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,181,0.24 %
