region,province,city,position,rank,candidate_name,party,votes,percentage
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,1,"ABALOS, BENHUR",PFP,13392,3.63 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,2,"ADONIS, JEROME",MKBYN,1045,0.28 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,3,"AMAD, WILSON",IND,583,0.16 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,764,0.21 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,5,"AQUINO, BAM",KNP,24137,6.55 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,4147,1.12 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,965,0.26 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,8,"BALLON, ROBERTO",IND,2230,0.6 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,9,"BINAY, ABBY",NPC,14001,3.8 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,10,"BONDOC, JIMMY",PDPLBN,2281,0.62 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,12627,3.42 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,12,"BOSITA, COLONEL",IND,8723,2.37 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,13,"BROSAS, ARLENE",MKBYN,4634,1.26 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,14,"CABONEGRO, ROY",DPP,392,0.11 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,15,"CAPUYAN, ALLEN",PPP,612,0.17 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,16,"CASIÑO, TEDDY",MKBYN,4967,1.35 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,4478,1.21 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,18,"CAYETANO, PIA",NP,17837,4.84 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,679,0.18 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,1902,0.52 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,4396,1.19 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,22,"DELA ROSA, BATO",PDPLBN,6653,1.8 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,892,0.24 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,24,"ESCOBAL, ARNEL",PM,961,0.26 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,25,"ESPIRITU, LUKE",PLM,7509,2.04 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,643,0.17 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,27,"GAMBOA, MARC LOUIE",IND,564,0.15 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,28,"GO, BONG GO",PDPLBN,16072,4.36 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,29,"GONZALES, NORBERTO",PDSP,786,0.21 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,30,"HINLO, JAYVEE",PDPLBN,1081,0.29 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,31,"HONASAN, GRINGO",RP,6569,1.78 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,32,"JOSE, RELLY JR.",KBL,662,0.18 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,33,"LACSON, PING",IND,15008,4.07 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,34,"LAMBINO, RAUL",PDPLBN,1146,0.31 %
REGION V,CAMARINES SUR,LIBMANAN,SENATOR,35,"LAPID, LITO",NPC,15737,4.27 %
