region,province,city,position,rank,candidate_name,party,votes,percentage
REGION V,SORSOGON,CASIGURAN,SENATOR,1,"ABALOS, BENHUR",PFP,2499,1.89 %
REGION V,SORSOGON,CASIGURAN,SENATOR,2,"ADONIS, JEROME",MKBYN,234,0.18 %
REGION V,SORSOGON,CASIGURAN,SENATOR,3,"AMAD, WILSON",IND,191,0.14 %
REGION V,SORSOGON,CASIGURAN,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,202,0.15 %
REGION V,SORSOGON,CASIGURAN,SENATOR,5,"AQUINO, BAM",KNP,9914,7.49 %
REGION V,SORSOGON,CASIGURAN,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,1048,0.79 %
REGION V,SORSOGON,CASIGURAN,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,312,0.24 %
REGION V,SORSOGON,CASIGURAN,SENATOR,8,"BALLON, ROBERTO",IND,662,0.5 %
REGION V,SORSOGON,CASIGURAN,SENATOR,9,"BINAY, ABBY",NPC,3763,2.84 %
REGION V,SORSOGON,CASIGURAN,SENATOR,10,"BONDOC, JIMMY",PDPLBN,819,0.62 %
REGION V,SORSOGON,CASIGURAN,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,5241,3.96 %
REGION V,SORSOGON,CASIGURAN,SENATOR,12,"BOSITA, COLONEL",IND,3029,2.29 %
REGION V,SORSOGON,CASIGURAN,SENATOR,13,"BROSAS, ARLENE",MKBYN,1183,0.89 %
REGION V,SORSOGON,CASIGURAN,SENATOR,14,"CABONEGRO, ROY",DPP,97,0.07 %
REGION V,SORSOGON,CASIGURAN,SENATOR,15,"CAPUYAN, ALLEN",PPP,168,0.13 %
REGION V,SORSOGON,CASIGURAN,SENATOR,16,"CASIÑO, TEDDY",MKBYN,1272,0.96 %
REGION V,SORSOGON,CASIGURAN,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,1095,0.83 %
REGION V,SORSOGON,CASIGURAN,SENATOR,18,"CAYETANO, PIA",NP,5493,4.15 %
REGION V,SORSOGON,CASIGURAN,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,204,0.15 %
REGION V,SORSOGON,CASIGURAN,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,687,0.52 %
REGION V,SORSOGON,CASIGURAN,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,1257,0.95 %
REGION V,SORSOGON,CASIGURAN,SENATOR,22,"DELA ROSA, BATO",PDPLBN,3089,2.33 %
REGION V,SORSOGON,CASIGURAN,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,371,0.28 %
REGION V,SORSOGON,CASIGURAN,SENATOR,24,"ESCOBAL, ARNEL",PM,256,0.19 %
REGION V,SORSOGON,CASIGURAN,SENATOR,25,"ESPIRITU, LUKE",PLM,2081,1.57 %
REGION V,SORSOGON,CASIGURAN,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,178,0.13 %
REGION V,SORSOGON,CASIGURAN,SENATOR,27,"GAMBOA, MARC LOUIE",IND,147,0.11 %
REGION V,SORSOGON,CASIGURAN,SENATOR,28,"GO, BONG GO",PDPLBN,5573,4.21 %
REGION V,SORSOGON,CASIGURAN,SENATOR,29,"GONZALES, NORBERTO",PDSP,223,0.17 %
REGION V,SORSOGON,CASIGURAN,SENATOR,30,"HINLO, JAYVEE",PDPLBN,449,0.34 %
REGION V,SORSOGON,CASIGURAN,SENATOR,31,"HONASAN, GRINGO",RP,2319,1.75 %
REGION V,SORSOGON,CASIGURAN,SENATOR,32,"JOSE, RELLY JR.",KBL,160,0.12 %
REGION V,SORSOGON,CASIGURAN,SENATOR,33,"LACSON, PING",IND,4800,3.63 %
REGION V,SORSOGON,CASIGURAN,SENATOR,34,"LAMBINO, RAUL",PDPLBN,468,0.35 %
REGION V,SORSOGON,CASIGURAN,SENATOR,35,"LAPID, LITO",NPC,9817,7.42 %
REGION V,SORSOGON,CASIGURAN,SENATOR,36,"LEE, MANOY WILBERT",AKSYON,463,0.35 %
REGION V,SORSOGON,CASIGURAN,SENATOR,37,"LIDASAN, AMIRAH",MKBYN,111,0.08 %
REGION V,SORSOGON,CASIGURAN,SENATOR,38,"MARCOLETA, RODANTE",IND,1749,1.32 %
REGION V,SORSOGON,CASIGURAN,SENATOR,39,"MARCOS, IMEE R.",NP,2014,1.52 %
REGION V,SORSOGON,CASIGURAN,SENATOR,40,"MARQUEZ, NORMAN",IND,273,0.21 %
REGION V,SORSOGON,CASIGURAN,SENATOR,41,"MARTINEZ, ERIC",IND,219,0.17 %
REGION V,SORSOGON,CASIGURAN,SENATOR,42,"MATA, DOC MARITES",IND,425,0.32 %
REGION V,SORSOGON,CASIGURAN,SENATOR,43,"MATULA, ATTY. SONNY",WPP,1030,0.78 %
REGION V,SORSOGON,CASIGURAN,SENATOR,44,"MAZA, LIZA",MKBYN,1110,0.84 %
REGION V,SORSOGON,CASIGURAN,SENATOR,45,"MENDOZA, HEIDI",IND,2814,2.13 %
REGION V,SORSOGON,CASIGURAN,SENATOR,46,"MONTEMAYOR, JOEY",IND,174,0.13 %
REGION V,SORSOGON,CASIGURAN,SENATOR,47,"MUSTAPHA, SUBAIR",WPP,74,0.06 %
REGION V,SORSOGON,CASIGURAN,SENATOR,48,"OLIVAR, JOSE JESSIE",IND,120,0.09 %
REGION V,SORSOGON,CASIGURAN,SENATOR,49,"ONG, DOC WILLIE",AKSYON,2122,1.6 %
REGION V,SORSOGON,CASIGURAN,SENATOR,50,"PACQUIAO, MANNY PACMAN",PFP,4797,3.62 %
REGION V,SORSOGON,CASIGURAN,SENATOR,51,"PANGILINAN, KIKO",LP,7354,5.56 %
REGION V,SORSOGON,CASIGURAN,SENATOR,52,"QUERUBIN, ARIEL PORFIRIO",NP,869,0.66 %
REGION V,SORSOGON,CASIGURAN,SENATOR,53,"QUIBOLOY, APOLLO",IND,342,0.26 %
REGION V,SORSOGON,CASIGURAN,SENATOR,54,"RAMOS, DANILO",MKBYN,1148,0.87 %
REGION V,SORSOGON,CASIGURAN,SENATOR,55,"REVILLAME, WILLIE WIL",IND,5003,3.78 %
REGION V,SORSOGON,CASIGURAN,SENATOR,56,"RODRIGUEZ, ATTY. VIC",IND,821,0.62 %
REGION V,SORSOGON,CASIGURAN,SENATOR,57,"SAHIDULLA, NUR-ANA",IND,93,0.07 %
REGION V,SORSOGON,CASIGURAN,SENATOR,58,"SALVADOR, PHILLIP IPE",PDPLBN,1325,1 %
REGION V,SORSOGON,CASIGURAN,SENATOR,59,"SOTTO, TITO",NPC,9598,7.25 %
