region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VI,AKLAN,BATAN,SENATOR,1,"ABALOS, BENHUR",PFP,5350,3.99 %
REGION VI,AKLAN,BATAN,SENATOR,2,"ADONIS, JEROME",MKBYN,547,0.41 %
REGION VI,AKLAN,BATAN,SENATOR,3,"AMAD, WILSON",IND,266,0.2 %
REGION VI,AKLAN,BATAN,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,299,0.22 %
REGION VI,AKLAN,BATAN,SENATOR,5,"AQUINO, BAM",KNP,7818,5.82 %
REGION VI,AKLAN,BATAN,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,1015,0.76 %
REGION VI,AKLAN,BATAN,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,353,0.26 %
REGION VI,AKLAN,BATAN,SENATOR,8,"BALLON, ROBERTO",IND,596,0.44 %
REGION VI,AKLAN,BATAN,SENATOR,9,"BINAY, ABBY",NPC,5031,3.75 %
REGION VI,AKLAN,BATAN,SENATOR,10,"BONDOC, JIMMY",PDPLBN,1434,1.07 %
REGION VI,AKLAN,BATAN,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,5945,4.43 %
REGION VI,AKLAN,BATAN,SENATOR,12,"BOSITA, COLONEL",IND,2138,1.59 %
REGION VI,AKLAN,BATAN,SENATOR,13,"BROSAS, ARLENE",MKBYN,1149,0.86 %
REGION VI,AKLAN,BATAN,SENATOR,14,"CABONEGRO, ROY",DPP,175,0.13 %
REGION VI,AKLAN,BATAN,SENATOR,15,"CAPUYAN, ALLEN",PPP,269,0.2 %
REGION VI,AKLAN,BATAN,SENATOR,16,"CASIÑO, TEDDY",MKBYN,1461,1.09 %
REGION VI,AKLAN,BATAN,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,1068,0.8 %
REGION VI,AKLAN,BATAN,SENATOR,18,"CAYETANO, PIA",NP,4688,3.49 %
REGION VI,AKLAN,BATAN,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,304,0.23 %
REGION VI,AKLAN,BATAN,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,578,0.43 %
REGION VI,AKLAN,BATAN,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,1152,0.86 %
REGION VI,AKLAN,BATAN,SENATOR,22,"DELA ROSA, BATO",PDPLBN,3979,2.96 %
REGION VI,AKLAN,BATAN,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,288,0.21 %
REGION VI,AKLAN,BATAN,SENATOR,24,"ESCOBAL, ARNEL",PM,265,0.2 %
REGION VI,AKLAN,BATAN,SENATOR,25,"ESPIRITU, LUKE",PLM,1876,1.4 %
REGION VI,AKLAN,BATAN,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,201,0.15 %
REGION VI,AKLAN,BATAN,SENATOR,27,"GAMBOA, MARC LOUIE",IND,179,0.13 %
REGION VI,AKLAN,BATAN,SENATOR,28,"GO, BONG GO",PDPLBN,8318,6.2 %
REGION VI,AKLAN,BATAN,SENATOR,29,"GONZALES, NORBERTO",PDSP,308,0.23 %
REGION VI,AKLAN,BATAN,SENATOR,30,"HINLO, JAYVEE",PDPLBN,825,0.61 %
REGION VI,AKLAN,BATAN,SENATOR,31,"HONASAN, GRINGO",RP,1735,1.29 %
REGION VI,AKLAN,BATAN,SENATOR,32,"JOSE, RELLY JR.",KBL,224,0.17 %
REGION VI,AKLAN,BATAN,SENATOR,33,"LACSON, PING",IND,5408,4.03 %
REGION VI,AKLAN,BATAN,SENATOR,34,"LAMBINO, RAUL",PDPLBN,884,0.66 %
REGION VI,AKLAN,BATAN,SENATOR,35,"LAPID, LITO",NPC,5259,3.92 %
REGION VI,AKLAN,BATAN,SENATOR,36,"LEE, MANOY WILBERT",AKSYON,237,0.18 %
REGION VI,AKLAN,BATAN,SENATOR,37,"LIDASAN, AMIRAH",MKBYN,142,0.11 %
REGION VI,AKLAN,BATAN,SENATOR,38,"MARCOLETA, RODANTE",IND,3337,2.49 %
REGION VI,AKLAN,BATAN,SENATOR,39,"MARCOS, IMEE R.",NP,2645,1.97 %
REGION VI,AKLAN,BATAN,SENATOR,40,"MARQUEZ, NORMAN",IND,529,0.39 %
REGION VI,AKLAN,BATAN,SENATOR,41,"MARTINEZ, ERIC",IND,616,0.46 %
REGION VI,AKLAN,BATAN,SENATOR,42,"MATA, DOC MARITES",IND,864,0.64 %
REGION VI,AKLAN,BATAN,SENATOR,43,"MATULA, ATTY. SONNY",WPP,975,0.73 %
REGION VI,AKLAN,BATAN,SENATOR,44,"MAZA, LIZA",MKBYN,952,0.71 %
REGION VI,AKLAN,BATAN,SENATOR,45,"MENDOZA, HEIDI",IND,2349,1.75 %
REGION VI,AKLAN,BATAN,SENATOR,46,"MONTEMAYOR, JOEY",IND,241,0.18 %
REGION VI,AKLAN,BATAN,SENATOR,47,"MUSTAPHA, SUBAIR",WPP,117,0.09 %
REGION VI,AKLAN,BATAN,SENATOR,48,"OLIVAR, JOSE JESSIE",IND,216,0.16 %
REGION VI,AKLAN,BATAN,SENATOR,49,"ONG, DOC WILLIE",AKSYON,2414,1.8 %
REGION VI,AKLAN,BATAN,SENATOR,50,"PACQUIAO, MANNY PACMAN",PFP,4530,3.37 %
REGION VI,AKLAN,BATAN,SENATOR,51,"PANGILINAN, KIKO",LP,5892,4.39 %
REGION VI,AKLAN,BATAN,SENATOR,52,"QUERUBIN, ARIEL PORFIRIO",NP,988,0.74 %
REGION VI,AKLAN,BATAN,SENATOR,53,"QUIBOLOY, APOLLO",IND,793,0.59 %
REGION VI,AKLAN,BATAN,SENATOR,54,"RAMOS, DANILO",MKBYN,1415,1.05 %
REGION VI,AKLAN,BATAN,SENATOR,55,"REVILLAME, WILLIE WIL",IND,4211,3.14 %
REGION VI,AKLAN,BATAN,SENATOR,56,"RODRIGUEZ, ATTY. VIC",IND,1553,1.16 %
REGION VI,AKLAN,BATAN,SENATOR,57,"SAHIDULLA, NUR-ANA",IND,80,0.06 %
REGION VI,AKLAN,BATAN,SENATOR,58,"SALVADOR, PHILLIP IPE",PDPLBN,1696,1.26 %
REGION VI,AKLAN,BATAN,SENATOR,59,"SOTTO, TITO",NPC,6261,4.66 %
REGION VI,AKLAN,BATAN,SENATOR,60,"TAPADO, MICHAEL BONGBONG",PM,189,0.14 %
REGION VI,AKLAN,BATAN,SENATOR,61,"TOLENTINO, FRANCIS TOL",PFP,2634,1.96 %
