region,province,city,position,rank,candidate_name,party,votes,percentage
NIR,NEGROS ORIENTAL,DAUIN,SENATOR,1,"ABALOS, BENHUR",PFP,2273,1.79 %
NIR,NEGROS ORIENTAL,DAUIN,SENATOR,2,"ADONIS, JEROME",MKBYN,226,0.18 %
NIR,NEGROS ORIENTAL,DAUIN,SENATOR,3,"AMAD, WILSON",IND,198,0.16 %
NIR,NEGROS ORIENTAL,DAUIN,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,205,0.16 %
NIR,NEGROS ORIENTAL,DAUIN,SENATOR,5,"AQUINO, BAM",KNP,4997,3.93 %
NIR,NEGROS ORIENTAL,DAUIN,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,628,0.49 %
NIR,NEGROS ORIENTAL,DAUIN,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,243,0.19 %
NIR,NEGROS ORIENTAL,DAUIN,SENATOR,8,"BALLON, ROBERTO",IND,540,0.43 %
NIR,NEGROS ORIENTAL,DAUIN,SENATOR,9,"BINAY, ABBY",NPC,2973,2.34 %
NIR,NEGROS ORIENTAL,DAUIN,SENATOR,10,"BONDOC, JIMMY",PDPLBN,4368,3.44 %
NIR,NEGROS ORIENTAL,DAUIN,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,2415,1.9 %
NIR,NEGROS ORIENTAL,DAUIN,SENATOR,12,"BOSITA, COLONEL",IND,2065,1.63 %
NIR,NEGROS ORIENTAL,DAUIN,SENATOR,13,"BROSAS, ARLENE",MKBYN,744,0.59 %
NIR,NEGROS ORIENTAL,DAUIN,SENATOR,14,"CABONEGRO, ROY",DPP,110,0.09 %
NIR,NEGROS ORIENTAL,DAUIN,SENATOR,15,"CAPUYAN, ALLEN",PPP,148,0.12 %
NIR,NEGROS ORIENTAL,DAUIN,SENATOR,16,"CASIÑO, TEDDY",MKBYN,737,0.58 %
NIR,NEGROS ORIENTAL,DAUIN,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,720,0.57 %
NIR,NEGROS ORIENTAL,DAUIN,SENATOR,18,"CAYETANO, PIA",NP,5049,3.97 %
NIR,NEGROS ORIENTAL,DAUIN,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,188,0.15 %
NIR,NEGROS ORIENTAL,DAUIN,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,573,0.45 %
NIR,NEGROS ORIENTAL,DAUIN,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,717,0.56 %
NIR,NEGROS ORIENTAL,DAUIN,SENATOR,22,"DELA ROSA, BATO",PDPLBN,8320,6.55 %
