region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XI,DAVAO DE ORO,MABINI,SENATOR,1,"ABALOS, BENHUR",PFP,1952,0.94 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,2,"ADONIS, JEROME",MKBYN,292,0.14 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,3,"AMAD, WILSON",IND,422,0.2 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,215,0.1 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,5,"AQUINO, BAM",KNP,3158,1.52 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,442,0.21 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,322,0.16 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,8,"BALLON, ROBERTO",IND,379,0.18 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,9,"BINAY, ABBY",NPC,2260,1.09 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,10,"BONDOC, JIMMY",PDPLBN,13831,6.66 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,3633,1.75 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,12,"BOSITA, COLONEL",IND,2049,0.99 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,13,"BROSAS, ARLENE",MKBYN,338,0.16 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,14,"CABONEGRO, ROY",DPP,237,0.11 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,15,"CAPUYAN, ALLEN",PPP,1071,0.52 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,16,"CASIÑO, TEDDY",MKBYN,347,0.17 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,397,0.19 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,18,"CAYETANO, PIA",NP,3197,1.54 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,201,0.1 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,542,0.26 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,465,0.22 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,22,"DELA ROSA, BATO",PDPLBN,19934,9.6 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,242,0.12 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,24,"ESCOBAL, ARNEL",PM,320,0.15 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,25,"ESPIRITU, LUKE",PLM,566,0.27 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,179,0.09 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,27,"GAMBOA, MARC LOUIE",IND,269,0.13 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,28,"GO, BONG GO",PDPLBN,20074,9.67 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,29,"GONZALES, NORBERTO",PDSP,486,0.23 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,30,"HINLO, JAYVEE",PDPLBN,11211,5.4 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,31,"HONASAN, GRINGO",RP,3268,1.57 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,32,"JOSE, RELLY JR.",KBL,186,0.09 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,33,"LACSON, PING",IND,2495,1.2 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,34,"LAMBINO, RAUL",PDPLBN,11922,5.74 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,35,"LAPID, LITO",NPC,4706,2.27 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,36,"LEE, MANOY WILBERT",AKSYON,199,0.1 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,37,"LIDASAN, AMIRAH",MKBYN,145,0.07 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,38,"MARCOLETA, RODANTE",IND,12885,6.2 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,39,"MARCOS, IMEE R.",NP,4243,2.04 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,40,"MARQUEZ, NORMAN",IND,444,0.21 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,41,"MARTINEZ, ERIC",IND,405,0.2 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,42,"MATA, DOC MARITES",IND,8524,4.1 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,43,"MATULA, ATTY. SONNY",WPP,465,0.22 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,44,"MAZA, LIZA",MKBYN,379,0.18 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,45,"MENDOZA, HEIDI",IND,856,0.41 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,46,"MONTEMAYOR, JOEY",IND,274,0.13 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,47,"MUSTAPHA, SUBAIR",WPP,152,0.07 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,48,"OLIVAR, JOSE JESSIE",IND,257,0.12 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,49,"ONG, DOC WILLIE",AKSYON,2054,0.99 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,50,"PACQUIAO, MANNY PACMAN",PFP,2819,1.36 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR,51,"PANGILINAN, KIKO",LP,1964,0.95 %
