region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XIII,DINAGAT ISLANDS,LIBJO,SENATOR,1,"ABALOS, BENHUR",PFP,1460,2.02 %
REGION XIII,DINAGAT ISLANDS,LIBJO,SENATOR,2,"ADONIS, JEROME",MKBYN,182,0.25 %
REGION XIII,DINAGAT ISLANDS,LIBJO,SENATOR,3,"AMAD, WILSON",IND,179,0.25 %
REGION XIII,DINAGAT ISLANDS,LIBJO,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,136,0.19 %
REGION XIII,DINAGAT ISLANDS,LIBJO,SENATOR,5,"AQUINO, BAM",KNP,2171,3 %
REGION XIII,DINAGAT ISLANDS,LIBJO,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,209,0.29 %
REGION XIII,DINAGAT ISLANDS,LIBJO,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,189,0.26 %
REGION XIII,DINAGAT ISLANDS,LIBJO,SENATOR,8,"BALLON, ROBERTO",IND,194,0.27 %
REGION XIII,DINAGAT ISLANDS,LIBJO,SENATOR,9,"BINAY, ABBY",NPC,1577,2.18 %
REGION XIII,DINAGAT ISLANDS,LIBJO,SENATOR,10,"BONDOC, JIMMY",PDPLBN,2691,3.72 %
REGION XIII,DINAGAT ISLANDS,LIBJO,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,2479,3.43 %
REGION XIII,DINAGAT ISLANDS,LIBJO,SENATOR,12,"BOSITA, COLONEL",IND,614,0.85 %
REGION XIII,DINAGAT ISLANDS,LIBJO,SENATOR,13,"BROSAS, ARLENE",MKBYN,204,0.28 %
REGION XIII,DINAGAT ISLANDS,LIBJO,SENATOR,14,"CABONEGRO, ROY",DPP,91,0.13 %
REGION XIII,DINAGAT ISLANDS,LIBJO,SENATOR,15,"CAPUYAN, ALLEN",PPP,155,0.21 %
REGION XIII,DINAGAT ISLANDS,LIBJO,SENATOR,16,"CASIÑO, TEDDY",MKBYN,223,0.31 %
REGION XIII,DINAGAT ISLANDS,LIBJO,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,261,0.36 %
REGION XIII,DINAGAT ISLANDS,LIBJO,SENATOR,18,"CAYETANO, PIA",NP,1980,2.74 %
REGION XIII,DINAGAT ISLANDS,LIBJO,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,122,0.17 %
REGION XIII,DINAGAT ISLANDS,LIBJO,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,192,0.27 %
REGION XIII,DINAGAT ISLANDS,LIBJO,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,237,0.33 %
REGION XIII,DINAGAT ISLANDS,LIBJO,SENATOR,22,"DELA ROSA, BATO",PDPLBN,6023,8.32 %
REGION XIII,DINAGAT ISLANDS,LIBJO,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,131,0.18 %
REGION XIII,DINAGAT ISLANDS,LIBJO,SENATOR,24,"ESCOBAL, ARNEL",PM,161,0.22 %
REGION XIII,DINAGAT ISLANDS,LIBJO,SENATOR,25,"ESPIRITU, LUKE",PLM,295,0.41 %
REGION XIII,DINAGAT ISLANDS,LIBJO,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,97,0.13 %
REGION XIII,DINAGAT ISLANDS,LIBJO,SENATOR,27,"GAMBOA, MARC LOUIE",IND,105,0.15 %
REGION XIII,DINAGAT ISLANDS,LIBJO,SENATOR,28,"GO, BONG GO",PDPLBN,6300,8.71 %
