region,province,city,position,rank,candidate_name,party,votes,percentage
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,8525,5.17 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,239,0.15 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,222,0.13 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,254,0.15 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,8403,5.1 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,919,0.56 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,306,0.19 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,631,0.38 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,7889,4.79 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,1014,0.62 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,6761,4.1 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,4227,2.56 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,982,0.6 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,114,0.07 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,183,0.11 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,1027,0.62 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,1088,0.66 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,7172,4.35 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,167,0.1 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,591,0.36 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,983,0.6 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,4213,2.56 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,251,0.15 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,302,0.18 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,1496,0.91 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,205,0.12 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,195,0.12 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,7790,4.73 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,261,0.16 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,467,0.28 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,2435,1.48 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,161,0.1 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,7100,4.31 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,2559,1.55 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,8361,5.07 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,36,"LEE, MANOY WILBERT",AKSYON,184,0.11 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,37,"LIDASAN, AMIRAH",MKBYN,160,0.1 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,38,"MARCOLETA, RODANTE",IND,3650,2.21 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,39,"MARCOS, IMEE R.",NP,7726,4.69 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,40,"MARQUEZ, NORMAN",IND,322,0.2 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,41,"MARTINEZ, ERIC",IND,272,0.17 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,42,"MATA, DOC MARITES",IND,576,0.35 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,43,"MATULA, ATTY. SONNY",WPP,866,0.53 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,44,"MAZA, LIZA",MKBYN,931,0.56 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,45,"MENDOZA, HEIDI",IND,2093,1.27 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,46,"MONTEMAYOR, JOEY",IND,354,0.21 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,47,"MUSTAPHA, SUBAIR",WPP,66,0.04 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,48,"OLIVAR, JOSE JESSIE",IND,143,0.09 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,49,"ONG, DOC WILLIE",AKSYON,2733,1.66 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,50,"PACQUIAO, MANNY PACMAN",PFP,6180,3.75 %
REGION I,PANGASINAN,ANDA,SENATOR of PHILIPPINES,51,"PANGILINAN, KIKO",LP,6658,4.04 %
