region,province,city,position,rank,candidate_name,party,votes,percentage
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,3316,4.12 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,100,0.12 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,111,0.14 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,119,0.15 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,4260,5.29 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,554,0.69 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,174,0.22 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,365,0.45 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,3126,3.89 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,551,0.68 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,3099,3.85 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,2241,2.79 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,622,0.77 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,71,0.09 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,135,0.17 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,683,0.85 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,530,0.66 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,3994,4.96 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,84,0.1 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,349,0.43 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,644,0.8 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,2429,3.02 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,118,0.15 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,126,0.16 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,1023,1.27 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,84,0.1 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,161,0.2 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,5542,6.89 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,153,0.19 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,251,0.31 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,1669,2.07 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,135,0.17 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,4133,5.14 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,333,0.41 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,2872,3.57 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,36,"LEE, MANOY WILBERT",AKSYON,79,0.1 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,37,"LIDASAN, AMIRAH",MKBYN,67,0.08 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,38,"MARCOLETA, RODANTE",IND,2383,2.96 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,39,"MARCOS, IMEE R.",NP,4166,5.18 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,40,"MARQUEZ, NORMAN",IND,212,0.26 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,41,"MARTINEZ, ERIC",IND,153,0.19 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,42,"MATA, DOC MARITES",IND,291,0.36 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,43,"MATULA, ATTY. SONNY",WPP,564,0.7 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,44,"MAZA, LIZA",MKBYN,539,0.67 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,45,"MENDOZA, HEIDI",IND,1285,1.6 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,46,"MONTEMAYOR, JOEY",IND,145,0.18 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,47,"MUSTAPHA, SUBAIR",WPP,38,0.05 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,48,"OLIVAR, JOSE JESSIE",IND,82,0.1 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,49,"ONG, DOC WILLIE",AKSYON,1158,1.44 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,50,"PACQUIAO, MANNY PACMAN",PFP,2040,2.54 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,51,"PANGILINAN, KIKO",LP,3158,3.93 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,52,"QUERUBIN, ARIEL PORFIRIO",NP,589,0.73 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,53,"QUIBOLOY, APOLLO",IND,253,0.31 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,54,"RAMOS, DANILO",MKBYN,647,0.8 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,55,"REVILLAME, WILLIE WIL",IND,1827,2.27 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,56,"RODRIGUEZ, ATTY. VIC",IND,573,0.71 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,57,"SAHIDULLA, NUR-ANA",IND,42,0.05 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,58,"SALVADOR, PHILLIP IPE",PDPLBN,840,1.04 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,59,"SOTTO, TITO",NPC,3157,3.92 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,60,"TAPADO, MICHAEL BONGBONG",PM,135,0.17 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,61,"TOLENTINO, FRANCIS TOL",PFP,1813,2.25 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,62,"TULFO, BEN BITAG",IND,2890,3.59 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,63,"TULFO, ERWIN",LAKAS,4067,5.05 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,64,"VALBUENA, MAR MANIBELA",IND,80,0.1 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,65,"VERCELES, LEANDRO",IND,43,0.05 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR of PHILIPPINES,66,"VILLAR, CAMILLE",NP,2983,3.71 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,1 4PS,,311,4.08 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,2 PPP,,7,0.09 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,3 FPJ PANDAY BAYANIHAN,,58,0.76 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,4 KABATAAN,,84,1.1 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,5 DUTERTE YOUTH,,147,1.93 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,6 ML,,78,1.02 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,7 PBBM,,85,1.12 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,8 P3PWD,,34,0.45 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,9 MURANG KURYENTE,,62,0.81 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,10 BICOL SARO,,8,0.1 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,11 IPATUPAD,,13,0.17 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,12 PATROL,,6,0.08 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,13 JUAN PINOY,,6,0.08 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,14 ARTE,,2,0.03 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,15 WIFI,,19,0.25 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,16 MAAGAP,,30,0.39 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,17 UNITED SENIOR CITIZENS,,165,2.16 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,18 EPANAW SAMBAYANAN,,23,0.3 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,19 AKO PADAYON,,0,0 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,20 TUCP,,3,0.04 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,21 ACT TEACHERS,,114,1.5 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,22 1PACMAN,,539,7.07 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,23 TGP,,17,0.22 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,24 DUMPER PTDA,,0,0 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,25 ANAKALUSUGAN,,2,0.03 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,26 AKSYON DAPAT,,16,0.21 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,27 BHW,,81,1.06 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,28 SULONG DIGNIDAD,,2,0.03 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,29 BATANG QUIAPO,,7,0.09 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,30 PBA,,2,0.03 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,31 GILAS,,3,0.04 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,32 AKO ILOCANO AKO,,57,0.75 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,33 PAMILYANG MAGSASAKA,,99,1.3 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,34 CLICK PARTY,,0,0 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,35 ABANTE BISDAK,,1,0.01 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,36 MANILA TEACHERS,,40,0.52 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,37 PAMANA,,1,0.01 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,38 NANAY,,12,0.16 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,39 KM NGAYON NA,,186,2.44 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,40 BABAE AKO,,32,0.42 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,41 ARISE,,5,0.07 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,42 MAGDALO,,15,0.2 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,43 APEC,,6,0.08 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,44 MAGBUBUKID,,138,1.81 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,45 SSS-GSIS PENSYONADO,,60,0.79 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,46 GABRIELA,,24,0.31 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,47 TINGOG,,6,0.08 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,48 APAT-DAPAT,,6,0.08 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,49 AHON MAHIRAP,,14,0.18 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,50 UGB,,3,0.04 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,51 AKBAYAN,,402,5.27 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,PARTY LIST of PHILIPPINES,,52 AGIMAT,,5,0.07 %
