region,province,city,position,rank,candidate_name,party,votes,percentage
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,2048,3.33 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,98,0.16 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,80,0.13 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,87,0.14 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,2378,3.87 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,241,0.39 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,124,0.2 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,166,0.27 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,2460,4 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,507,0.82 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,3493,5.68 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,1387,2.25 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,246,0.4 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,61,0.1 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,133,0.22 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,227,0.37 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,276,0.45 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,2706,4.4 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,58,0.09 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,192,0.31 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,337,0.55 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,1976,3.21 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,90,0.15 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,114,0.19 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,534,0.87 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,67,0.11 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,80,0.13 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,2886,4.69 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,103,0.17 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,200,0.33 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,939,1.53 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,78,0.13 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,2671,4.34 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,291,0.47 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,3356,5.46 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,36,"LEE, MANOY WILBERT",AKSYON,64,0.1 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,37,"LIDASAN, AMIRAH",MKBYN,57,0.09 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,38,"MARCOLETA, RODANTE",IND,2174,3.53 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,39,"MARCOS, IMEE R.",NP,2662,4.33 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,40,"MARQUEZ, NORMAN",IND,113,0.18 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,41,"MARTINEZ, ERIC",IND,99,0.16 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,42,"MATA, DOC MARITES",IND,284,0.46 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,43,"MATULA, ATTY. SONNY",WPP,241,0.39 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,44,"MAZA, LIZA",MKBYN,214,0.35 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,45,"MENDOZA, HEIDI",IND,675,1.1 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,46,"MONTEMAYOR, JOEY",IND,103,0.17 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,47,"MUSTAPHA, SUBAIR",WPP,36,0.06 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,48,"OLIVAR, JOSE JESSIE",IND,55,0.09 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,49,"ONG, DOC WILLIE",AKSYON,1001,1.63 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,50,"PACQUIAO, MANNY PACMAN",PFP,2418,3.93 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,51,"PANGILINAN, KIKO",LP,1810,2.94 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,52,"QUERUBIN, ARIEL PORFIRIO",NP,414,0.67 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,53,"QUIBOLOY, APOLLO",IND,150,0.24 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,54,"RAMOS, DANILO",MKBYN,359,0.58 %
REGION III,AURORA,DILASAG,SENATOR of PHILIPPINES,55,"REVILLAME, WILLIE WIL",IND,2161,3.51 %
