region,province,city,position,rank,candidate_name,party,votes,percentage
REGION III,BATAAN,ABUCAY,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,6806,3.56 %
REGION III,BATAAN,ABUCAY,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,327,0.17 %
REGION III,BATAAN,ABUCAY,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,249,0.13 %
REGION III,BATAAN,ABUCAY,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,801,0.42 %
REGION III,BATAAN,ABUCAY,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,12055,6.31 %
REGION III,BATAAN,ABUCAY,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,2680,1.4 %
REGION III,BATAAN,ABUCAY,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,394,0.21 %
REGION III,BATAAN,ABUCAY,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,1531,0.8 %
REGION III,BATAAN,ABUCAY,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,5929,3.1 %
REGION III,BATAAN,ABUCAY,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,1884,0.99 %
REGION III,BATAAN,ABUCAY,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,5256,2.75 %
REGION III,BATAAN,ABUCAY,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,4926,2.58 %
REGION III,BATAAN,ABUCAY,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,2851,1.49 %
REGION III,BATAAN,ABUCAY,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,192,0.1 %
REGION III,BATAAN,ABUCAY,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,278,0.15 %
REGION III,BATAAN,ABUCAY,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,3049,1.6 %
