region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-A,BATANGAS,IBAAN,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,8857,3.28 %
REGION IV-A,BATANGAS,IBAAN,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,356,0.13 %
REGION IV-A,BATANGAS,IBAAN,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,254,0.09 %
REGION IV-A,BATANGAS,IBAAN,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,512,0.19 %
REGION IV-A,BATANGAS,IBAAN,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,17729,6.56 %
REGION IV-A,BATANGAS,IBAAN,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,3868,1.43 %
REGION IV-A,BATANGAS,IBAAN,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,533,0.2 %
REGION IV-A,BATANGAS,IBAAN,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,2249,0.83 %
REGION IV-A,BATANGAS,IBAAN,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,8490,3.14 %
REGION IV-A,BATANGAS,IBAAN,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,2562,0.95 %
REGION IV-A,BATANGAS,IBAAN,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,8585,3.18 %
REGION IV-A,BATANGAS,IBAAN,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,10082,3.73 %
REGION IV-A,BATANGAS,IBAAN,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,4241,1.57 %
REGION IV-A,BATANGAS,IBAAN,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,171,0.06 %
REGION IV-A,BATANGAS,IBAAN,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,268,0.1 %
REGION IV-A,BATANGAS,IBAAN,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,4530,1.68 %
REGION IV-A,BATANGAS,IBAAN,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,2780,1.03 %
REGION IV-A,BATANGAS,IBAAN,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,13030,4.82 %
REGION IV-A,BATANGAS,IBAAN,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,303,0.11 %
REGION IV-A,BATANGAS,IBAAN,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,2030,0.75 %
REGION IV-A,BATANGAS,IBAAN,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,4218,1.56 %
REGION IV-A,BATANGAS,IBAAN,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,7412,2.74 %
REGION IV-A,BATANGAS,IBAAN,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,364,0.13 %
REGION IV-A,BATANGAS,IBAAN,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,317,0.12 %
REGION IV-A,BATANGAS,IBAAN,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,6345,2.35 %
REGION IV-A,BATANGAS,IBAAN,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,316,0.12 %
