region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-A,QUEZON,ALABAT,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,1855,3.05 %
REGION IV-A,QUEZON,ALABAT,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,75,0.12 %
REGION IV-A,QUEZON,ALABAT,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,69,0.11 %
REGION IV-A,QUEZON,ALABAT,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,101,0.17 %
REGION IV-A,QUEZON,ALABAT,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,4160,6.84 %
REGION IV-A,QUEZON,ALABAT,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,627,1.03 %
REGION IV-A,QUEZON,ALABAT,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,118,0.19 %
REGION IV-A,QUEZON,ALABAT,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,299,0.49 %
REGION IV-A,QUEZON,ALABAT,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,2220,3.65 %
REGION IV-A,QUEZON,ALABAT,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,431,0.71 %
REGION IV-A,QUEZON,ALABAT,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,1899,3.12 %
REGION IV-A,QUEZON,ALABAT,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,2368,3.89 %
REGION IV-A,QUEZON,ALABAT,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,707,1.16 %
REGION IV-A,QUEZON,ALABAT,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,42,0.07 %
REGION IV-A,QUEZON,ALABAT,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,65,0.11 %
REGION IV-A,QUEZON,ALABAT,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,802,1.32 %
REGION IV-A,QUEZON,ALABAT,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,605,0.99 %
REGION IV-A,QUEZON,ALABAT,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,2238,3.68 %
