region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,3497,2.11 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,438,0.26 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,422,0.25 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,397,0.24 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,7959,4.8 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,766,0.46 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,501,0.3 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,562,0.34 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,5059,3.05 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,2193,1.32 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,7009,4.23 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,4469,2.69 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,932,0.56 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,220,0.13 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,321,0.19 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,1025,0.62 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,1026,0.62 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,5656,3.41 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,303,0.18 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,704,0.42 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,1066,0.64 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,6161,3.72 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,395,0.24 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,448,0.27 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,1706,1.03 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,399,0.24 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,281,0.17 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,7181,4.33 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,497,0.3 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,1212,0.73 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,1771,1.07 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,308,0.19 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,5825,3.51 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,1294,0.78 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,8326,5.02 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,36,"LEE, MANOY WILBERT",AKSYON,327,0.2 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,37,"LIDASAN, AMIRAH",MKBYN,194,0.12 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,38,"MARCOLETA, RODANTE",IND,4591,2.77 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,39,"MARCOS, IMEE R.",NP,8808,5.31 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,40,"MARQUEZ, NORMAN",IND,451,0.27 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,41,"MARTINEZ, ERIC",IND,378,0.23 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,42,"MATA, DOC MARITES",IND,988,0.6 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,43,"MATULA, ATTY. SONNY",WPP,740,0.45 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,44,"MAZA, LIZA",MKBYN,781,0.47 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,45,"MENDOZA, HEIDI",IND,3172,1.91 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,46,"MONTEMAYOR, JOEY",IND,292,0.18 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,47,"MUSTAPHA, SUBAIR",WPP,112,0.07 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,48,"OLIVAR, JOSE JESSIE",IND,220,0.13 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,49,"ONG, DOC WILLIE",AKSYON,2718,1.64 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,50,"PACQUIAO, MANNY PACMAN",PFP,7106,4.29 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,51,"PANGILINAN, KIKO",LP,5548,3.35 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,52,"QUERUBIN, ARIEL PORFIRIO",NP,1126,0.68 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,53,"QUIBOLOY, APOLLO",IND,848,0.51 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,54,"RAMOS, DANILO",MKBYN,911,0.55 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,55,"REVILLAME, WILLIE WIL",IND,5435,3.28 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,56,"RODRIGUEZ, ATTY. VIC",IND,1556,0.94 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,57,"SAHIDULLA, NUR-ANA",IND,139,0.08 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,58,"SALVADOR, PHILLIP IPE",PDPLBN,3232,1.95 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,59,"SOTTO, TITO",NPC,6647,4.01 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,60,"TAPADO, MICHAEL BONGBONG",PM,292,0.18 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,61,"TOLENTINO, FRANCIS TOL",PFP,2121,1.28 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,62,"TULFO, BEN BITAG",IND,8148,4.91 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,63,"TULFO, ERWIN",LAKAS,11616,7 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,64,"VALBUENA, MAR MANIBELA",IND,262,0.16 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,65,"VERCELES, LEANDRO",IND,104,0.06 %
REGION IV-A,QUEZON,SAN FRANCISCO,SENATOR of PHILIPPINES,66,"VILLAR, CAMILLE",NP,6634,4 %
REGION IV-A,QUEZON,SAN FRANCISCO,PARTY LIST of PHILIPPINES,,1 4PS,,636,2.64 %
REGION IV-A,QUEZON,SAN FRANCISCO,PARTY LIST of PHILIPPINES,,2 PPP,,12,0.05 %
REGION IV-A,QUEZON,SAN FRANCISCO,PARTY LIST of PHILIPPINES,,3 FPJ PANDAY BAYANIHAN,,130,0.54 %
REGION IV-A,QUEZON,SAN FRANCISCO,PARTY LIST of PHILIPPINES,,4 KABATAAN,,168,0.7 %
REGION IV-A,QUEZON,SAN FRANCISCO,PARTY LIST of PHILIPPINES,,5 DUTERTE YOUTH,,342,1.42 %
REGION IV-A,QUEZON,SAN FRANCISCO,PARTY LIST of PHILIPPINES,,6 ML,,68,0.28 %
REGION IV-A,QUEZON,SAN FRANCISCO,PARTY LIST of PHILIPPINES,,7 PBBM,,37,0.15 %
REGION IV-A,QUEZON,SAN FRANCISCO,PARTY LIST of PHILIPPINES,,8 P3PWD,,20,0.08 %
REGION IV-A,QUEZON,SAN FRANCISCO,PARTY LIST of PHILIPPINES,,9 MURANG KURYENTE,,33,0.14 %
REGION IV-A,QUEZON,SAN FRANCISCO,PARTY LIST of PHILIPPINES,,10 BICOL SARO,,39,0.16 %
REGION IV-A,QUEZON,SAN FRANCISCO,PARTY LIST of PHILIPPINES,,11 IPATUPAD,,15,0.06 %
REGION IV-A,QUEZON,SAN FRANCISCO,PARTY LIST of PHILIPPINES,,12 PATROL,,8,0.03 %
REGION IV-A,QUEZON,SAN FRANCISCO,PARTY LIST of PHILIPPINES,,13 JUAN PINOY,,6,0.02 %
REGION IV-A,QUEZON,SAN FRANCISCO,PARTY LIST of PHILIPPINES,,14 ARTE,,4,0.02 %
REGION IV-A,QUEZON,SAN FRANCISCO,PARTY LIST of PHILIPPINES,,15 WIFI,,14,0.06 %
REGION IV-A,QUEZON,SAN FRANCISCO,PARTY LIST of PHILIPPINES,,16 MAAGAP,,4,0.02 %
REGION IV-A,QUEZON,SAN FRANCISCO,PARTY LIST of PHILIPPINES,,17 UNITED SENIOR CITIZENS,,158,0.66 %
REGION IV-A,QUEZON,SAN FRANCISCO,PARTY LIST of PHILIPPINES,,18 EPANAW SAMBAYANAN,,11,0.05 %
REGION IV-A,QUEZON,SAN FRANCISCO,PARTY LIST of PHILIPPINES,,19 AKO PADAYON,,9,0.04 %
REGION IV-A,QUEZON,SAN FRANCISCO,PARTY LIST of PHILIPPINES,,20 TUCP,,3,0.01 %
REGION IV-A,QUEZON,SAN FRANCISCO,PARTY LIST of PHILIPPINES,,21 ACT TEACHERS,,126,0.52 %
