region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,2008,2.77 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,139,0.19 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,141,0.19 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,87,0.12 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,1750,2.41 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,168,0.23 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,135,0.19 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,199,0.27 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,3255,4.49 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,3300,4.55 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,2456,3.39 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,655,0.9 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,152,0.21 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,103,0.14 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,187,0.26 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,150,0.21 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,159,0.22 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,1143,1.58 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,58,0.08 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,171,0.24 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,192,0.26 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,5923,8.17 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,107,0.15 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,112,0.15 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,255,0.35 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,105,0.14 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,101,0.14 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,7340,10.12 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,148,0.2 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,2468,3.4 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,790,1.09 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,79,0.11 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,1301,1.79 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,2676,3.69 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,1979,2.73 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR of PHILIPPINES,36,"LEE, MANOY WILBERT",AKSYON,82,0.11 %
