region,province,city,position,rank,candidate_name,party,votes,percentage
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,5220,3.01 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,433,0.25 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,291,0.17 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,334,0.19 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,12660,7.3 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,1908,1.1 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,376,0.22 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,1229,0.71 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,5612,3.24 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,1187,0.68 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,5992,3.45 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,3987,2.3 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,2291,1.32 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,177,0.1 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,281,0.16 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,2455,1.42 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,2242,1.29 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,7245,4.18 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,337,0.19 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,1019,0.59 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,2239,1.29 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,3372,1.94 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,372,0.21 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,414,0.24 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,3882,2.24 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,300,0.17 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,205,0.12 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,5874,3.39 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,374,0.22 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,603,0.35 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,2924,1.69 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,315,0.18 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,7415,4.27 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,711,0.41 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,8045,4.64 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,36,"LEE, MANOY WILBERT",AKSYON,283,0.16 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,37,"LIDASAN, AMIRAH",MKBYN,201,0.12 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,38,"MARCOLETA, RODANTE",IND,3169,1.83 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,39,"MARCOS, IMEE R.",NP,3244,1.87 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,40,"MARQUEZ, NORMAN",IND,413,0.24 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,41,"MARTINEZ, ERIC",IND,361,0.21 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,42,"MATA, DOC MARITES",IND,646,0.37 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,43,"MATULA, ATTY. SONNY",WPP,2061,1.19 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,44,"MAZA, LIZA",MKBYN,2183,1.26 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,45,"MENDOZA, HEIDI",IND,4694,2.71 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,46,"MONTEMAYOR, JOEY",IND,299,0.17 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,47,"MUSTAPHA, SUBAIR",WPP,112,0.06 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,48,"OLIVAR, JOSE JESSIE",IND,209,0.12 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,49,"ONG, DOC WILLIE",AKSYON,3238,1.87 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,50,"PACQUIAO, MANNY PACMAN",PFP,6053,3.49 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,51,"PANGILINAN, KIKO",LP,12144,7 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,52,"QUERUBIN, ARIEL PORFIRIO",NP,1215,0.7 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,53,"QUIBOLOY, APOLLO",IND,497,0.29 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,54,"RAMOS, DANILO",MKBYN,2066,1.19 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,55,"REVILLAME, WILLIE WIL",IND,4709,2.71 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,56,"RODRIGUEZ, ATTY. VIC",IND,1135,0.65 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,57,"SAHIDULLA, NUR-ANA",IND,116,0.07 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,58,"SALVADOR, PHILLIP IPE",PDPLBN,1812,1.04 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,59,"SOTTO, TITO",NPC,7443,4.29 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,60,"TAPADO, MICHAEL BONGBONG",PM,198,0.11 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,61,"TOLENTINO, FRANCIS TOL",PFP,3554,2.05 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,62,"TULFO, BEN BITAG",IND,5802,3.34 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,63,"TULFO, ERWIN",LAKAS,8910,5.14 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,64,"VALBUENA, MAR MANIBELA",IND,264,0.15 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,65,"VERCELES, LEANDRO",IND,121,0.07 %
REGION V,CAMARINES NORTE,VINZONS,SENATOR of PHILIPPINES,66,"VILLAR, CAMILLE",NP,3985,2.3 %
