region,province,city,position,rank,candidate_name,party,votes,percentage
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,12040,3.49 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,647,0.19 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,543,0.16 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,776,0.22 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,27646,8 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,4857,1.41 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,627,0.18 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,2706,0.78 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,11714,3.39 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,2213,0.64 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,8765,2.54 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,9509,2.75 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,5712,1.65 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,260,0.08 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,677,0.2 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,6438,1.86 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,5370,1.55 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,15564,4.51 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,662,0.19 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,2200,0.64 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,5757,1.67 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,6204,1.8 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,602,0.17 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,1095,0.32 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,10284,2.98 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,489,0.14 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,490,0.14 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,12730,3.69 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,689,0.2 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,1139,0.33 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,5646,1.63 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,371,0.11 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,13669,3.96 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,1273,0.37 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,10206,2.96 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,36,"LEE, MANOY WILBERT",AKSYON,540,0.16 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,37,"LIDASAN, AMIRAH",MKBYN,475,0.14 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,38,"MARCOLETA, RODANTE",IND,5895,1.71 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,39,"MARCOS, IMEE R.",NP,7074,2.05 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,40,"MARQUEZ, NORMAN",IND,1004,0.29 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,41,"MARTINEZ, ERIC",IND,615,0.18 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,42,"MATA, DOC MARITES",IND,1237,0.36 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,43,"MATULA, ATTY. SONNY",WPP,5580,1.62 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,44,"MAZA, LIZA",MKBYN,5220,1.51 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,45,"MENDOZA, HEIDI",IND,10805,3.13 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,46,"MONTEMAYOR, JOEY",IND,565,0.16 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,47,"MUSTAPHA, SUBAIR",WPP,200,0.06 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,48,"OLIVAR, JOSE JESSIE",IND,327,0.09 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,49,"ONG, DOC WILLIE",AKSYON,5386,1.56 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,50,"PACQUIAO, MANNY PACMAN",PFP,7749,2.24 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,51,"PANGILINAN, KIKO",LP,22804,6.6 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,52,"QUERUBIN, ARIEL PORFIRIO",NP,3112,0.9 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,53,"QUIBOLOY, APOLLO",IND,915,0.26 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,54,"RAMOS, DANILO",MKBYN,5298,1.53 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,55,"REVILLAME, WILLIE WIL",IND,6799,1.97 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,56,"RODRIGUEZ, ATTY. VIC",IND,3274,0.95 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,57,"SAHIDULLA, NUR-ANA",IND,225,0.07 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,58,"SALVADOR, PHILLIP IPE",PDPLBN,2450,0.71 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,59,"SOTTO, TITO",NPC,11859,3.43 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,60,"TAPADO, MICHAEL BONGBONG",PM,343,0.1 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,61,"TOLENTINO, FRANCIS TOL",PFP,7927,2.3 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,62,"TULFO, BEN BITAG",IND,11331,3.28 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,63,"TULFO, ERWIN",LAKAS,15980,4.63 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,64,"VALBUENA, MAR MANIBELA",IND,462,0.13 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,65,"VERCELES, LEANDRO",IND,242,0.07 %
REGION V,CAMARINES SUR,PILI,SENATOR of PHILIPPINES,66,"VILLAR, CAMILLE",NP,10117,2.93 %
REGION V,CAMARINES SUR,PILI,PARTY LIST of PHILIPPINES,,1 4PS,,1037,2.81 %
REGION V,CAMARINES SUR,PILI,PARTY LIST of PHILIPPINES,,2 PPP,,22,0.06 %
REGION V,CAMARINES SUR,PILI,PARTY LIST of PHILIPPINES,,3 FPJ PANDAY BAYANIHAN,,127,0.34 %
REGION V,CAMARINES SUR,PILI,PARTY LIST of PHILIPPINES,,4 KABATAAN,,220,0.6 %
REGION V,CAMARINES SUR,PILI,PARTY LIST of PHILIPPINES,,5 DUTERTE YOUTH,,375,1.02 %
REGION V,CAMARINES SUR,PILI,PARTY LIST of PHILIPPINES,,6 ML,,2849,7.73 %
REGION V,CAMARINES SUR,PILI,PARTY LIST of PHILIPPINES,,7 PBBM,,38,0.1 %
REGION V,CAMARINES SUR,PILI,PARTY LIST of PHILIPPINES,,8 P3PWD,,70,0.19 %
REGION V,CAMARINES SUR,PILI,PARTY LIST of PHILIPPINES,,9 MURANG KURYENTE,,96,0.26 %
REGION V,CAMARINES SUR,PILI,PARTY LIST of PHILIPPINES,,10 BICOL SARO,,8570,23.25 %
REGION V,CAMARINES SUR,PILI,PARTY LIST of PHILIPPINES,,11 IPATUPAD,,456,1.24 %
REGION V,CAMARINES SUR,PILI,PARTY LIST of PHILIPPINES,,12 PATROL,,7,0.02 %
REGION V,CAMARINES SUR,PILI,PARTY LIST of PHILIPPINES,,13 JUAN PINOY,,12,0.03 %
REGION V,CAMARINES SUR,PILI,PARTY LIST of PHILIPPINES,,14 ARTE,,12,0.03 %
REGION V,CAMARINES SUR,PILI,PARTY LIST of PHILIPPINES,,15 WIFI,,53,0.14 %
REGION V,CAMARINES SUR,PILI,PARTY LIST of PHILIPPINES,,16 MAAGAP,,16,0.04 %
REGION V,CAMARINES SUR,PILI,PARTY LIST of PHILIPPINES,,17 UNITED SENIOR CITIZENS,,173,0.47 %
REGION V,CAMARINES SUR,PILI,PARTY LIST of PHILIPPINES,,18 EPANAW SAMBAYANAN,,27,0.07 %
REGION V,CAMARINES SUR,PILI,PARTY LIST of PHILIPPINES,,19 AKO PADAYON,,9,0.02 %
REGION V,CAMARINES SUR,PILI,PARTY LIST of PHILIPPINES,,20 TUCP,,4,0.01 %
REGION V,CAMARINES SUR,PILI,PARTY LIST of PHILIPPINES,,21 ACT TEACHERS,,422,1.14 %
REGION V,CAMARINES SUR,PILI,PARTY LIST of PHILIPPINES,,22 1PACMAN,,792,2.15 %
REGION V,CAMARINES SUR,PILI,PARTY LIST of PHILIPPINES,,23 TGP,,522,1.42 %
REGION V,CAMARINES SUR,PILI,PARTY LIST of PHILIPPINES,,24 DUMPER PTDA,,1,0 %
REGION V,CAMARINES SUR,PILI,PARTY LIST of PHILIPPINES,,25 ANAKALUSUGAN,,2,0.01 %
REGION V,CAMARINES SUR,PILI,PARTY LIST of PHILIPPINES,,26 AKSYON DAPAT,,26,0.07 %
REGION V,CAMARINES SUR,PILI,PARTY LIST of PHILIPPINES,,27 BHW,,578,1.57 %
