region,province,city,position,rank,candidate_name,party,votes,percentage
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,4299,4.95 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,263,0.3 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,202,0.23 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,227,0.26 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,6695,7.7 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,564,0.65 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,287,0.33 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,435,0.5 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,2090,2.41 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,926,1.07 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,2914,3.35 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,2964,3.41 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,565,0.65 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,142,0.16 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,193,0.22 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,587,0.68 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,668,0.77 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,2293,2.64 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,205,0.24 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,360,0.41 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,567,0.65 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,4403,5.07 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,183,0.21 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,262,0.3 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,1220,1.4 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,191,0.22 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,175,0.2 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,5083,5.85 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,216,0.25 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,598,0.69 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,823,0.95 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,198,0.23 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,2901,3.34 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,609,0.7 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,3265,3.76 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,36,"LEE, MANOY WILBERT",AKSYON,230,0.26 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,37,"LIDASAN, AMIRAH",MKBYN,105,0.12 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,38,"MARCOLETA, RODANTE",IND,2797,3.22 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,39,"MARCOS, IMEE R.",NP,2106,2.42 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,40,"MARQUEZ, NORMAN",IND,241,0.28 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,41,"MARTINEZ, ERIC",IND,280,0.32 %
REGION V,MASBATE,BALENO,SENATOR of PHILIPPINES,42,"MATA, DOC MARITES",IND,484,0.56 %
