region,province,city,position,rank,candidate_name,party,votes,percentage
REGION V,SORSOGON,PRIETO DIAZ,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,3319,3.6 %
REGION V,SORSOGON,PRIETO DIAZ,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,197,0.21 %
REGION V,SORSOGON,PRIETO DIAZ,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,150,0.16 %
REGION V,SORSOGON,PRIETO DIAZ,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,173,0.19 %
REGION V,SORSOGON,PRIETO DIAZ,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,6688,7.25 %
REGION V,SORSOGON,PRIETO DIAZ,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,783,0.85 %
REGION V,SORSOGON,PRIETO DIAZ,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,228,0.25 %
REGION V,SORSOGON,PRIETO DIAZ,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,462,0.5 %
REGION V,SORSOGON,PRIETO DIAZ,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,2938,3.18 %
REGION V,SORSOGON,PRIETO DIAZ,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,626,0.68 %
REGION V,SORSOGON,PRIETO DIAZ,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,3940,4.27 %
REGION V,SORSOGON,PRIETO DIAZ,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,2292,2.48 %
REGION V,SORSOGON,PRIETO DIAZ,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,880,0.95 %
REGION V,SORSOGON,PRIETO DIAZ,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,82,0.09 %
REGION V,SORSOGON,PRIETO DIAZ,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,156,0.17 %
REGION V,SORSOGON,PRIETO DIAZ,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,904,0.98 %
REGION V,SORSOGON,PRIETO DIAZ,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,827,0.9 %
REGION V,SORSOGON,PRIETO DIAZ,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,4209,4.56 %
REGION V,SORSOGON,PRIETO DIAZ,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,138,0.15 %
REGION V,SORSOGON,PRIETO DIAZ,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,433,0.47 %
REGION V,SORSOGON,PRIETO DIAZ,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,817,0.89 %
REGION V,SORSOGON,PRIETO DIAZ,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,2568,2.78 %
REGION V,SORSOGON,PRIETO DIAZ,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,213,0.23 %
REGION V,SORSOGON,PRIETO DIAZ,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,308,0.33 %
REGION V,SORSOGON,PRIETO DIAZ,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,1501,1.63 %
REGION V,SORSOGON,PRIETO DIAZ,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,117,0.13 %
REGION V,SORSOGON,PRIETO DIAZ,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,93,0.1 %
REGION V,SORSOGON,PRIETO DIAZ,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,3637,3.94 %
REGION V,SORSOGON,PRIETO DIAZ,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,200,0.22 %
REGION V,SORSOGON,PRIETO DIAZ,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,351,0.38 %
