region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VI,AKLAN,ALTAVAS,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,2271,2.36 %
REGION VI,AKLAN,ALTAVAS,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,216,0.22 %
REGION VI,AKLAN,ALTAVAS,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,147,0.15 %
REGION VI,AKLAN,ALTAVAS,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,167,0.17 %
REGION VI,AKLAN,ALTAVAS,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,6269,6.53 %
REGION VI,AKLAN,ALTAVAS,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,656,0.68 %
REGION VI,AKLAN,ALTAVAS,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,234,0.24 %
REGION VI,AKLAN,ALTAVAS,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,338,0.35 %
REGION VI,AKLAN,ALTAVAS,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,3634,3.78 %
REGION VI,AKLAN,ALTAVAS,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,1097,1.14 %
REGION VI,AKLAN,ALTAVAS,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,3826,3.98 %
REGION VI,AKLAN,ALTAVAS,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,2167,2.26 %
REGION VI,AKLAN,ALTAVAS,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,799,0.83 %
REGION VI,AKLAN,ALTAVAS,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,78,0.08 %
REGION VI,AKLAN,ALTAVAS,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,135,0.14 %
REGION VI,AKLAN,ALTAVAS,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,1347,1.4 %
REGION VI,AKLAN,ALTAVAS,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,936,0.97 %
