region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VI,ILOILO,CITY OF PASSI,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,13080,4.39 %
REGION VI,ILOILO,CITY OF PASSI,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,454,0.15 %
REGION VI,ILOILO,CITY OF PASSI,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,329,0.11 %
REGION VI,ILOILO,CITY OF PASSI,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,468,0.16 %
REGION VI,ILOILO,CITY OF PASSI,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,19988,6.7 %
REGION VI,ILOILO,CITY OF PASSI,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,1788,0.6 %
REGION VI,ILOILO,CITY OF PASSI,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,582,0.2 %
REGION VI,ILOILO,CITY OF PASSI,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,1234,0.41 %
REGION VI,ILOILO,CITY OF PASSI,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,8217,2.76 %
REGION VI,ILOILO,CITY OF PASSI,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,2587,0.87 %
REGION VI,ILOILO,CITY OF PASSI,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,12730,4.27 %
REGION VI,ILOILO,CITY OF PASSI,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,5799,1.94 %
REGION VI,ILOILO,CITY OF PASSI,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,2109,0.71 %
REGION VI,ILOILO,CITY OF PASSI,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,169,0.06 %
REGION VI,ILOILO,CITY OF PASSI,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,345,0.12 %
REGION VI,ILOILO,CITY OF PASSI,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,2203,0.74 %
REGION VI,ILOILO,CITY OF PASSI,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,2198,0.74 %
REGION VI,ILOILO,CITY OF PASSI,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,12582,4.22 %
REGION VI,ILOILO,CITY OF PASSI,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,346,0.12 %
REGION VI,ILOILO,CITY OF PASSI,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,1065,0.36 %
REGION VI,ILOILO,CITY OF PASSI,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,2055,0.69 %
REGION VI,ILOILO,CITY OF PASSI,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,8453,2.84 %
REGION VI,ILOILO,CITY OF PASSI,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,444,0.15 %
REGION VI,ILOILO,CITY OF PASSI,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,396,0.13 %
