region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,10643,6.42 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,466,0.28 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,422,0.25 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,326,0.2 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,9952,6 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,845,0.51 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,456,0.27 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,641,0.39 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,6567,3.96 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,1809,1.09 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,6006,3.62 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,2179,1.31 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,1030,0.62 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,231,0.14 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,289,0.17 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,995,0.6 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,1038,0.63 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,5796,3.5 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,283,0.17 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,616,0.37 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,1131,0.68 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,4169,2.51 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,388,0.23 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,520,0.31 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,2025,1.22 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,323,0.19 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,268,0.16 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,6851,4.13 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,974,0.59 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,1056,0.64 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,2450,1.48 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,325,0.2 %
REGION VIII,EASTERN SAMAR,DOLORES,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,7166,4.32 %
