region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VIII,LEYTE,ISABEL,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,5171,2.43 %
REGION VIII,LEYTE,ISABEL,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,268,0.13 %
REGION VIII,LEYTE,ISABEL,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,259,0.12 %
REGION VIII,LEYTE,ISABEL,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,261,0.12 %
REGION VIII,LEYTE,ISABEL,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,8969,4.21 %
REGION VIII,LEYTE,ISABEL,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,1060,0.5 %
REGION VIII,LEYTE,ISABEL,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,310,0.15 %
REGION VIII,LEYTE,ISABEL,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,813,0.38 %
REGION VIII,LEYTE,ISABEL,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,8735,4.1 %
REGION VIII,LEYTE,ISABEL,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,7003,3.29 %
REGION VIII,LEYTE,ISABEL,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,7617,3.58 %
REGION VIII,LEYTE,ISABEL,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,5282,2.48 %
REGION VIII,LEYTE,ISABEL,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,1217,0.57 %
REGION VIII,LEYTE,ISABEL,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,242,0.11 %
REGION VIII,LEYTE,ISABEL,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,335,0.16 %
REGION VIII,LEYTE,ISABEL,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,1243,0.58 %
REGION VIII,LEYTE,ISABEL,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,855,0.4 %
REGION VIII,LEYTE,ISABEL,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,7398,3.48 %
REGION VIII,LEYTE,ISABEL,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,204,0.1 %
REGION VIII,LEYTE,ISABEL,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,691,0.32 %
REGION VIII,LEYTE,ISABEL,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,1180,0.55 %
REGION VIII,LEYTE,ISABEL,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,16366,7.69 %
REGION VIII,LEYTE,ISABEL,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,246,0.12 %
REGION VIII,LEYTE,ISABEL,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,231,0.11 %
