region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VIII,LEYTE,SAN ISIDRO,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,8339,8.52 %
REGION VIII,LEYTE,SAN ISIDRO,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,192,0.2 %
REGION VIII,LEYTE,SAN ISIDRO,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,122,0.12 %
REGION VIII,LEYTE,SAN ISIDRO,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,103,0.11 %
REGION VIII,LEYTE,SAN ISIDRO,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,3632,3.71 %
REGION VIII,LEYTE,SAN ISIDRO,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,248,0.25 %
REGION VIII,LEYTE,SAN ISIDRO,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,101,0.1 %
REGION VIII,LEYTE,SAN ISIDRO,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,175,0.18 %
REGION VIII,LEYTE,SAN ISIDRO,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,2876,2.94 %
REGION VIII,LEYTE,SAN ISIDRO,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,2280,2.33 %
REGION VIII,LEYTE,SAN ISIDRO,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,1068,1.09 %
REGION VIII,LEYTE,SAN ISIDRO,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,954,0.98 %
REGION VIII,LEYTE,SAN ISIDRO,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,257,0.26 %
REGION VIII,LEYTE,SAN ISIDRO,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,102,0.1 %
REGION VIII,LEYTE,SAN ISIDRO,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,122,0.12 %
