region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,1615,3.4 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,86,0.18 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,89,0.19 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,88,0.19 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,2288,4.81 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,211,0.44 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,105,0.22 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,190,0.4 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,1696,3.57 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,923,1.94 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,1564,3.29 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,877,1.85 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,226,0.48 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,51,0.11 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,80,0.17 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,222,0.47 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,254,0.53 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,1333,2.8 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,78,0.16 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,211,0.44 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,309,0.65 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,1963,4.13 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,95,0.2 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,108,0.23 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,529,1.11 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,101,0.21 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,68,0.14 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,3076,6.47 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,257,0.54 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,659,1.39 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,678,1.43 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,67,0.14 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,1748,3.68 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,688,1.45 %
REGION VIII,SAMAR,GIPORLOS,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,2122,4.46 %
