region,province,city,position,rank,candidate_name,party,votes,percentage
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,3601,0.89 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,871,0.22 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,1129,0.28 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,720,0.18 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,8992,2.22 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,1043,0.26 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,941,0.23 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,1107,0.27 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,5701,1.41 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,23153,5.73 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,7494,1.85 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,3702,0.92 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,938,0.23 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,428,0.11 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,2621,0.65 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,1158,0.29 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,1110,0.27 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,6654,1.65 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,589,0.15 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,1247,0.31 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,1264,0.31 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,38542,9.53 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,643,0.16 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,569,0.14 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,1695,0.42 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,539,0.13 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,644,0.16 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,39073,9.66 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,898,0.22 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,18077,4.47 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,4979,1.23 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,552,0.14 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,9021,2.23 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,18526,4.58 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,12597,3.12 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,36,"LEE, MANOY WILBERT",AKSYON,603,0.15 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,37,"LIDASAN, AMIRAH",MKBYN,332,0.08 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,38,"MARCOLETA, RODANTE",IND,22578,5.58 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,39,"MARCOS, IMEE R.",NP,7659,1.89 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,40,"MARQUEZ, NORMAN",IND,1028,0.25 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,41,"MARTINEZ, ERIC",IND,865,0.21 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,42,"MATA, DOC MARITES",IND,13640,3.37 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,43,"MATULA, ATTY. SONNY",WPP,1060,0.26 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,44,"MAZA, LIZA",MKBYN,832,0.21 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,45,"MENDOZA, HEIDI",IND,2278,0.56 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,46,"MONTEMAYOR, JOEY",IND,718,0.18 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,47,"MUSTAPHA, SUBAIR",WPP,256,0.06 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,48,"OLIVAR, JOSE JESSIE",IND,576,0.14 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,49,"ONG, DOC WILLIE",AKSYON,3965,0.98 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,50,"PACQUIAO, MANNY PACMAN",PFP,7769,1.92 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,51,"PANGILINAN, KIKO",LP,5989,1.48 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,52,"QUERUBIN, ARIEL PORFIRIO",NP,3612,0.89 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,53,"QUIBOLOY, APOLLO",IND,14920,3.69 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,54,"RAMOS, DANILO",MKBYN,1301,0.32 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,55,"REVILLAME, WILLIE WIL",IND,9829,2.43 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,56,"RODRIGUEZ, ATTY. VIC",IND,16395,4.05 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,57,"SAHIDULLA, NUR-ANA",IND,435,0.11 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,58,"SALVADOR, PHILLIP IPE",PDPLBN,23660,5.85 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,59,"SOTTO, TITO",NPC,9353,2.31 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,60,"TAPADO, MICHAEL BONGBONG",PM,720,0.18 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,61,"TOLENTINO, FRANCIS TOL",PFP,2438,0.6 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,62,"TULFO, BEN BITAG",IND,6297,1.56 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,63,"TULFO, ERWIN",LAKAS,8613,2.13 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,64,"VALBUENA, MAR MANIBELA",IND,495,0.12 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,65,"VERCELES, LEANDRO",IND,328,0.08 %
REGION X,BUKIDNON,QUEZON,SENATOR of PHILIPPINES,66,"VILLAR, CAMILLE",NP,15023,3.72 %
REGION X,BUKIDNON,QUEZON,PARTY LIST of PHILIPPINES,,1 4PS,,1965,5.34 %
REGION X,BUKIDNON,QUEZON,PARTY LIST of PHILIPPINES,,2 PPP,,527,1.43 %
REGION X,BUKIDNON,QUEZON,PARTY LIST of PHILIPPINES,,3 FPJ PANDAY BAYANIHAN,,222,0.6 %
REGION X,BUKIDNON,QUEZON,PARTY LIST of PHILIPPINES,,4 KABATAAN,,197,0.54 %
REGION X,BUKIDNON,QUEZON,PARTY LIST of PHILIPPINES,,5 DUTERTE YOUTH,,5295,14.39 %
REGION X,BUKIDNON,QUEZON,PARTY LIST of PHILIPPINES,,6 ML,,60,0.16 %
REGION X,BUKIDNON,QUEZON,PARTY LIST of PHILIPPINES,,7 PBBM,,104,0.28 %
REGION X,BUKIDNON,QUEZON,PARTY LIST of PHILIPPINES,,8 P3PWD,,77,0.21 %
REGION X,BUKIDNON,QUEZON,PARTY LIST of PHILIPPINES,,9 MURANG KURYENTE,,99,0.27 %
REGION X,BUKIDNON,QUEZON,PARTY LIST of PHILIPPINES,,10 BICOL SARO,,44,0.12 %
REGION X,BUKIDNON,QUEZON,PARTY LIST of PHILIPPINES,,11 IPATUPAD,,40,0.11 %
REGION X,BUKIDNON,QUEZON,PARTY LIST of PHILIPPINES,,12 PATROL,,10,0.03 %
REGION X,BUKIDNON,QUEZON,PARTY LIST of PHILIPPINES,,13 JUAN PINOY,,13,0.04 %
REGION X,BUKIDNON,QUEZON,PARTY LIST of PHILIPPINES,,14 ARTE,,16,0.04 %
REGION X,BUKIDNON,QUEZON,PARTY LIST of PHILIPPINES,,15 WIFI,,70,0.19 %
REGION X,BUKIDNON,QUEZON,PARTY LIST of PHILIPPINES,,16 MAAGAP,,21,0.06 %
REGION X,BUKIDNON,QUEZON,PARTY LIST of PHILIPPINES,,17 UNITED SENIOR CITIZENS,,244,0.66 %
REGION X,BUKIDNON,QUEZON,PARTY LIST of PHILIPPINES,,18 EPANAW SAMBAYANAN,,413,1.12 %
REGION X,BUKIDNON,QUEZON,PARTY LIST of PHILIPPINES,,19 AKO PADAYON,,92,0.25 %
REGION X,BUKIDNON,QUEZON,PARTY LIST of PHILIPPINES,,20 TUCP,,210,0.57 %
REGION X,BUKIDNON,QUEZON,PARTY LIST of PHILIPPINES,,21 ACT TEACHERS,,101,0.27 %
REGION X,BUKIDNON,QUEZON,PARTY LIST of PHILIPPINES,,22 1PACMAN,,75,0.2 %
REGION X,BUKIDNON,QUEZON,PARTY LIST of PHILIPPINES,,23 TGP,,26,0.07 %
REGION X,BUKIDNON,QUEZON,PARTY LIST of PHILIPPINES,,24 DUMPER PTDA,,20,0.05 %
REGION X,BUKIDNON,QUEZON,PARTY LIST of PHILIPPINES,,25 ANAKALUSUGAN,,10,0.03 %
REGION X,BUKIDNON,QUEZON,PARTY LIST of PHILIPPINES,,26 AKSYON DAPAT,,48,0.13 %
REGION X,BUKIDNON,QUEZON,PARTY LIST of PHILIPPINES,,27 BHW,,226,0.61 %
REGION X,BUKIDNON,QUEZON,PARTY LIST of PHILIPPINES,,28 SULONG DIGNIDAD,,13,0.04 %
REGION X,BUKIDNON,QUEZON,PARTY LIST of PHILIPPINES,,29 BATANG QUIAPO,,90,0.24 %
REGION X,BUKIDNON,QUEZON,PARTY LIST of PHILIPPINES,,30 PBA,,25,0.07 %
