region,province,city,position,rank,candidate_name,party,votes,percentage
REGION X,CAMIGUIN,MAMBAJAO,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,16586,6.49 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,73,0.03 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,260,0.1 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,63,0.02 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,2085,0.82 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,270,0.11 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,53,0.02 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,427,0.17 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,15955,6.25 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,3723,1.46 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,15329,6 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,921,0.36 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,365,0.14 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,30,0.01 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,220,0.09 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,390,0.15 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,256,0.1 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,18255,7.15 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,76,0.03 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,395,0.15 %
